10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａウォｰタｰルルド, 54,内田博,, 62,   1,*  3, 6, 12.9, ⑦⑥, 1, 2, ブルｰミングメイン,---,内田博,, 57,* -1,  -8, 2,  5.5, ①①, 1, 5,Ｂエイシンダッシュ, 76,内田博,, 74,*  9,*  5, 1,  1.9,④③②, 1, 3,Ｃアドマイヤシャトル, 88,小牧太,, 83,   7,* 18, 1,  2.4,⑬⑧⑨
 2, 9,Ｂエｰシンジェイワン, 52,浜中俊, 0.1, 63,*  6,  -5, 1,  1.6, ①①, 2, 7, クｰルグラン,---,和田竜, 0.0, 56,* -2,* -7, 3,  6.4, ②②, 2, 1,Ａユジェニックブルｰ, 77,和田竜, 0.9, 68,   7,  -1, 2,  4.3,⑤⑤④, 2,14,Ｆアドバンスウェイ, 87,武豊  , 0.0, 84,*  8,  15, 2,  6.3,②②②
 3, 4,Ｇキンショｰユウジャ, 45,秋山真, 0.8, 54,  -3,*  2, 9, 76.5, ⑬⑫, 3, 8, レディオブパｰシャ,---,幸英明, 0.7, 49,  -4, -11, 1,  1.9, ③③, 3, 4,Ｇヴィｰヴァレジｰナ, 68,北村友, 1.2, 67,   6,   1, 7, 42.6,⑦⑨⑥, 3, 4,Ａハイオン, 90,藤岡佑, 0.0, 85,   7,* 18, 3,  6.5,⑥⑦④
 4, 6,Ｈワイルドビｰト, 43,藤岡佑, 0.9, 55,   2,  -7, 5, 12.8, ⑥③, 4, 1, リュウシンマリリン,---,太宰啓, 0.9, 45,  -9,  -9, 6, 12.6, ⑥⑤, 4, 8,Ｆエｰスインザホｰル, 69,藤田伸, 1.3, 65,*  9,  -8, 3,  5.0,①①①, 4, 7,Ｍラタｰシュ, 83,秋山真, 0.4, 81,   7,  15,11, 54.8,⑩⑪⑩
 5, 7,Ｅメｰンテｰブル, 49,四位洋, 1.2, 51,  -2,  -3, 4, 10.6, ⑫⑧, 5, 4, シｰライフ,---,川島信, 1.2, 43,  -6, -14, 7, 21.0, ⑤⑥, 5,12,Ｌタマモビｰト, 59,幸英明, 1.5, 65,   5,   0,11,150.8,⑫⑫⑧, 5,10,Ｊスｰサンライダｰ, 85,和田竜, 0.4, 81,*  8,  11, 7, 15.2,①①①
 6,10,Ｌジョウショｰコトミ, 34,藤岡康, 1.5, 52,   3, -12,12,126.2, ⑤⑤, 6, 6, タガノランビｰ,---,藤岡佑, 1.9, 38,  -3, -23, 5, 11.3, ④④, 6, 6,Ｃワンダｰアサｰルト, 73,野元昭, 1.7, 63,   6,  -3, 6, 29.2,⑨⑩⑩, 6,13,Ｋロッソトウショウ, 84,飯田祐, 0.5, 82,   4,* 18,15,184.9,⑭⑮⑮
 7,16,Ｍシゲルカイチョウ, 34,池添謙, 1.5, 50,*  4, -14, 8, 41.4, ③②, 7, 9, オンワｰドデュｰク,---,北村友, 2.2, 34, -14, -15, 8, 39.6, ⑧⑧, 7,10,Ｄフォルクスオｰパｰ, 70,上野翔, 2.2, 58,   8, -14, 9, 80.3,⑥④⑤, 7, 2,Ｈテイエムザエックス, 86,北村友, 0.5, 81,*  8,  12,10, 43.7,④③⑤
 8, 8,Ｊアサヒチェリｰ, 39,太宰啓, 2.5, 40,  -9,  -6,13,151.8, ⑯⑯, 8, 5, ニシノヒメシャラ,---,浜中俊, 2.8, 31, -16, -17, 4,  7.4, ⑩⑩, 8,11,Ｈテイエムスリリング, 66,国分恭, 2.7, 57,   8, -16, 8, 56.9,⑩⑦⑦, 8, 6,Ｂメイショウタメトモ, 89,古川吉, 0.7, 80,*  8,  11, 4,  8.3,⑤④⑥
 9, 5,Ｐナムラダッシュ, 30,石橋守, 2.6, 43,  -1, -17,15,251.1, ⑩⑩, 9,10, シュンサチ,---,渡辺薫, 3.3, 25, -12, -27, 9,109.9, ⑦⑦, 9, 3,Ｅパルクエスト, 69,藤岡佑, 3.1, 52,*  9, -23, 4,  9.0,③②③, 9, 5,Ｌハｰドシｰキング, 83,小林徹, 0.9, 81,   4,  15,16,199.4,⑮⑭⑭
10,14,Ｆタガノキズナ, 47,小牧太, 2.8, 38,  -2, -18, 7, 30.1, ⑪⑬,10, 3, スナｰクビｰナス,---,高橋亮, 3.9, 21, -17, -27,10,161.6, ⑨⑨,10, 7,Ｊシｰシャトｰ, 61,黒岩悠, 3.7, 51,   5, -17,12,153.5,⑪⑪⑪,10,12,Ｉメイショウエンジン, 85,浜中俊, 0.9, 79,   5,  13, 5, 10.0,⑫⑬⑫
