10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅルシャンベルタン, 47,蛯名正,, 53,*  2,  -4, 1,  2.8, ②②, 1,11, アポロアビリティ,---,北村宏,, 47, -14,*  0, 1,  4.0, ⑪⑪, 1, 6,Ａミカエルビスティｰ, 82,内田博,, 77,   6,   9, 1,  1.5,⑤④④, 1,15,Ｂユノゾフィｰ, 87,蛯名正,, 86,   6,* 19, 2,  3.6, ⑧⑨
 2,16,Ｊテンゲントッパ, 37,西田雄, 0.0, 55,   1,* -1,10, 76.6, ⑤⑥, 2, 3, グレイドケイ,---,江田照, 0.1, 49,* -6, -10, 5,  8.2, ④②, 2, 2,Ｈドリｰムゴスペル, 71,田中勝, 0.0, 76,   6,   9, 2,  8.4,③③③, 2, 4,Ａロラパルｰザ, 91,吉田豊, 0.2, 80,* 10,  10, 3,  5.3, ②②
 3,14,Ｄニシノジャブラニ, 50,北村宏, 0.0, 51,*  1,  -3, 3,  6.4, ③③, 3,15, ドナリサ,---,蛯名正, 0.5, 44, -13,* -6, 6, 13.0, ⑦⑦, 3,12,Ｉダンシングムｰン, 70,蛯名正, 0.1, 80,   1,* 22, 8, 35.5,⑪⑪⑩, 3, 9,Ｇピｰスオブパワｰ, 83,津村明, 0.3, 80,*  9,  11, 5, 14.5, ④③
 4, 7,Ｂフラワｰロック, 50,中舘英, 0.2, 51,  -1,*  0, 6, 10.4, ⑦⑦, 4, 1, トウショウノｰヴァ,---,三浦皇, 0.5, 45,  -8, -11, 4,  5.9, ②④, 4, 3,Ｆメジロジョン, 72,吉田豊, 0.4, 73,   5,   7, 5, 12.1,④⑤⑤, 4,16,Ｆボクノタイヨウ, 84,田中勝, 0.4, 82,   9,  12, 9, 36.8, ⑤⑥
 5, 4,Ａヴァルナビスティｰ, 58,勝浦正, 0.5, 48,   0,  -5, 4,  7.4, ④④, 5,13, ムｰンオンブッシュ,---,的場勇, 0.8, 46,* -5, -18, 3,  5.0, ①①, 5, 1,Ｎホｰカｰシｰホｰク, 64,菅原隆, 0.4, 68,* 11, -12,16,189.4,②②②, 5,10,Ｄディオスクロイ, 86,三浦皇, 0.5, 81,   5,  16, 4,  9.0, ⑪⑪
 6,10,Ｇソウルオブエイチ, 38,三浦皇, 1.1, 44,   1, -11, 5,  9.3, ⑥⑤, 6, 9, ホウショウキング,---,内田博, 1.2, 40,* -6, -19, 2,  4.1, ③③, 6,11,Ｌメジロジェラルド, 66,中舘英, 0.6, 66,* 12, -20, 9, 36.2,①①①, 6, 1,Ｏキャトルキャｰル, 78,宮崎北, 0.5, 81,   3,* 20,11, 56.1, ⑯⑯
 7,12,Ｍトキノエクセレント, 35,江田照, 1.2, 45,*  3, -14, 7, 18.5, ①①, 7,12, ティｰケイラビット,---,柴田善, 2.1, 31, -10, -23, 7, 16.7, ⑤⑥, 7, 4,Ｃヴィｰヴァマンボ, 75,三浦皇, 0.8, 72,   3,   8,12, 68.6,⑥⑧⑧, 7,12,Ｉツバサドリｰム, 82,吉田隼, 0.7, 82,   3,* 17, 8, 28.3, ⑬⑭
 8, 1,Ｃアウトストラｰダ, 50,丸田恭, 1.2, 44,  -5,  -4, 8, 28.6, ⑪⑫, 8,10, アプロｰチライト,---,吉田隼, 2.1, 32, -11, -22, 8, 31.4, ⑥⑤, 8, 7,Ｅシルクタイタン, 73,木幡初, 1.0, 68,   5,  -2, 3, 10.8,⑦⑥⑥, 8,11,Ｊオウロプレット, 82,田辺裕, 0.8, 77,*  9,   7, 6, 25.4, ③④
 9, 9,Ｆヒシカルロス, 39,柴田善, 1.3, 43,  -2,  -8, 2,  4.0, ⑫⑨, 9, 2, メイショウブブゼラ,---,勝浦正, 2.8, 27, -13, -24,11, 74.7, ⑨⑨, 9, 9,Ｄジェイケイラン, 75,丸山元, 1.1, 73,  -3,* 20, 6, 25.8,⑰⑰⑰, 9, 3,Ｃインオラリオ, 87,内田博, 1.0, 76,* 11,   1, 1,  2.5, ①①
