10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄサダムグランジュテ, 51,川須栄,, 64,* -2,*  8, 3,  6.8, ①①, 1, 7, ケイティｰズジェム,---,福永祐,, 57,*-32,  18, 1,  2.8, ②②, 1,16,Ｊニシノメルモ, 69,浜中俊,, 80,* -3,  12, 7, 19.1,①①①, 1, 5,Ｂゴｰルスキｰ, 87,福永祐,, 88,   5,* 21, 1,  1.7, ④④
 2, 7,Ｈレッドマロン, 33,蛯名正, 0.7, 58,  -5,   4, 5, 16.8, ③③, 2, 1, サダムパテック,---,柴田善, 0.2, 55, -38,* 23, 5, 15.8, ⑦⑥, 2, 3,Ｆファイアレッド, 75,池添謙, 0.2, 82,  -5,  17, 3,  5.2,⑤⑤⑤, 2, 3,Ｉトゥニｰポｰト, 81,酒井学, 0.2, 80,* 14,   2, 3,  9.9, ①①
 3, 2,Ｂニイハオジュウクン, 58,柴原央, 0.8, 59,  -6,*  6, 4,  7.0, ⑤⑤, 3,12, プリティアクィｰン,---,酒井学, 0.4, 49, -33,  14,15,115.3, ③③, 3, 8,Ｎメイショウユウシャ, 66,高倉稜, 0.3, 76,* -4,  11,16, 99.6,④③③, 3,10,Ｆホｰカｰハリケｰン, 82,蛯名正, 0.2, 83,   5,  17, 4, 11.4, ③③
 4, 1,Ａビットプレスト, 60,佐藤哲, 1.3, 55,  -6,   1, 1,  1.8, ④④, 4,14, ハｰイスマイル,---,小牧太, 0.4, 48,*-30,   9,10, 44.9, ①①, 4,10,Ｃナムラアｰガス, 77,幸英明, 0.3, 86,  -8,* 24,10, 35.5,⑫⑬⑫, 4, 8,Ａダブルウェッジ, 90,小牧太, 0.2, 83,   8,  14, 2,  6.2, ②②
 5, 8,Ｃヴァｰル, 52,高倉稜, 1.3, 53,  -8,   4, 7, 18.4, ⑧⑦, 5, 2, アンクレット,---,武豊  , 0.7, 47, -33,  11, 3,  4.4, ④④, 4,14,Ｏログ, 66,後藤浩, 0.3, 79,  -6,  15,13, 60.8,⑧⑥⑥, 5,11,Ｈラインブラッド, 81,池添謙, 0.5, 82,   1,* 20, 5, 14.1, ⑨⑧
 6, 9,Ｇダブルエッグ, 38,松山弘, 1.5, 53,  -7,   0, 8, 48.8, ⑥⑥, 6, 9, ハｰキュリｰズ,---,松岡正, 0.8, 55, -43,* 27, 2,  3.7, ⑯⑯, 6,11,Ｋロｰドホｰリｰ, 68,武豊  , 0.4, 81,  -5,  16, 2,  5.2,⑨⑧⑦, 6, 4,Ｅエックスダンス, 82,武豊  , 0.5, 81,   1,* 20, 6, 14.7, ⑧⑨
 7, 4,Ｅサチノパｰトナｰ, 41,浜中俊, 1.9, 49,* -4,  -7, 2,  5.2, ②②, 7, 6, スズカロジック,---,藤岡佑, 1.2, 42, -38,   9, 8, 23.1, ⑧⑨, 7, 9,Ｈピエナファンタスト, 71,内田博, 0.4, 84,  -7,  20, 8, 29.5,⑬⑫⑩, 7, 1,Ｋモｰニングフェイス, 64,吉田豊, 0.5, 81,   2,  18,10, 80.9, ⑦⑦
 8,13,Ｍゼロセン,-35,酒井学, 2.4, 46, -10,  -2, 9,105.3, ⑪⑨, 8, 3, スリｰマウンテン,---,小林徹, 1.2, 44, -39,  13, 9, 28.7, ⑩⑩, 8, 4,Ｄカネトシパサｰジュ, 77,蛯名正, 0.4, 82,  -7,  19, 4,  5.8,⑪⑩⑪, 8, 7,Ｃマッシヴエンペラｰ, 87,太宰啓, 0.8, 79,  -1,* 20, 9, 47.0, ⑪⑪
 9,10,Ｆマギｰメイ, 39,野元昭, 2.4, 47,  -7,  -5,10,131.5, ⑨⑧, 9,10, スマｰトオｰシャン,---,内田博, 1.2, 40, -35,   5, 6, 21.6, ⑤⑦, 9, 6,Ｉトップミノル, 70,和田竜, 0.4, 77,* -3,   8,12, 47.2,③②②, 9, 6,Ｇブレイブファイト, 81,後藤浩, 0.8, 76,   4,  11, 8, 16.8, ⑤⑤
