10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,紅葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｊコアヨカ, 46,後藤浩,, 70, -10,* 18, 6, 22.1, ⑫⑩, 1,10, カインバティック,---,勝浦正,, 54,*-34,* 18, 7, 18.6, ②②, 1, 4,Ａユメノトキメキ, 75,蛯名正,, 77,* -3,  13, 6,  8.9,②②②, 1,12,Ａフラガラッハ, 89,柴田善,, 88,* 15,   7, 1,  2.7, ①①
 2, 3,Ｆトｰセンタｰボ, 48,吉田豊, 0.3, 67,  -9,* 13, 8, 33.7, ⑥⑧, 2,16, コスモリゾルヴ,---,松岡正, 0.1, 55,*-34,* 18, 3,  7.3, ④③, 2, 2,Ｉヒカルアカツキ, 67,柴田善, 0.1, 78,  -6,  17, 7, 13.6,⑥⑥⑤, 2, 2,Ｄスペルバインド, 81,武豊  , 0.0, 90,   9,* 16, 6, 11.4, ⑤⑤
 3, 9,Ｃキンショｰユウジャ, 57,勝浦正, 0.4, 66,  -4,   7, 3,  5.8, ⑦⑥, 3, 5, キングダムキング,---,北村宏, 0.2, 55, -36,* 19, 6, 14.1, ⑤⑦, 3, 6,Ｇバウンシングライト, 70,武豊  , 0.2, 83, -11,* 27, 1,  2.8,⑭⑭⑬, 3, 9,Ｅユキノハリケｰン, 80,後藤浩, 0.3, 85,  10,   9, 5,  8.4, ④④
 4, 8,Ａキョウエイバサラ, 70,松岡正, 0.6, 63,* -2,   2, 1,  2.2, ④②, 3,14, ギンザアレキサンダ,---,柴田善, 0.2, 52,*-34,  16,11,108.8, ⑥④, 4,10,Ｊマサノウイズキッド, 66,ホワイ, 0.2, 77,  -6,  15, 3,  8.1,⑤⑤⑥, 4, 6,Ｂダブルウェッジ, 86,小牧太, 0.4, 84,   8,* 12, 4,  8.3, ⑥⑥
 5, 2,Ｂリアライズペガサス, 59,内田博, 0.8, 63,  -3,   2, 4,  8.2, ②③, 5,15, ジャｰビス,---,安藤勝, 0.3, 54, -38,* 21, 1,  2.3, ⑬⑪, 5, 3,Ｃエｰブチェアマン, 74,松岡正, 0.3, 75,  -4,  11, 2,  4.8,④③③, 5, 3,Ｊラルケット, 77,ホワイ, 0.9, 78,* 12,  -1, 3,  7.4, ②③
 6, 6,Ｈトウショウノｰヴァ, 48,三浦皇, 1.6, 56,* -1,  -7, 5, 13.0, ①①, 6, 4, タイキバラｰド,---,吉田隼, 0.3, 49,*-33,  12,10, 57.2, ①①, 6, 1,Ｋユキノサイレンス, 62,藤岡佑, 0.4, 70,* -1,   3, 9, 25.3,①①①, 6,13,Ｈケイアイライジン, 78,内田博, 1.0, 80,   6,   6, 7, 14.0, ⑨⑨
 7,15,Ｇコスモオルバｰス, 48,津村明, 2.4, 50,  -4, -11,10, 89.0, ⑧⑦, 7, 3, ヒカルウインド,---,後藤浩, 0.8, 45, -37,  12, 2,  6.5, ⑧⑧, 7, 5,Ｈカｰルファタｰレ, 68,後藤浩, 0.4, 76,  -8,  17, 4,  8.5,⑧⑧⑧, 7,11,Ｇダイレクトキャッチ, 80,蛯名正, 1.0, 79,   5,   9,10, 36.6, ⑬⑫
 8,14,Ｅアルテリｰベ, 52,北村宏, 2.6, 50, -14,   1, 9, 56.0, ⑬⑮, 8, 6, エメラルストｰン,---,大庭和, 0.9, 45, -37,  10,17,189.1, ⑨⑨, 8,13,Ｄガンズオブナバロン, 73,内田博, 0.6, 74,  -7,  13, 5,  8.5,⑦⑦⑦, 8, 4,Ｌニシノメイゲツ, 75,藤田伸, 1.0, 80,   7,   6, 9, 21.3, ⑩⑧
 9,11,Ｌヴィｰヴァゴｰルド, 44,大庭和, 2.9, 46, -14,  -2,14,199.1, ⑮⑭, 9,11, サンデｰスイセイ,---,藤田伸, 1.0, 44, -38,  10, 8, 20.0, ⑦⑩, 9, 9,Ｆクリノメダリスト, 71,北村宏, 1.0, 69,  -8,  10, 8, 19.4,⑨⑨⑨, 9,10,Ｍタイガｰファング, 74,安藤勝, 1.1, 77,   8,   2, 8, 17.8, ⑦⑦
