10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｍネオファンシｰ,-15,福永祐,, 63,* -4,*  1, 5, 23.0, ①①, 1, 2, イチドラゴン,---,畑端省,, 51,* -5,  -8, 2,  3.9, ④④, 1,11,Ｃワイドサファイア, 78,福永祐,, 78,   0,* 20, 3,  5.3, ⑨⑨, 1, 9,Ｍビｰトブラック, 79,デムｰ,, 89,  15,* 10, 1,  2.3,⑥⑦⑥
 2, 6,Ａクィｰンオブライフ, 63,松岡正, 0.4, 59,* -6,*  0, 1,  1.3, ③③, 2, 7, バウンサｰ,---,松岡正, 0.3, 47, -13,* -2, 3,  9.8, ⑨⑦, 2,10,Ａナリタスレンダｰ, 80,藤田伸, 0.0, 79,  -1,* 23, 1,  2.7, ⑩⑩, 2, 3,Ａキクカタキシｰド, 88,国分恭, 0.0, 91,  15,* 12, 3,  5.6,⑦⑥⑦
 3, 3,Ｂクｰルグラン, 59,和田竜, 1.1, 54,* -5,  -7, 2,  5.6, ②②, 3,12, カネトシファイタｰ,---,酒井学, 0.3, 50,  -9,  -4, 9, 51.2, ⑧⑥, 3, 1,Ｄアマファソン, 76,内田博, 0.2, 75,   3,  11, 2,  3.3, ④④, 3,12,Ｋワンダｰムシャ, 81,野元昭, 0.2, 86,* 20,  -9, 9, 37.9,①①①
 4, 4,Ｄツナミ, 51,池添謙, 1.5, 50,  -7,  -8, 6, 24.2, ④④, 4, 6, マレオット,---,デムｰ, 0.5, 45, -12,  -4, 1,  1.6, ⑩⑧, 4, 6,Ｅトゥリオンファｰレ, 76,松岡正, 0.2, 75,   0,  17, 4,  8.1, ⑦⑧, 4, 6,Ｈザサンデｰフサイチ, 83,安藤勝, 0.4, 86,  15,   4, 8, 23.6,④④⑤
 5, 9,Ｃカシノエベレスト, 52,川須栄, 1.5, 50,  -9,  -6, 3, 15.4, ⑥⑤, 5, 1, ベルモントノホシ,---,岡部誠, 0.7, 45,* -4, -16, 4, 12.6, ①①, 5, 4,Ｆマイネルクラッチ, 76,川須栄, 0.4, 70,*  6,   4, 7, 15.8, ①①, 5, 1,Ｇエｰシンジｰライン, 83,内田博, 0.8, 82,* 16,  -6, 6, 18.8,②②②
 6,11,Ｅメイショウモンシロ, 49,武幸四, 2.1, 46, -20,* -2, 7, 33.0, ⑫⑫, 6, 3, メイショウヨサク,---,内田博, 0.7, 44, -15,* -1, 7, 32.3, ⑪⑪, 6, 2,Ｂパｰプルタイヨｰ, 79,藤岡佑, 0.4, 72,   3,  10, 5, 11.9, ⑤⑤, 6,17,Ｉメイショウドンタク, 83,武幸四, 0.8, 82,* 16,  -3, 5, 18.5,⑤⑤④
 7, 5,Ｋベルモントベロニカ, 36,内田博, 2.9, 38, -13, -15, 4, 19.7, ⑧⑦, 7, 4, シャドｰボｰル,---,和田竜, 0.8, 46,* -5, -15,10, 61.6, ③③, 7, 5,Ｉパラダイスラビｰダ, 72,岡部誠, 0.5, 69,*  4,   4, 9,162.9, ②②, 7, 4,Ｌデンコウミサイル, 79,田中健, 0.9, 82,  14,   4,16,267.8,⑧⑩⑩
 8,10,Ｊウォｰタｰリコシェ, 36,佐久間, 3.1, 38, -12, -16,13,269.5, ⑩⑧, 8, 5, クｰドテアトル,---,国分優, 1.5, 38,  -9, -17, 8, 38.6, ⑥⑤, 8, 7,Ｋマヤノベンケイ, 67,国分優, 0.7, 67,*  4,   3,11,198.9, ③③, 8, 8,Ｂコスモメドウ, 86,和田竜, 0.9, 84,  14,   4, 4,  6.5,⑩⑪⑪
 9,13,Ｌカシノババロア, 28,大下智, 3.3, 33, -21, -11,14,362.4, ⑭⑬, 9, 9, タツサイゴン,---,古川吉, 2.3, 32, -12, -20, 5, 21.9, ⑦⑩, 9, 3,Ｈナビエストｰクス, 72,高田潤, 1.0, 65,   0,   6,10,163.8, ⑧⑦, 9, 7,Ｆピエナグッドラック, 84,佐藤哲, 1.0, 81,  11,* 11,15,212.8,⑭⑯⑯
10,12,Ｇシゲルセキニンシャ, 41,小林徹, 3.3, 35,  -9, -22, 8, 75.1, ⑤⑥,10, 8, ワンダｰエレメント,---,野元昭, 2.3, 33,* -4, -29,12,184.3, ②②,10, 9,Ｊトムウィンズ, 71,岩崎祐, 1.8, 56,  -4,   0, 8, 72.0, ⑪⑪,10,16,Ｅシグナリオ, 84,松岡正, 1.2, 80,  15,  -4, 7, 22.0,⑨⑧⑧
