10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,彦島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆシナル, 45,田中博,, 62,* -4,*  3, 1,  1.9,①①①, 1, 5, ロｰドエルドｰル,---,北村友,, 55,* -1,  -8, 1,  1.7,②②②, 1, 6,Ａブルｰデジャブ, 76,高倉稜,, 75,* 10,   8, 2,  4.6, ①①, 1, 2,Ｂキクノトップラン, 74,松山弘,, 79,*  0,* 21, 2,  4.7,③⑤③
 2,12,Ａノｰザンソング, 56,安藤光, 0.6, 53,* -4,* -1, 2,  4.3,②②②, 2, 3, センティラシオン,---,宮崎北, 0.3, 52,  -6,* -1,10, 63.6,⑬⑫⑩, 2,12,Ｅシゲルシゲザネ, 71,北村友, 0.1, 75,   7,* 10, 1,  3.1, ④③, 2,11,Ａキングウェｰルズ, 75,北村友, 0.0, 77,*  0,  19, 5,  7.7,②②②
 3, 6,Ｃカイアナイト, 48,丸山元, 1.0, 53,  -5,  -3, 4, 11.4,④③③, 3, 4, トミケンボｰルド,---,田中克, 0.6, 51,  -3,  -8, 9, 50.2,⑦⑥④, 3, 9,Ｄフォレストルｰラｰ, 71,松山弘, 0.3, 74,*  8,   8, 8, 22.9, ②②, 3,10,Ｄドミネｰタｰ, 72,丸山元, 0.1, 80,  -1,* 26, 1,  4.2,⑩⑭⑪
 4, 2,Ｈヤマニンパンケｰキ, 39,柴田大, 1.4, 50,  -8,  -2, 8, 67.0,⑨⑧⑦, 4,12, フェニックスソｰド,---,鮫島良, 0.9, 50,  -4,  -8, 2,  5.2,⑩⑦⑧, 4, 4,Ｂキョウエイカルラ, 72,川島信, 0.5, 70,   5,   8, 4,  7.3, ⑤⑤, 4, 5,Ｅメイショウベｰネ, 71,上村洋, 0.3, 78,  -1,* 21,11, 41.7,⑧⑩⑦
 5, 5,Ｄプリティスカイ, 48,太宰啓, 2.1, 45,  -8,  -6, 6, 18.0,⑪⑩⑥, 5, 2, ダンツソレイユ,---,田辺裕, 1.2, 45,* -1, -16,12, 92.1,⑥⑤③, 5, 5,Ｃヒシコモンズ, 72,中舘英, 0.9, 65,  -4,* 10, 3,  5.8, ⑧⑨, 5,15,Ｏベイビｰロｰズ, 64,中舘英, 0.4, 71,*  1,  10, 9, 38.3,①①①
 6, 7,Ｇオンワｰドデュｰク, 44,松山弘, 2.5, 45, -11,  -6, 5, 14.6,⑫⑫⑪, 6, 1, ゼンノアルビオン,---,長谷川, 1.5, 44,  -6, -12, 8, 46.0,⑧⑧⑥, 6, 1,Ｇトウカイシグナル, 67,田辺裕, 1.2, 63,   7,   0,11, 88.6, ③④, 6, 4,Ｃパｰルグレイピアス, 74,長谷川, 0.7, 73,  -2,  16, 3,  5.1,⑭⑬⑨
 7, 9,Ｋロｰズウィルドゥ, 23,加藤士, 2.7, 42,  -7, -13,10,127.1,⑩⑨⑩, 7, 6, ナイトフライト,---,松山弘, 1.7, 44,* -1, -23, 3,  5.7,①①①, 7, 8,Ｆジェラルドエビス, 69,丸山元, 1.3, 62,   2,   2, 5,  9.3, ⑥⑥, 7, 9,Ｌセｰタミスタ, 67,田中博, 0.7, 71,*  0,  11, 6, 11.4,④③④
 8, 3,Ｅクリノイメルダ, 47,西田雄, 3.5, 36,  -7, -23,12,164.0,③④④, 8, 9, アウゲンイカロス,---,高倉稜, 2.3, 38,  -7, -16,11, 89.6,⑪⑬⑪, 8, 2,Ｈイｰサンヘモス, 66,西田雄, 1.3, 63,   1,   3, 7, 17.4, ⑦⑦, 8,16,Ｈアテンボｰイ, 69,西田雄, 0.7, 71,  -1,  16,10, 41.2,⑫⑫⑬
 9,10,Ｂサイクロニスト, 53,田辺裕, 3.8, 33,  -6, -25, 3,  5.1,⑧⑥⑤, 9,10, オレンジシチｰ,---,藤岡康, 2.6, 38,  -6, -21, 7, 33.8,⑨⑨⑨, 9, 3,Ｉアトムスパンカｰ, 65,鮫島良, 1.6, 58,  -6,   5,12, 92.9, ⑨⑧, 9, 8,Ｋワシャモノタリン, 67,丸田恭, 0.8, 70,  -2,  14, 7, 15.3,⑪⑪⑫
