10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａラブリイステラ, 60,ルメｰ,, 56,* -3,   1, 1,  2.2,①①①, 1, 6,Ｅスタｰコレクション, 60,岩田康,, 67,  -8,*  8, 3,  5.8, ⑨⑧, 1, 8, アドマイヤクｰガｰ,---,スミヨ,, 61,  -9,   5, 3,  8.3, ⑥⑤, 1, 3,Ｂメテオロロジスト, 89,武豊  ,, 89,* 12,* 15, 1,  2.6,①①①
 2, 3,Ｌヒラボクウィン, 22,川須栄, 0.2, 57,* -4,   1, 9, 74.5,②②②, 2, 3,Ｃマコトサンパギｰタ, 63,四位洋, 0.0, 67,  -5,*  5, 2,  5.7, ⑦⑥, 2, 4, エイシンモンジュｰ,---,岩田康, 0.0, 62, -11,*  8, 2,  3.0, ⑤⑦, 2,13,Ａロラパルｰザ, 91,吉田豊, 0.5, 85,  10,* 15, 2,  2.8,⑧⑧⑦
 3, 7,Ｆマイネロｰドナイト, 48,ウィリ, 0.5, 54,  -5,  -1, 6, 33.0,⑤⑤④, 3,14,Ａクロｰバｰリｰフ, 67,デムｰ, 0.4, 60,  -5,  -2, 1,  2.3, ⑥⑦, 3, 1, ピエナセレブ,---,秋山真, 0.1, 64, -16,* 17, 9, 46.0, ⑭⑭, 3, 6,Ｄピサノエミレｰツ, 89,横山典, 0.5, 86,  11,* 15, 6, 16.6,⑥⑥⑥
 4, 5,Ｂロｰザディアマント, 58,藤岡佑, 0.7, 54,  -5,  -1, 3,  4.0,⑥⑥⑥, 4, 2,Ｂペニｰブラック, 64,三浦皇, 0.4, 61,  -5,  -2, 6, 17.4, ⑤⑤, 4, 6, サンライズブレット,---,浜中俊, 0.4, 57, -10,   2,11, 86.8, ⑨⑧, 4, 2,Ｇビタｰスウィｰト, 86,ウィリ, 0.6, 86,* 12,  11, 8, 33.6,②③②
 5,10,Ｃメデタシ, 57,生野賢, 0.8, 54,  -6,   1, 2,  3.7,⑦⑦⑧, 5, 5,Ｇセレブリティ, 58,池添謙, 0.6, 58,* -4,  -8, 4,  6.5, ②②, 5, 2, キクノスフィｰダ,---,北村友, 0.4, 54,* -8,  -5, 8, 36.4, ①①, 5,10,Ｆプリンセスペスカ, 87,池添謙, 0.7, 84,* 12,  10, 5, 12.7,④④④
 6, 8,Ｄスペシャルピｰス, 53,武豊  , 0.9, 51,* -4,  -5, 4,  8.2,③③③, 6, 4,Ｄアフォリズム, 62,武豊  , 0.7, 58,  -9,   1, 9, 52.8, ⑫⑫, 6,14, メイショウクロオビ,---,武豊  , 0.7, 55, -13,   4, 1,  2.8, ⑫⑫, 6, 5,Ｊピｰスキｰパｰ, 84,川田将, 0.9, 86,   8,* 16,12,148.5,⑯⑮⑬
 7, 1,Ｊティボリタンポポ, 36,高倉稜, 1.2, 52, -11,*  6,10,131.2,⑫⑫⑪, 7, 9,Ｈネオザミスティック, 56,川田将, 0.8, 57,* -4, -10, 5, 15.9, ③③, 7, 3, ナリタムｰンライト,---,幸英明, 0.8, 54, -15,   5, 4,  8.5, ⑬⑬, 7,11,Ｃアドマイヤテンクウ, 89,小牧太, 0.9, 83,  10,  13, 7, 20.1,⑨⑨⑪
 8, 6,Ｅポｰトワイン, 51,小牧太, 1.2, 51,  -8,   2, 8, 66.4,⑪⑨⑨, 8,13,Ｆビュｰワｰルド, 58,藤田伸, 0.8, 57,* -4, -10, 7, 17.7, ④④, 8, 7, シエｰナスプレｰマ,---,和田竜, 0.9, 52,  -9,  -8,10, 57.8, ⑦⑥, 8, 1,Ｍメイショウエンジン, 82,浜中俊, 0.9, 85,  11,  11,11,136.5,⑤⑤⑤
 9, 4,Ｇシｰサイドウｰマン, 48,福永祐, 1.4, 50,  -7,  -3, 5, 17.6,⑧⑧⑦, 9,16,Ｎロベルタ, 44,福永祐, 0.9, 58,  -9,  -1,11, 58.8, ⑯⑭, 9,12, キンジシ,---,ルメｰ, 1.0, 50, -12,  -5, 7, 19.8, ⑪⑩, 9,14,Ｅフリソ, 88,ルメｰ, 1.1, 83,  10,  11, 3,  6.8,⑩⑩⑨
10, 9,Ｈサンキュｰフライト, 47,小林徹, 2.4, 46,  -9,  -7, 7, 58.9,⑨⑪⑩,10, 1,Ｋエクセレントブルｰ, 50,ウィリ, 1.3, 48,  -8, -11, 8, 23.4, ⑬⑨,10,13, サクラテリオス,---,池添謙, 1.2, 49, -13,  -4,12,103.1, ⑩⑪,10,15,Ｏベルモントサｰガ, 81,藤岡佑, 1.2, 83,   8,  13,10,113.1,⑭⑬⑩
11, 2,Ｉキタサンアマゾン, 40,国分優, 2.5, 40,  -5, -17,11,141.3,④④⑤,11, 7,Ｍディヴァインクレア, 47,川須栄, 1.5, 49,  -9, -11,13, 98.6, ⑩⑬,11, 5, オペラキング,---,吉田豊, 1.6, 44, -12, -12,14,134.1, ⑧⑨,11, 8,Ｉポｰカｰフェイス, 84,幸英明, 1.7, 81,   7,  11,13,163.8,⑮⑯⑮
12,11,Ｋニシノヒメシャラ, 31,浜中俊, 4.4, 33,  -8, -22,12,162.7,⑩⑩⑫,12,15,Ｌトｰワフライト, 48,藤岡佑, 1.5, 49,  -9, -10,14,156.3, ⑮⑮,12,11, マルブツファントム,---,熊沢重, 1.8, 40,* -8, -25,13,122.7, ③③,12, 4,Ｌトｰセンスタｰン, 83,福永祐, 1.8, 79,  10,   5, 9, 49.6,⑦⑦⑧
,,,,,,,,,,,,13,10,Ｊヤマニンボンプアン, 53,幸英明, 1.8, 43,* -1, -29,12, 73.0, ①①,13,10, アフリカンハンタｰ,---,ウィリ, 1.9, 36,* -8, -25, 6, 14.9, ④④,13,16,Ｋハｰドシｰキング, 83,三浦皇, 2.5, 72,* 12,  -6,16,614.8,③②③
,,,,,,,,,,,,14, 8,Ｉメイクミｰシャイン, 54,吉田豊, 2.3, 39,  -7, -27,15,280.2, ⑧⑩,14, 9, ゲｰリックストｰム,---,デムｰ, 3.3, 27,* -8, -47, 5,  9.7, ②②,14, 9,Ｐドリｰムマイスタｰ, 80,和田竜, 4.0, 66,   7,  -9,14,242.2,⑫⑫⑯
,,,,,,,,,,,,15,11,Ｐヴェルデライト, 32,和田竜, 2.7, 37, -13, -20,10, 57.7, ⑭⑯,,,,,,,,,,,,,15,12,Ｎパｰフェクトラン, 82,熊沢重, 4.6, 62,   8, -15,15,370.3,⑬⑭⑭
,,,,,,,,,,,,16,12,Ｏミステリｰキｰ, 43,熊沢重, 2.9, 35,  -7, -33,16,441.2, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:220円 複勝:12=110円 03=1,100円 07=450円 枠連:5,750円",,,,,,,,,,,,単勝:580円 複勝:06=160円 03=160円 14=120円 枠連:840円,,,,,,,,,,,,単勝:830円 複勝:08=240円 04=170円 01=690円 枠連:980円,,,,,,,,,,,,単勝:260円 複勝:03=130円 13=120円 06=300円 枠連:260円,,,,,,,,,,,
"馬連:6,630円 ワイド:03-12=1,870円 07-12=910円 03-07=10,620円",,,,,,,,,,,,"馬連:1,420円 ワイド:03-06=460円 06-14=290円 03-14=260円",,,,,,,,,,,,"馬連:1,540円 ワイド:04-08=520円 01-08=3,730円 01-04=1,950円",,,,,,,,,,,,馬連:360円 ワイド:03-13=190円 03-06=680円 06-13=750円,,,,,,,,,,,
"馬単:9,270円 3連複:25,140円 3連単:140,260円",,,,,,,,,,,,"馬単:2,910円 3連複:1,240円 3連単:9,140円",,,,,,,,,,,,"馬単:4,010円 3連複:17,540円 3連単:91,690円",,,,,,,,,,,,"馬単:670円 3連複:1,640円 3連単:5,820円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
