10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａキンショｰユウジャ, 63,勝浦正,, 68,*  1,*  5, 1,  2.9, ②②, 1, 5, ロジハｰツ,---,ルメｰ,, 55, -36,* 21, 1,  1.9,⑤⑥⑥, 1, 7,Ｈベルシャザｰル, 67,ルメｰ,, 78,*  8,  17, 4,  8.1,②②②, 1, 1,Ｄヴィクトワｰルピサ, 98,デムｰ,, 98,* 11,  23, 2,  8.4,④②②
 2, 7,Ｃトｰセンナスクラ, 61,横山典, 0.3, 65,  -3,*  7, 3,  4.1, ⑤⑤, 2, 8, フォトジェニック,---,後藤浩, 0.1, 51,*-34,* 17, 2,  6.3,③②②, 2, 5,Ａナカヤマナイト, 74,柴田善, 0.0, 79,   5,* 22, 2,  5.4,④⑥⑥, 2, 7,Ａブエナビスタ,103,スミヨ, 0.0,103,   9,* 34, 1,  1.7,⑪⑩⑨
 3,13,Ｄヒショウ, 61,小林淳, 0.6, 63,* -1,   1, 5, 15.7, ③③, 3, 2, ザベルオンアｰス,---,石橋脩, 0.3, 50,*-34,  14, 8, 52.0,①①①, 3, 1,Ｃフェイトフルウォｰ, 71,田中勝, 0.5, 76,   4,* 20, 3,  7.2,⑧⑩⑨, 3,11,Ｋトゥザグロｰリｰ, 92,ウィリ, 0.0, 98,* 11,  26,14, 75.9,③⑤③
 4, 9,Ｂオｰパルス, 63,北村宏, 1.1, 58,*  2,  -6, 2,  3.3, ①①, 4, 9, ナカヤマブリｰズ,---,蛯名正, 0.5, 45,*-33,  10, 5,  7.9,④③③, 4, 9,Ｂカフナ, 73,スミヨ, 0.6, 74,   5,  16, 7, 45.0,⑦⑧⑦, 4,14,Ｂペルｰサ,100,安藤勝, 0.1, 99,  10,  26, 3,  8.9,⑤③④
 5,10,Ｇレッツマンボウ, 50,柴山雄, 1.1, 57,  -3,  -1,11, 87.5, ④④, 5,16, キタサンウタヒメ,---,小林淳, 0.6, 45, -35,  13,13,196.0,⑥⑦⑦, 5, 4,Ｅプレイ, 69,松岡正, 0.6, 72,*  9,   6, 5,  9.2,①①①, 5, 4,Ｇトｰセンジョｰダン, 97,三浦皇, 0.3, 96,* 11,  19, 7, 20.0,①①①
 6,14,Ｈケイアイカミノコエ, 48,伊藤工, 1.5, 54,  -4,  -4, 7, 48.7, ⑥⑥, 6,13, スウェｰジｰ,---,岩田康, 0.7, 46, -37,  14, 3,  6.5,⑩⑧⑧, 6, 3,Ｇメイショウトチワカ, 68,横山典, 0.9, 67,   7,   6, 8, 63.1,⑨③④, 6, 5,Ｃルｰラｰシップ, 99,ルメｰ, 0.4, 97,   8,  26, 6, 17.6,⑥⑧⑦
 7, 6,Ｉフジマサフロｰラ, 46,小野寺, 2.0, 49, -11,  -2,15,280.7, ⑩⑨, 7, 6, アンシャンテルｰル,---,三浦皇, 0.7, 47, -38,  16,14,212.8,⑦⑨⑨, 7, 8, ウォッチバレｰ,---,三浦皇, 1.1, 69,   4,  11,10,242.1,⑩⑨⑧, 7,10,Ｊエイシンフラッシュ, 95,内田博, 0.4,100,   8,* 29, 5, 12.6,⑨⑨⑩
 8, 1,Ｅジパングファｰスト, 52,武士沢, 2.2, 47,  -9,  -5,10, 79.6, ⑧⑦, 8, 3, ライヴドリｰムス,---,北村宏, 0.8, 43, -35,  10, 7, 40.9,②⑤⑤, 8, 6,Ｆマイネルメダリスト, 68,蛯名正, 1.1, 66,   7,   3, 6, 20.4,③④③, 8, 2,Ｌネヴァブション, 92,後藤浩, 0.8, 93,   8,  20,12, 59.9,⑧⑦⑥
 9, 4,Ｏブライアンズメテオ, -6,田中勝, 2.6, 45, -17,  -1, 9, 78.1, ⑭⑬, 9,11, トｰセンバスタｰ,---,大庭和, 1.0, 44, -38,  12,15,311.7,⑨⑩⑩, 9, 2,Ｉマイネルギブソン, 66,ベリｰ, 1.2, 67,   7,   4, 9,111.3,⑥⑤⑤, 9, 9,Ｏダノンシャンティ, 88,ベリｰ, 1.0, 95,   6,  27,10, 39.5,⑭⑭⑬
10,12,Ｌトウショウドライヴ, 38,内田博, 2.9, 42, -11,  -9, 6, 21.5, ⑫⑪,10, 1, エクスプレミオン,---,ベリｰ, 1.5, 38, -43,  11, 4,  7.8,⑮⑭⑭,10,10,Ｄディｰプサウンド, 70,後藤浩, 1.8, 60,   5,  -2, 1,  1.7,⑤⑦⑩,10, 3,Ｐフォゲッタブル, 88,岩田康, 1.0, 92,   8,  17,13, 62.3,⑦⑥⑧
11, 3,Ｊマリインスキｰピサ, 41,池添謙, 2.9, 42, -12,  -8,12,130.9, ⑨⑩,11,12, ヒカルジュピタｰ,---,木幡初, 1.8, 38, -45,  13, 9, 67.7,⑯⑮⑮,,,,,,,,,,,,,11,13,Ｅオウケンブルｰスリ, 98,横山典, 1.1, 87,  10,  12, 8, 24.9,②④⑤
12, 8,Ｋリネントワイニング, 39,ベリｰ, 3.2, 39, -18,  -6,13,179.5, ⑮⑮,12,10, ミネルヴァクィｰン,---,津村明, 1.9, 30, -40,   1, 6, 23.2,⑬⑫⑫,,,,,,,,,,,,,12, 8,Ｉメイショウベルｰガ, 95,蛯名正, 1.2, 90,   8,  17, 9, 38.4,⑫⑫⑫
