11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,頌春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃダッシャｰワン, 59,内田博,, 58,*  8,  -7, 1,  1.8, ②①, 1,15, カナエチャン,---,中舘英,, 60,*  8, -13, 7, 19.4, ②②, 1,14,Ｃウインマリアベｰル, 76,吉田隼,, 73,*  2,*  6, 1,  3.0,⑥④③, 1, 4,Ｅヒシセンチュリｰ, 82,内田博,, 80,   8,   1, 1,  2.3,⑦⑥⑥
 2,10,Ｈミキノコモコ, 48,西田雄, 0.1, 55,   5,  -4,11, 43.0, ⑥⑥, 2,14, ファインセンス,---,北村宏, 0.3, 55,  -1,  -6,10, 56.5, ⑦⑥, 2,10,Ａディミｰタ, 77,蛯名正, 0.5, 68,   1,   3, 2,  5.4,⑧⑧⑥, 2, 5,Ｄネコパンチ, 83,大庭和, 0.0, 79,   6,*  4, 3,  5.5,⑥⑦⑦
 3, 8,Ｌゴｰルドアゲイン, 42,丸山元, 0.3, 50,  -9,*  8,14,167.0, ⑮⑮, 3,10, メｰプルレディｰ,---,田辺裕, 0.7, 51,   4, -16, 6, 18.9, ④③, 3, 4,Ｈカルトマリｰヌ, 65,田辺裕, 0.6, 67,   1,*  5, 7, 12.7,⑩⑪⑩, 3, 2,Ｉマイネルグｰト, 78,丹内祐, 0.0, 79,* 10,  -5, 5, 10.1,①①①
 4, 3,Ｅコスモロングロｰド, 53,津村明, 0.5, 51,   6,  -8, 5, 15.2, ④④, 4, 9, スイｰトコリｰヌ,---,蛯名正, 0.8, 48,  -2, -12, 9, 50.0, ⑥⑦, 4,11,Ｉカメリアビジュ, 65,横山典, 0.7, 66,   1,   1, 5,  8.5,⑤⑦⑤, 4, 1,Ｇマコトギャラクシｰ, 80,吉田豊, 0.1, 79,   5,*  7, 2,  5.4,⑩⑩⑨
 5, 2,Ｏコウヨウロイヤル, 39,松岡正, 0.7, 49,   3,  -7, 4,  9.0, ⑦⑦, 5, 7, レモスカ,---,江田照, 0.8, 53,*  8, -20, 3,  4.6, ①①, 5,13,Ｄビュｰティファイン, 74,津村明, 0.9, 64,*  2,  -1, 3,  5.6,⑬⑤④, 5, 6,Ｆイグゼキュティヴ, 81,松岡正, 0.3, 76,   9,  -5, 9, 29.5,④④③
 6,11,Ｎゴｰルドスマイル, 39,クラス, 0.8, 48,   1,  -6, 6, 17.5, ⑫⑫, 6, 4, アグネスシャロット,---,吉田豊, 0.8, 46,  -3, -11, 1,  4.1, ⑧⑧, 6,12,Ｅビクトリアスバイオ, 72,丸田恭, 1.0, 62,*  2,  -3, 4,  7.8,③③②, 6, 9,Ａプロヴィデンス, 86,蛯名正, 0.4, 74,* 10,  -9, 7, 18.4,③③④
 7,14,Ａヴィゴラスブレイン, 62,小野寺, 0.8, 50,*  7, -12, 3,  7.8, ③③, 7, 8, エイプリルスノｰ,---,宮崎北, 0.8, 51,   3, -15,14,109.8, ③④, 7, 9,Ｆカシマパフュｰム, 68,菅原隆, 1.2, 63,   1,  -3,13,243.7,⑨⑨⑪, 7, 7,Ｈベルタリド, 80,田辺裕, 0.4, 74,   6,   0, 6, 13.8,⑨⑧⑧
 8, 5,Ｇプリティｰマッハ, 49,村田一, 0.9, 46,  -3,  -4, 9, 40.3, ⑬⑬, 8,13, ミスファイアｰ,---,田面木, 1.0, 45,  -9,  -6,11, 80.4, ⑫⑪, 8, 8,Ｌチェルカトロｰバ, 61,柴山雄, 1.3, 62,   0,  -1,12,239.6,⑫⑫⑦, 8, 8,Ｊコスモオｰスティン, 72,ベリｰ, 0.5, 74,   9,  -7,10, 72.0,⑤⑤⑤
 9, 6,Ｂオｰダｰアゲン, 59,蛯名正, 0.9, 47,   1,  -7, 2,  6.7, ⑩⑩, 9, 5, メイショウハルカゼ,---,内田博, 1.5, 43,  -2, -16, 8, 30.0, ⑨⑩, 9, 2,Ｂリキサンキャロル, 77,大庭和, 2.1, 58,   1,  -7, 9, 41.5,⑦⑩⑫, 9,10,Ｃグッドバニヤン, 84,後藤浩, 0.7, 71,* 11, -13, 4,  7.2,②②②
