11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄメｰヴェ, 55,蛯名正,, 60,*  0,*  4, 2,  3.9, ③③, 1, 1, フィンデルムンド,---,蛯名正,, 52, -21,*  9, 2,  5.8, ⑪⑪, 1, 6,Ｋエイシンサクセス, 66,松岡正,, 84,  11,*  5, 4,  7.5,⑩⑨⑧, 1, 6,Ｅセイコｰライコウ, 79,柴田善,, 83,   8,   7, 2,  3.9, ⑥⑥
 2, 8,Ａフェアユｰス, 63,内田博, 0.1, 59,*  2,   1, 1,  2.3, ①①, 2, 3, エキナシア,---,松岡正, 0.0, 52, -14,   3, 1,  2.0, ⑥⑥, 2, 3,Ｃロックバルｰン, 76,中舘英, 0.1, 83,* 14,  -3, 7, 19.3,①①①, 2, 2,Ｌダイメイザバリヤル, 77,木幡初, 0.0, 85,   1,* 14,12, 48.5, ⑫⑩
 3,16,Ｉイカルス, 50,後藤浩, 0.7, 52,*  0,  -3, 6, 14.2, ④⑤, 3, 9, アスパイヤリング,---,丸田恭, 0.0, 51, -13,   2, 5, 13.0, ⑤⑤, 3,12,Ａアｰスステップ, 78,北村宏, 0.5, 77,* 12,  -7, 1,  2.9,⑤③③, 3, 3,Ａアラマサロｰズ, 81,勝浦正, 0.1, 82,   9,   5, 4,  7.8, ④③
 4, 6,Ｈアップタｰン, 52,田辺裕, 0.7, 53,  -5,   2, 5, 12.3, ⑦⑥, 4,14, ビッグスナイパｰ,---,勝浦正, 0.4, 49, -18,   3, 7, 24.5, ⑩⑧, 4, 7,Ｄスペｰスアｰク, 73,ベリｰ, 0.7, 76,* 12,  -8, 2,  4.5,④⑤⑥, 4, 5,Ｃアスタｰエンペラｰ, 80,古川吉, 0.1, 82,* 13,   1, 5, 11.2, ①①
 5,11,Ｍコスモヘラクレス, 37,松岡正, 0.7, 53,  -4,   1, 3,  5.5, ⑨⑧, 5,13, グッドクロック,---,田辺裕, 0.7, 46,*-11,  -6, 4,  7.6, ③③, 5, 1,Ｅショウナンアルディ, 72,柴田善, 0.8, 76,   8,* -1, 9, 33.4,⑪⑪⑫, 5,16,Ｂサクラミモザ, 81,内田博, 0.2, 82,   5,   8, 1,  3.4, ⑨⑧
 6, 2,Ｆドリｰムクレド, 54,吉田豊, 1.0, 50,  -1,  -4, 4,  9.1, ⑤④, 6, 2, ヤマニンバルｰシュ,---,横山典, 1.2, 41, -18,  -4, 3,  6.0, ⑨⑩, 6, 9,Ｂアポロストｰム, 76,丸田恭, 0.8, 74,* 12,  -9, 5, 10.7,③④⑤, 6, 4,Ｍファルクス, 74,宮崎北, 0.5, 77,   8,   1,10, 31.3, ⑤⑤
 7, 9,Ｅケイアイカミノコエ, 55,伊藤工, 1.3, 48,  -4,  -4, 9, 48.7, ⑧⑨, 7,10, エイダイコンビ,---,石橋脩, 1.3, 42,*-10, -12, 6, 21.9, ②②, 7, 5,Ｈショウナンタイシ, 70,後藤浩, 1.1, 72,  11, -12, 6, 14.6,⑥⑦⑦, 7,14,Ｐアキノパンチ, 67,丹内祐, 0.5, 77,   0,   9,16,387.4, ⑬⑬
 8, 5,Ｊベルウッドショット, 49,丸山元, 1.4, 47, -16,*  6,10, 91.3, ⑮⑭, 8, 4, イダテンハル,---,西村太, 1.4, 40, -17,  -7,12, 89.7, ⑦⑦, 8,11,Ｆメジロクリントン, 72,吉田豊, 1.4, 70,   8,  -9,10, 33.8,⑫⑫⑪, 8,15,Ｉメイショウシオギリ, 78,三浦皇, 0.6, 76,  -4,* 11,13, 75.4, ⑮⑮
 9, 3,Ｃコスモアバンティ, 56,津村明, 1.7, 45,  -6,  -5, 8, 44.7, ⑩⑩, 9, 6, ロシュロｰブ,---,田中勝, 1.5, 40, -28,   3, 8, 26.4, ⑯⑮, 9, 8,Ｍメジロワｰロック, 59,蛯名正, 1.4, 70,  11, -15,13, 82.6,⑧⑧⑨, 9, 1,Ｇエスカｰダ, 78,クラス, 0.7, 75,* 12,  -5, 8, 19.0, ②②
10,13,Ｎコスモビｰトイット, 36,丹内祐, 1.8, 45,  -8,  -5,14,298.2, ⑪⑪,10,16, フウジン,---,南田雅, 1.8, 36, -21,  -7, 9, 35.3, ⑫⑫,10, 2,Ｏトｰセンキャロル, 52,田辺裕, 1.8, 66,   8, -10,15,261.0,⑬⑬⑬,10,12,Ｄダイナミズム, 80,大野拓, 0.7, 75,   5,   1, 6, 15.9, ⑪⑫
11,12,Ｂトミケンアグｰド, 58,丸田恭, 2.0, 41,*  1, -14,11, 98.8, ②②,11, 8, ティアップシャリｰ,---,田中博, 1.9, 38, -16, -11,10, 86.5, ⑧⑨,11,10,Ｇユメユメユメ, 71,丹内祐, 2.0, 64,* 12, -26, 8, 31.1,⑨⑥④,11, 7,Ｈゲットブラック, 78,吉田隼, 0.7, 74,  -4,  10,14, 96.3, ⑭⑭
12,14,Ｌエｰブマンテン, 42,石橋脩, 2.1, 41, -14,  -1,16,353.0, ⑭⑮,12,11, トｰアアサギリ,---,後藤浩, 1.9, 35,*-11, -16,11, 87.7, ④④,12,15,Ｌフｰガフュｰグ, 62,三浦皇, 2.1, 66,   3,  -5,12, 67.9,⑮⑮⑮,12,10,Ｋセトノアンテウス, 78,北村宏, 0.8, 73,   8,  -3,11, 45.1, ⑦⑪
13, 7,Ｋイッキカセイ, 43,柴山雄, 2.2, 39, -12,  -4,15,346.3, ⑫⑫,13,15, ケｰジｰジャッカル,---,嘉藤貴, 2.5, 33, -25,  -6,13,157.8, ⑮⑭,13,13,Ｎメジロムｰア, 57,津村明, 2.9, 56,   7, -26,11, 62.7,⑭⑭⑭,13,13,Ｎニシノメイゲツ, 70,吉田豊, 0.9, 72,  -7,  10, 7, 17.5, ⑯⑯
14, 4,Ｇストロングレグナム, 53,吉田隼, 2.4, 40, -14,  -4, 7, 25.8, ⑬⑬,14, 7, タマモトロンボｰン,---,岩部純, 2.8, 27, -27, -10,16,240.8, ⑭⑯,14, 4,Ｉマツリダジャパン, 68,横山典, 3.8, 50,* 12, -55, 3,  5.0,②②②,14, 8,Ｏラッキｰバニヤン, 68,丸山元, 1.0, 70,   5,  -3,15,142.0, ⑩⑨
