11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆシェイクラブハｰト, 56,渡辺薫,, 59,* -4,   0, 5,  7.6,①①①, 1, 7, ロｰレルジャブラニ,---,石橋守,, 53,*-17,   9, 2,  5.2,②②②, 1,10,Ｃホクトスワン, 74,藤岡佑,, 72,* -1,   9, 8, 30.4,①①①, 1, 3,Ａリベルタス, 78,福永祐,, 80,*  1,   8, 1,  1.7,②②②
 2, 8,Ｃマイネマグノリア, 61,リスポ, 0.2, 59,  -7,*  4, 2,  3.8,⑦⑧⑨, 2, 5, タカノエイカン,---,田村太, 0.0, 55, -17,* 12, 9, 46.6,⑤④④, 2, 2,Ｆフレシｰタ, 70,佐藤哲, 0.3, 72,  -3,* 11, 6, 21.7,⑥⑧④, 2, 6,Ｅユニバｰサルバンク, 70,リスポ, 0.0, 82,   0,  11, 3,  7.4,④⑤⑤
 3,14,Ａユウキオジョウｰ, 63,池添謙, 0.3, 59,  -8,*  5, 4,  7.2,⑨⑪⑪, 3, 6, ヒルノクラウド,---,藤田伸, 0.1, 53,*-17,   8, 1,  1.6,①①①, 3, 5,Ｇヤマノトップラン, 70,秋山真, 0.3, 72,  -4,* 12, 9, 60.2,⑧⑨⑩, 3, 4,Ｆショウナンマイティ, 70,浜中俊, 0.0, 83,  -1,* 13, 2,  5.3,⑧⑧⑥
 4, 3,Ｅホワイトアルバム, 58,幸英明, 0.4, 57,  -6,  -1, 6, 10.2,④④③, 4, 2, セｰヌドパリ,---,幸英明, 0.1, 54, -18,* 11, 6, 22.7,③③③, 4, 4,Ｈタガノイノセンス, 69,国分優, 0.6, 67,  -3,   7, 2,  3.5,⑤⑤⑥, 4, 2,Ｉカピオラニパレス, 62,池添謙, 0.1, 79,*  1,   8,10, 59.3,⑦④③
 5, 1,Ｄディアカナメチャン, 59,小牧太, 0.7, 51,* -5,  -6, 1,  2.9,⑬②②, 5, 4, モルアコルト,---,藤岡佑, 0.8, 51, -20,   9, 4,  9.5,⑨⑨⑦, 5, 1,Ｂピサノルビｰ, 77,武豊  , 0.6, 68,* -1,   5, 1,  2.0,②②②, 5,10,Ｈイデア, 67,武豊  , 0.3, 75,*  3,   0, 9, 42.5,①①①
 6,12,Ｈロブストニケ, 49,国分優, 1.2, 50,  -6,  -7, 9, 89.9,②⑤⑤, 6, 1, メイショウランタナ,---,国分優, 1.0, 48, -19,   5, 7, 27.8,⑦⑦⑤, 6, 7,Ｅコウエイテンプウ, 73,浜中俊, 0.7, 66,* -1,   4, 7, 27.4,③③③, 6, 9,Ｊゴｰルドブライアン, 62,岩田康, 0.5, 82,  -2,* 12, 6, 18.3,⑨⑨⑧
 7, 4,Ｇポｰトワイン, 51,岩田康, 1.3, 54,  -8,  -3, 8, 51.2,⑧⑩⑦, 7,10, エメラルドヴァレｰ,---,小牧太, 1.1, 46, -17,   4, 3,  9.3,⑥⑥⑥, 7, 6,Ｉリｰプオブフェイス, 65,リスポ, 1.2, 63,  -3,   2, 3,  7.3,⑨⑦⑦, 7, 8,Ｄエｰシンミズｰリ, 71,四位洋, 0.5, 77,   0,   5, 4, 12.7,⑥⑥⑦
 8,10,Ｂメｰンテｰブル, 61,四位洋, 1.3, 50,  -6,  -7, 3,  5.2,⑭⑦⑥, 8, 9, スプリングルシオ,---,秋山真, 1.4, 44, -19,   1,10,115.1,⑧⑧⑧, 8, 3,Ｄアマゾネスバイオ, 73,国分恭, 1.3, 65,  -3,   2, 5, 15.9,⑦⑥⑨, 8, 1,Ｇダｰズンロｰズ, 70,小牧太, 0.6, 78,  -4,* 12, 8, 24.5,⑩⑩⑩
 9,13,Ｉサンキュｰフライト, 48,田村太, 1.7, 48,  -6, -11,14,275.3,③⑥⑧, 9, 3, アプジヒト,---,岩田康, 1.7, 45, -21,   3, 5, 17.7,⑩⑩⑨, 9, 8,Ｊオリオンザドｰタｰ, 47,幸英明, 1.3, 65,  -4,   6,10,125.2,⑩⑩⑧, 9, 5,Ｃハｰバｰコマンド, 71,藤田伸, 1.5, 66,  -1,  -5, 5, 16.9,⑤⑦⑨
