11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃカムイフォレスト, 56,川須栄,, 58,*  0,* -1, 1,  2.7, ②②, 1,12, オｰスミドライバｰ,---,伊藤工,, 62, -14,* 10,13, 97.9, ⑧⑧, 1,13,Ａドリｰムアライブ, 75,藤岡康,, 76,  10,*  4, 3,  4.0,②②②, 1, 4,Ｄエｰシンヒットマン, 67,藤岡康,, 83,* 10,*  6, 1,  4.2, ①①
 2, 5,Ａビップセンノセン, 64,北村友, 0.2, 56,*  0,  -2, 2,  3.0, ①①, 2, 3, メイショウナダル,---,酒井学, 0.3, 59,  -3,  -5, 1,  3.1, ③③, 2, 5,Ｄラムタムタガｰ, 72,高倉稜, 0.3, 71,   9,   3, 6, 20.0,④③③, 2,15,Ｈミヤジエムジェイ, 63,和田竜, 0.6, 72,  -1,*  9, 5,  9.7, ⑨⑧
 3, 7,Ｄニュｰユニヴァｰス, 53,荻野琢, 0.5, 52,  -6,  -1, 8, 25.8, ⑤④, 3,18, ハイライトリｰル,---,丸山元, 0.3, 59,  -7,   0, 4,  6.5, ⑦⑤, 3,12,Ｂミエノグレｰス, 74,クラス, 0.4, 73,   8,*  4, 2,  3.5,⑥⑤⑤, 3,12,Ｉハピシン, 62,酒井学, 0.7, 72,   6,   1, 2,  4.7, ⑤③
 4, 3,Ｂジュピタｰドリｰム, 60,小野寺, 0.5, 50, -11,*  1, 6, 19.1, ⑧⑥, 4, 2, ハクユウライナｰ,---,鮫島克, 0.5, 56,  -9,  -2, 9, 29.7, ⑤⑥, 4, 9,Ｅヤマニンフリスキｰ, 70,太宰啓, 0.8, 70,   6,*  5, 4, 11.8,⑩⑨⑧, 4,14,Ｂキョウワジャンヌ, 70,飯田祐, 0.9, 68,   2,   2, 6,  9.8, ⑧⑦
 5,13,Ｉマスタｰゾロアｰク, 41,松山弘, 0.8, 50,  -5,  -5, 4,  7.5, ③⑤, 5,13, インフィニｰト,---,藤岡康, 0.7, 54, -25,* 11, 5, 11.8, ⑨⑨, 5, 6,Ｇカシノピストン, 67,松山弘, 1.2, 72,   4,*  5, 9, 42.0,⑫⑪⑩, 5, 8,Ｃカイシュウコロンボ, 69,丸山元, 0.9, 67,  -2,*  6, 4,  6.6, ⑪⑪
 6, 6,Ｆビコｰディアナ, 46,高倉稜, 0.9, 47,  -6,  -5, 3,  6.7, ④③, 6,14, アスタｰポメリｰ,---,中舘英, 0.9, 52,  -3, -12, 6, 12.7, ④④, 6,11,Ｉマｰブルデイビｰ, 66,和田竜, 1.2, 70,   9,  -5, 8, 31.0,⑤④④, 6, 9,Ｋサカジロキング, 60,野元昭, 1.1, 65,  -3,   5,11, 41.9, ⑫⑫
 7, 8,Ｇサクラメアリ, 46,黛弘人, 1.2, 44, -10,  -5, 7, 20.0, ⑨⑨, 7, 5, プルピットレディ,---,柴原央, 0.9, 52,  -8,  -7, 2,  4.8, ⑥⑦, 7, 7,Ｊビｰビｰライナｰ, 60,伊藤工, 1.3, 68,   5,   0,11,135.6,⑨⑧⑦, 7, 6,Ｆマイネルマサムネ, 65,丹内祐, 1.1, 66,  -6,*  8, 8, 16.6, ⑬⑬
 8, 1,Ｋキクノルナ, 36,野元昭, 1.2, 44, -11,  -4, 9,112.4, ⑦⑧, 8,16, バトルドゥｰマ,---,太宰啓, 0.9, 51,*  2, -18, 3,  6.0, ②②, 8, 1,Ｃベストフェット, 74,勝浦正, 1.5, 65,* 15, -17, 1,  2.6,①①①, 8, 7,Ａマルタカシクレノン, 70,西田雄, 1.2, 64,   2,  -2, 3,  5.0, ⑦⑨
 9,12,Ｈビュｰティバラｰド, 42,和田竜, 1.4, 44,  -7,  -8, 5, 11.2, ⑥⑦, 9, 8, フェリスヴァｰズ,---,北村友, 1.0, 49, -24,*  6, 8, 22.2, ⑩⑩, 9, 8,Ｈマヤノテムジン, 67,川島信, 1.5, 66,   8,  -5, 5, 12.8,⑦⑥⑥, 9,10,Ｍノｰブルディｰド, 53,北村友, 1.2, 65,   5,  -5,10, 36.8, ④⑤
10, 4,Ｅシゲルシュカン, 48,飯田祐, 1.8, 38, -16,  -5,10,120.5, ⑩⑩,10, 1, スキャタｰザスノウ,---,丸田恭, 1.8, 39,*  3, -29, 7, 15.0, ①①,10, 3,Ｆマイネルビスタ, 70,丹内祐, 1.8, 68,   4,   1, 7, 22.2,⑬⑫⑪,10,13,Ｇエランドｰル, 64,太宰啓, 1.3, 64,   4,  -4, 7, 14.0, ⑥⑥
