11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅマキシムカムイ, 44,川須栄,, 54,   1,   1, 5, 32.1, ③③, 1,12, サトノシュレン,---,北村友,, 55,*  1, -15, 3,  8.8,①①①, 1, 7,Ｃミルクマン, 75,中舘英,, 68,*  5,   5, 2,  3.8,①①①, 1,12,Ａクレバｰサンデｰ, 81,高倉稜,, 73,  -2,* 10, 1,  2.2, ⑧⑥
 2,13,Ａニシノショｰタイム, 65,勝浦正, 0.2, 52,*  5,  -4, 1,  1.2, ①①, 2,10, エリモロッソ,---,芹沢純, 0.2, 54,*  0, -16, 7, 24.5,②②②, 2, 9,Ｅドリｰムザネクスト, 71,丸山元, 0.2, 69,   2,* 10, 6, 12.4,⑨⑨⑧, 2,17,Ｅリッカスウィｰプ, 70,中舘英, 0.0, 75,*  2,   6, 3,  6.0, ②②
 3, 6,Ｂサワヤカユウタ, 60,高倉稜, 0.3, 47, -12,*  6, 2,  6.5, ⑨⑨, 3, 6, メイショウゾウセン,---,藤岡康, 0.6, 52,  -4,*-11, 1,  2.7,⑨⑦⑥, 3, 1,Ｄメイショウモネ, 74,古川吉, 0.2, 69,   4,   7, 5, 10.1,③③②, 3,10,Ｃユウキサンオｰラ, 75,二本柳, 0.2, 72,  -5,* 10,10, 64.4, ⑫⑨
 4,10,Ｌクラウンハイパｰ, 28,宮崎北, 0.4, 47,  -6,*  1,13,290.6, ⑥④, 4, 9, アンクルポケット,---,川須栄, 0.7, 51,  -2, -16, 8, 30.5,⑥⑤⑤, 4, 5,Ｇクオリティタイム, 70,太宰啓, 0.2, 70,   0,* 15,10, 58.9,⑪⑪⑨, 4,15,Ｇビスカヤ, 69,川須栄, 0.3, 71,  -3,   7, 8, 24.4, ⑦⑧
 5, 4,Ｃカシノエベレスト, 52,西村太, 1.2, 40,  -9,  -4, 4, 17.8, ⑧⑦, 5, 4, ファイヤｰ,---,太宰啓, 0.7, 49,  -2, -21, 4, 10.4,④④④, 5, 3,Ｆトｰセンヤッテキタ, 70,大野拓, 0.3, 66,*  5,   4, 4,  8.7,④②③, 5,14,Ｍトップオブザヘヴン, 63,太宰啓, 0.3, 71,  -9,* 12, 5, 12.3, ⑭⑬
 6, 9,Ｈアキノランラン, 42,丹内祐, 1.2, 42,  -2,  -8, 6, 68.7, ④⑤, 6, 2, メイショウオウヒ,---,勝浦正, 0.8, 49,  -7,* -9, 5, 11.0,⑪⑩⑨, 6, 6,Ａミラクルセッション, 77,武幸四, 0.4, 68,   4,   4, 1,  2.5,⑥④④, 6, 5,Ｈキュｰトシルフ, 67,飯田祐, 0.4, 69,*  4,  -1, 6, 12.7, ①①
 7,11,Ｉクリノハルチャンス, 37,田辺裕, 1.3, 39, -14,  -1, 9, 90.7, ⑪⑪, 7, 8, ユウタｰチェイサｰ,---,松山弘, 0.9, 49,  -7,*-10,13, 73.4,⑫⑪⑩, 7, 2,Ｈサｰチリザルト, 68,浜中俊, 0.5, 66,   3,   5, 8, 50.1,⑤⑦⑤, 7, 3,Ｂユキノラムセス, 75,西田雄, 0.6, 66,  -6,   6, 2,  5.9, ⑨⑩
 8, 5,Ｊセトノアカリ, 37,赤木高, 1.7, 34, -17,  -3, 7, 73.0, ⑫⑫, 8, 1, マヤノディアウス,---,上村洋, 1.2, 46,  -7, -15,11, 41.1,⑧⑨⑧, 8,11,Ｊプリティ, 54,川須栄, 0.9, 65,   2,   5, 9, 51.7,⑩⑩⑩, 8, 8,Ｉケイエスケイト, 67,武幸四, 0.6, 66, -12,* 11,12, 88.0, ⑱⑰
 9, 7,Ｆトｰホウエルザ, 43,藤岡康, 1.7, 33, -20,  -1,10,122.6, ⑬⑬, 9, 7, リトルギムレット,---,高倉稜, 1.4, 43,  -1, -30, 9, 35.7,③③③, 9, 8,Ｂラパリｰガ, 76,西村太, 1.2, 61,   3,  -1, 3,  5.4,⑧⑧⑦, 9,11,Ｋスズカサクセス, 65,宮崎北, 0.7, 65,  -9,   7,11, 65.8, ⑬⑮
