11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,くすのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄノｰザンソング, 55,安藤光,, 59,*  0,  -3, 2,  6.1,②②②, 1,10, エｰシンプリｰマ,---,中舘英,, 69,*  3,  -1, 1,  2.7, ①①, 1,13,Ｆテｰオｰストｰム, 75,藤岡康,, 84,* -6,  29, 1,  2.7,③⑥⑥, 1, 3,Ｉウルトラカイザｰ, 41,真島正,, 69,*  8,   5, 5, 14.8,①①①
 2,10,Ａシｰライフ, 62,川島信, 0.3, 57,*  1,  -6, 1,  1.8,①①①, 2, 5, ハッピｰトゥデイ,---,藤岡康, 0.0, 68,  -1,*  3, 2,  4.1, ③④, 2, 1,Ｃゴｰルドスパｰクル, 77,中舘英, 0.0, 84,* -5,  29, 3,  4.6,⑤④④, 2, 2,Ｄダｰトムｰア, 66,太宰啓, 0.0, 68,   3,* 12, 4, 11.9,⑩⑦⑥
 3,11,Ｊスエヒロジュピタｰ, 46,小林徹, 0.4, 57,* -1,  -4,12,155.0,③③③, 3, 8, サンライズサルｰテ,---,武幸四, 0.2, 65,  -3,*  1, 3,  4.8, ⑥②, 3, 6,Ｂロｰレルクラシック, 80,太宰啓, 0.0, 84,* -6,  30, 2,  3.3,⑩⑤⑤, 3, 9,Ｃゴｰルドロジャｰ, 66,大野拓, 0.2, 66,   5,   7, 3, 11.4,④④⑤
 4,14,Ｂラブギャラクシｰ, 62,太宰啓, 0.5, 56,  -4,*  1, 5, 10.0,⑨⑩⑪, 4, 3, コウユｰタイセイ,---,田辺裕, 0.7, 57,  -8,   0, 8, 28.5, ⑦⑤, 4,10,Ａオｰルタｰゲット, 81,川須栄, 0.0, 81,* -6,  26, 4,  6.9,④③③, 4, 5,Ａナムラダイキチ, 72,小林徹, 0.2, 67,*  7,   5, 2, 10.9,②②②
 5, 8,Ｈテイエムオニキス, 52,大野拓, 0.9, 52,  -2,  -8, 7, 19.6,⑧⑤⑤, 5,11, タケデンゴｰルド,---,勝浦正, 0.9, 55, -13,*  2, 6, 15.3, ⑧⑧, 5, 9,Ｇエイシンブイダンス, 74,古川吉, 0.1, 89, -10,* 39, 5, 22.0,⑫⑬⑫, 5,10,Ｂテイエムドンマイ, 69,古川吉, 0.9, 62,   6,   1, 1,  1.3,⑤⑥③
 6, 2,Ｋアフリｰトギャル, 44,伊藤工, 0.9, 54,  -2,  -8, 8, 51.7,⑥④④, 6, 6, マキハタフォルテ,---,太宰啓, 1.7, 45,*  1, -22, 5, 12.1, ②③, 6, 2,Ｌビレッジブライト, 68,西田雄, 0.1, 78,* -4,  23,12,100.9,①①①, 6, 1,Ｈワイルドビｰト, 54,勝浦正, 1.1, 61,   5,   0, 7, 31.4,⑥③④
 7, 1,Ｆメメエナン, 53,岩部純, 0.9, 54,  -5,* -1, 9, 70.2,⑬⑬⑫, 7, 9, ハギノアップラウゾ,---,川須栄, 1.9, 44,*  0, -23, 4,  8.1, ④⑥, 7, 5,Ｅシャイニングデイ, 76,西村太, 0.2, 84,  -8,* 33, 6, 26.5,⑪⑪⑩, 7, 4,Ｆサングップ, 59,田辺裕, 1.1, 60,   4,   2, 6, 18.4,⑦⑧⑧
 8,13,Ｃチカリンダ, 60,山口勲, 1.8, 47,  -3, -13, 4,  9.8,⑦⑦⑥, 8, 2, アルメティｰダ,---,武英智, 2.0, 41, -17,  -8, 7, 16.4, ⑨⑨, 8, 3,Ｈスペｰスシャトル, 72,田辺裕, 0.5, 73,* -6,  19,11, 62.3,②②②, 8, 7,Ｊタガノアルザン, 35,西田雄, 2.0, 55,   4,  -6, 9, 79.7,⑨⑩⑩
 9, 9,Ｍデンエン, 40,宮崎北, 1.9, 46,  -3, -11,11,123.6,⑪⑨⑩, 9,12, タマモカルメン,---,田中健, 2.5, 35, -24,  -8,12, 80.3, ⑪⑪, 9, 7,Ｄテラノパンサｰ, 76,山口勲, 0.6, 79,  -6,  25, 7, 29.0,⑨⑩⑪, 9, 8,Ｇシゲルカンサヤク, 56,伊藤工, 2.1, 55,   6,  -9, 8, 68.1,③⑤⑦
10, 3,Ｇナンヨｰルｰジュ, 52,勝浦正, 1.9, 47,  -3, -12, 6, 13.8,⑩⑧⑦,10, 7, ドゥルキス,---,安藤光, 2.8, 30, -19, -17,11, 74.4, ⑩⑩,10,11,Ｉマッキｰスチｰル, 70,野元昭, 0.8, 74,  -7,  21,13,318.0,⑦⑨⑨,10, 6,Ｅハクユウコマンダｰ, 63,山口勲, 2.1, 54,   4,  -7,10, 99.3,⑧⑨⑨
11,12,Ｉヒミノナナ, 50,丸田恭, 2.0, 46,  -5,  -9,13,179.4,⑫⑪⑨,11, 1, トｰホウガｰデン,---,古川吉, 3.1, 27,  -3, -37, 9, 37.4, ⑤⑦,11, 8,Ｍシゲルタカカゲ, 63,松山弘, 0.8, 73,* -6,  19, 8, 37.1,⑥⑦⑦,,,,,,,,,,,,
12, 6,Ｅマルサンアップル, 53,川須栄, 3.1, 39,  -3, -24, 3,  6.5,⑤⑥⑧,12, 4, メイショウザイラｰ,---,鮫島良, 3.5, 22, -31, -14,10, 71.4, ⑫⑫,12, 4,Ｋエｰシンアガペｰ, 68,勝浦正, 0.9, 73,  -7,  21, 9, 45.8,⑧⑧⑧,,,,,,,,,,,,
13, 5,Ｎブルラ, 26,古川吉, 3.2, 39,  -9, -14,10,110.4,⑭⑭⑬,,,,,,,,,,,,,13,12,Ｊマグニフィセント, 69,上村洋, 1.2, 74,  -8,  21,10, 58.5,⑬⑫⑬,,,,,,,,,,,,
14, 4,Ｌハマッコ, 41,千葉直, 8.1,  4,  -5, -61,14,327.2,④⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:4),,,,,,,,,,,
"単勝:610円 複勝:07=170円 10=120円 11=1,400円 枠連:430円",,,,,,,,,,,,単勝:270円 複勝:10=140円 05=130円 08=170円 枠連:350円,,,,,,,,,,,,単勝:270円 複勝:13=130円 01=160円 06=130円 枠連:600円,,,,,,,,,,,,"単勝:1,480円 複勝:03=1,180円 02=510円 09=530円 枠連:6,010円",,,,,,,,,,,
"馬連:590円 ワイド:07-10=240円 07-11=3,700円 10-11=2,140円",,,,,,,,,,,,馬連:840円 ワイド:05-10=300円 08-10=300円 05-08=420円,,,,,,,,,,,,馬連:600円 ワイド:01-13=270円 06-13=230円 01-06=320円,,,,,,,,,,,,"馬連:5,850円 ワイド:02-03=1,360円 03-09=1,330円 02-09=860円",,,,,,,,,,,
"馬単:1,700円 3連複:10,800円 3連単:48,220円",,,,,,,,,,,,"馬単:1,580円 3連複:1,230円 3連単:5,630円",,,,,,,,,,,,"馬単:790円 3連複:700円 3連単:3,110円",,,,,,,,,,,,"馬単:15,220円 3連複:15,120円 3連単:126,250円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,帆柱山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａヨイチサｰクル, 62,大野拓,, 57,*  3,  -6, 2,  3.8, ①①, 1, 5,Ｂフェイズシフト, 74,太宰啓,, 66,  -1,  12, 3,  7.0,⑥⑥⑦, 1, 5,Ｊメイショウボヌス, 69,武幸四,, 70,  -5,* 21, 4,  7.1,④⑥⑤, 1, 2,Ｄストロングポイント, 75,丸田恭,, 81,   2,  14, 6, 15.6, ④④
 2,10,Ｉマウシャｰレ, 47,渡辺薫, 0.1, 57,*  2,  -6, 7, 28.2, ③②, 2, 9,Ｉメイショウフェｰヴ, 64,山口勲, 0.1, 68,  -4,* 17,10, 33.4,⑬⑬⑬, 2, 6,Ｂサダムトウコン, 75,上村洋, 0.0, 70,* -3,  19, 5, 10.8,②④②, 2,13,Ｊコクトｰ, 73,西田雄, 0.1, 80,*  5,  10, 9, 20.6, ②②
 3,12,Ｃカプリｰスレディｰ, 52,丸田恭, 0.2, 54,  -9,*  1, 9, 50.6, ⑧⑩, 3, 7,Ｆツヨイキモチ, 66,丸田恭, 0.4, 62,  -3,  12, 6, 15.5,⑪⑨⑨, 3, 4,Ｃパｰフェクトバイオ, 75,中舘英, 0.1, 68,* -2,  17, 1,  3.2,①①①, 3, 1,Ａステラｰホｰプ, 80,伊藤工, 0.3, 78,  -6,* 18, 2,  4.7, ⑨⑨
 4,11,Ｊテイエムララバイ, 44,真島正, 0.4, 52,  -4,  -5,13,252.8, ⑥⑦, 4, 2,Ｈユメミルテｰラｰ, 65,藤岡康, 0.4, 64,*  1,   5,11, 37.1,②②②, 4,12,Ｉメイショウドレイク, 70,小島太, 0.3, 66,* -4,  16,10, 50.8,⑧②③, 4, 9,Ｃシンコｰプリンス, 75,古川吉, 0.4, 76,  -6,* 17, 4,  6.7, ⑩⑩
 5,13,Ｈクｰルジャガｰ, 47,勝浦正, 0.7, 49, -10,  -3, 3,  6.4, ⑩⑨, 5, 6,Ｍヤマニンギモｰヴ, 60,渡辺薫, 0.5, 63,  -1,   7, 4, 10.0,⑦⑦⑧, 5,11,Ｍメタギャラクシｰ, 67,伊藤工, 0.3, 70,  -9,* 26,11, 59.7,⑬⑬⑬, 5, 7,Ｅコリコパット, 74,宮崎北, 0.4, 77,  -1,  13, 8, 17.0, ⑦⑦
 6, 1,Ｇラブデｰビット, 49,伊藤工, 0.7, 50,  -7,  -6,11,104.0, ⑦⑤, 6, 3,Ｌカシノスタｰライト, 62,二本柳, 0.8, 62,  -4,   9,14,174.5,⑩⑫⑪, 6, 2,Ｅホッコｰキングオｰ, 73,太宰啓, 0.5, 65,  -6,  19, 6, 13.1,⑩⑩⑥, 6, 5,Ｂニホンピログッデン, 78,藤岡康, 0.7, 73,   1,   6, 1,  4.3, ⑥⑤
 7, 3,Ｄプルメリ, 51,山口勲, 0.8, 48, -16,*  0, 6, 24.1, ⑪⑪, 7, 8,Ｃドラゴンソニック, 69,黛弘人, 0.8, 63,  -4,  11, 8, 20.7,⑭⑭⑭, 7, 1,Ｎネオシｰサｰ, 54,川島信, 0.7, 66,  -7,  20,12, 90.9,⑨⑫⑫, 7, 8,Ｇピエナブラヴ, 74,岩部純, 0.8, 71,  -8,  14, 5,  6.9, ⑪⑪
 8, 6,Ｆラガｰフォｰラム, 50,松山弘, 0.8, 49, -12,  -3, 4, 15.4, ⑨⑧, 8, 4,Ｊカインドオブブルｰ, 64,小野寺, 0.8, 59,*  2,  -1, 9, 29.6,①①①, 8, 3,Ｈシンボリカンヌ, 72,大野拓, 0.8, 62,  -5,  15,13, 94.4,⑪⑨⑪, 8,11,Ｉマイネルオｰクベイ, 73,大野拓, 0.9, 70,*  4,   1,11, 28.6, ③③
 9, 8,Ｅシゲルトウカツカン, 51,古川吉, 1.0, 44, -21,*  0, 5, 21.3, ⑬⑬, 9,13,Ｋパラダイスモデル, 62,伊藤工, 0.9, 60,  -1,   3,13, 84.1,④⑤③, 9, 9,Ａグッドカレラ, 76,藤岡康, 1.0, 62,  -5,  12, 2,  3.4,⑥⑦⑦, 9, 6,Ｆヴァリアントレディ, 74,長谷川, 0.9, 69, -14,* 18,10, 23.0, ⑬⑬
10, 9,Ｌスリｰキティ, 35,川須栄, 1.5, 41,  -4, -15, 8, 34.2, ⑤⑥,10,14,Ｄオメガリトルスタｰ, 68,松山弘, 1.0, 62,*  1,   1, 5, 14.3,③③④,10,10,Ｆスタｰサイクル, 73,川須栄, 1.0, 61,* -4,  10, 8, 30.2,⑫③④,10,12,Ｌハマノモナｰク, 68,渡辺薫, 1.0, 69, -10,  13,13, 41.1, ⑫⑫
11, 2,Ｋクラウンデザイナｰ, 39,西田雄, 1.9, 36, -19,  -9,12,129.6, ⑫⑫,11, 1,Ａディミｰタ, 74,大野拓, 1.1, 58,  -2,   4, 2,  3.8,⑧⑧⑥,11, 7,Ｌイｰジｰウイン, 67,田辺裕, 1.1, 61,  -5,  13, 9, 50.6,⑤⑧⑧,11, 4,Ｋキングオブザベスト, 70,丹内祐, 1.1, 68,   2,   0, 7, 16.8, ⑤⑥
12, 7,Ｂバトルドゥｰマ, 53,中舘英, 2.0, 37,*  2, -23, 1,  1.8, ②③,12,12,Ｎプライズデイ, 59,西田雄, 1.2, 59,  -3,   5,15,271.4,⑫⑪⑫,12, 8,Ｇマックスドｰズ, 72,宮崎北, 1.2, 59,  -4,  11, 7, 13.7,③⑤⑨,12, 3,Ｍツルマルジャパン, 61,太宰啓, 1.3, 65,*  6,  -7,12, 33.2, ①①
