11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａビｰム, 68,中舘英,, 58,* -8,  17, 1,  2.8,①①①, 1, 8, サイドアタック,---,ベリｰ,, 64,*-21,* 19, 1,  3.0,④③②, 1, 1,Ａクラレットジャグ, 74,吉田隼,, 76,   4,* 16, 3,  4.3,④⑤④, 1, 6,Ｆヒットメｰカｰ, 73,太宰啓,, 91,  12,* 16, 1,  3.1,⑨⑤④
 2,13,Ｇオｰヴァｰジョイド, 47,北村友, 0.1, 59, -10,* 21, 4,  7.6,⑥⑤⑤, 2,16, ブラボｰスキｰ,---,北村友, 0.0, 63,*-21,* 19, 3,  5.5,②②①, 2, 6,Ｂベストフェット, 72,田辺裕, 0.0, 72,   3,* 17, 1,  2.9,⑧⑦⑥, 2, 4,Ｇティキマハロ, 73,リスポ, 0.7, 81,  13,   2, 3,  5.5,③②②
 3,11,Ｂデルマインドラ, 64,竹之下, 0.2, 57, -10,* 18, 2,  3.6,④③④, 3, 9, アクロスザライト,---,川須栄, 0.4, 58,*-21,  13, 4, 12.8,⑤④④, 3, 2,Ｄマックスドｰズ, 70,丸田恭, 0.7, 68,   2,  14, 8, 27.3,⑦⑨⑧, 3,14,Ｉヤマニンシャスｰル, 73,浜中俊, 0.8, 82,  10,   7, 5, 10.3,⑫⑧⑥
 4, 5,Ｄカシノウィンド, 59,赤木高, 0.6, 56,  -9,  16, 5, 11.9,③④②, 4,15, キョウワノイノリ,---,秋山真, 0.8, 54, -22,  10,13, 77.3,⑦⑤⑤, 4,11,Ｃジｰワンボｰイ, 71,藤岡康, 0.8, 69,   3,  12, 2,  3.7,⑨⑧⑩, 4,11,Ｅエｰシンマイトップ, 74,赤木高, 0.9, 78,* 17, -10, 4, 10.0,①①①
 5, 1,Ｃサカジロゴｰルド, 63,野元昭, 0.7, 54,* -9,  13, 3,  3.9,②②③, 5, 1, ボディアピｰル,---,松山弘, 0.9, 55, -24,  13,12, 57.2,③⑧⑦, 5, 5,Ｅカシノピストン, 70,松山弘, 0.8, 71,   2,  13,11, 68.5,⑪⑪⑪, 5, 9,Ｌマッキｰスチｰル, 70,野元昭, 1.1, 80,   8,*  9,14,352.8,⑩⑪⑩
 6,10,Ｌショウサンガイナ, 25,吉田隼, 1.5, 51, -12,  11,11,150.2,⑩⑨⑧, 6, 5, オｰシャンブルｰ,---,リスポ, 1.2, 53, -25,  11, 2,  3.2,⑪⑩⑨, 6, 7,Ｆサンワｰドハｰレｰ, 70,太宰啓, 1.0, 67,   2,  12, 9, 43.2,⑩⑩⑨, 6, 5,Ｈコラデピｰノ, 73,宮崎北, 1.2, 79,  13,  -2,10, 32.1,⑤③③
 7, 7,Ｅアウグｰリオ, 55,鮫島良, 1.5, 51, -13,  15, 6, 16.4,⑪⑫⑩, 7,11, デルマハヌマｰン,---,古川吉, 1.4, 46, -23,   3,14, 89.1,⑨⑥⑥, 7,10,Ｋメジロフランクリン, 62,黛弘人, 1.2, 66,   1,  11,10, 56.9,⑫⑫⑫, 7,13,Ｂケｰジｰカチボシ, 75,丸山元, 1.5, 73,  11,  -6, 7, 16.9,⑦⑥⑧
 8, 9,Ｆキｰパｰ, 49,田辺裕, 1.5, 49, -13,  14, 8, 67.6,⑨⑪⑨, 8, 2, ヤマニンティグル,---,上村洋, 1.5, 48, -25,   6, 5, 13.0,⑥⑨⑪, 8, 4,Ｈカラｰチャｰジ, 67,大野拓, 1.3, 63,*  5,   3, 4, 10.7,⑤③③, 8,12,Ｊロックフルマｰク, 72,田辺裕, 1.5, 75,   9,   1, 9, 22.4,⑬⑨⑨
 9, 6,Ｈカイシュウウルフ, 45,大野拓, 2.5, 42, -15,   9,12,156.0,⑬⑬⑬, 9, 6, メンデルスゾｰン,---,浜中俊, 1.6, 47, -27,   7, 7, 26.3,⑬⑬⑫, 9,12,Ｇフィｰルドウイナｰ, 67,川須栄, 1.4, 63,*  5,   2, 7, 14.9,⑥④⑤, 9, 7,Ｃビップレジェンド, 75,黒岩悠, 1.5, 75,  10,  -1, 8, 17.8,⑧⑦⑦
