11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,大津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃシｰライフ, 62,川島信,, 63,*  2,* -6, 1,  2.5,②②②, 1,14, マリブスタｰ,---,川田将,, 63,*-11,* 12, 2,  3.1,④③②, 1, 7,Ｃピサノプリヴェ, 73,浜中俊,, 77,* 11,   3, 5,  8.4, ②②, 1,10,Ｊディアビリｰヴ, 78,和田竜,, 82,*  9,   6, 7, 27.7,②③③
 2,11,Ａシｰズガレット, 67,藤岡康, 1.1, 57,   0,*-10, 3,  4.6,⑧⑥⑤, 2, 7, ブラックアテナ,---,岩田康, 0.4, 62, -12,* 11, 1,  2.4,⑤⑦⑥, 2, 5,Ｂカツノセカンド, 77,四位洋, 0.2, 76,* 12,   1, 6,  8.6, ①①, 2,13,Ｇキングオブヘイロｰ, 79,岩田康, 0.2, 81,* 10,   3, 2,  3.6,①①①
 3, 2,Ｅロブストニケ, 54,国分優, 1.3, 52,*  2, -18, 4, 13.6,①①①, 3,15, ロットトゥウィン,---,浜中俊, 0.5, 58,*-10,   7, 4,  7.9,⑥④⑤, 3, 1,Ｈダニエルバロｰズ, 68,秋山真, 0.2, 72,   5,*  8,10, 22.8, ⑪⑬, 3, 9,Ａヒカリコｰズウェｰ, 84,赤木高, 0.3, 79,   6,* 11, 5, 11.3,⑩⑩⑪
 4, 3,Ｄエアワンピｰス, 60,武豊  , 1.5, 54,   1, -16, 2,  2.6,⑥④④, 4, 4, ソルビアンコ,---,国分優, 0.7, 57, -14,* 12, 6, 23.9,⑪⑫⑦, 4, 3,Ｋナムラナイト, 66,国分優, 0.3, 72,* 10,   1,11, 86.3, ③③, 4, 5,Ｂスエズ, 83,佐藤哲, 0.4, 78,   8,   5, 3,  6.2,⑨⑦⑥
 5, 9,Ｂハロｰエフェクト, 64,高倉稜, 1.6, 52,  -3,*-10, 5, 22.8,⑫⑫⑩, 5, 6, ファンタズミック,---,福永祐, 0.9, 57, -13,   8, 5, 23.1,⑧⑩⑧, 5,13,Ｄノボジュピタｰ, 72,国分恭, 0.5, 72,   7,   3, 1,  4.2, ⑩⑧, 5, 6,Ｈアイアムイチバン, 79,福永祐, 0.6, 77,   9,   2, 9, 34.7,⑦⑥⑤
 6, 7,Ｆメイショウモンシロ, 52,武幸四, 2.3, 49,   0, -21, 9, 47.8,⑨⑦⑥, 6, 5, ヤマイチサプライズ,---,小林徹, 1.2, 54,* -9,   0, 9, 46.0,①①①, 6,15,Ｉランドタカラ, 67,川田将, 0.5, 70,   4,*  6, 9, 14.2, ⑬⑫, 6, 2,Ｄエアペイシェンス, 81,四位洋, 0.8, 77,   6,*  8, 6, 22.5,⑬⑬⑩
 7, 1,Ｉマイネトルテ, 50,和田竜, 2.8, 47,   0, -25, 7, 31.1,④⑤⑦, 7, 2, ルチルドラｰド,---,北村友, 1.2, 54, -13,   6, 3,  7.8,⑩⑪⑨, 7,16,Ｆジョｰモカ, 70,藤岡康, 0.6, 71,   8,   2, 4,  8.3, ⑦⑥, 7,11,Ｆドリｰムマジシャン, 80,国分恭, 0.8, 78,   7,   4, 4,  6.4,⑧⑧⑨
 8,10,Ｈナンヨｰルｰジュ, 50,岩田康, 3.1, 46,  -1, -25, 6, 24.8,⑩⑨⑪, 8, 3, スパｰクスフライ,---,石橋守, 1.8, 51, -14,   4,12, 88.4,⑮⑬⑬, 8, 6,Ｍスプリングオスロ, 59,酒井学, 0.9, 68,   9,  -3,13, 99.7, ④④, 8, 7,Ｌレッドサｰパス, 74,小牧太, 0.9, 73,   7,   4, 8, 32.7,⑪⑨⑧
 9, 6,Ｋタマモカルメン, 34,田中健, 3.5, 41,   1, -33,12,166.8,⑤③③, 9, 1, マルヴァジア,---,柴原央, 1.9, 48, -11,  -3,16,168.9,③⑤③, 9,14,Ｅサマｰソング, 71,福永祐, 1.0, 68,   9,  -4, 3,  6.5, ⑤⑤, 9, 8,Ｃコウユｰヒｰロｰ, 81,浜中俊, 1.5, 71,   6,   0,11, 54.9,⑫⑫⑫
