11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紫野特別,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, ヒノデポベｰダ,---,宮崎北,, 59,  -7,*  3,15,225.4, ⑤④, 1, 3,Ｂサトノユリア, 66,秋山真,, 68,  -5,*  7, 1,  2.1, ⑪⑩, 1, 6,Ａランリョウオｰ, 83,四位洋,, 96, -11,* 36, 1,  1.3, ⑦⑦, 1, 3,Ｄロｰドカナロア, 76,北村友,, 73,*  0,   2, 1,  2.4, ②②
 2, 7,Ｂイツモジョウキゲン, 55,国分恭, 0.1, 60,* -4,  -1, 1,  2.7, ①①, 2,13,Ａオｰシャンビｰナス, 68,幸英明, 0.1, 66,  -4,*  1, 2,  2.4, ⑧⑦, 2, 5,Ｄエクスペディション, 77,浜中俊, 0.3, 91,  -9,  29, 3,  7.6, ⑥⑤, 2,10,Ｌサクラベル, 59,佐藤哲, 0.2, 73,  -9,*  9,13,112.0, ⑬⑪
 3,16,Ａキシュウライ, 57,小林徹, 0.6, 57,  -8,  -2, 2,  3.3, ⑥⑥, 3,10,Ｃヴェルデライト, 57,ピンナ, 0.4, 62,* -3,  -5, 3, 13.9, ⑤⑥, 3, 3,Ｇレジェンドブルｰ, 74,藤岡佑, 0.3, 87,* -5,  20, 6, 24.4, ②②, 3,13,Ｆミヤジエムジェイ, 75,和田竜, 0.2, 73,  -4,   4, 6, 15.1, ⑥⑤
 4,15,Ｃメモリｰフェスタ, 53,池添謙, 0.7, 53,* -5,  -7, 3,  5.6, ②②, 4, 9,Ｆヤマニンアベイユ, 56,北村友, 0.5, 60,* -3,  -6, 5, 23.4, ④③, 4, 7,Ｅリバｰハイランド, 76,秋山真, 0.5, 85,  -7,  21, 4, 14.6, ④③, 4, 2,Ｅアフォｰド, 75,秋山真, 0.3, 72,  -7,   5, 4,  8.5, ⑦⑨
 5, 5,Ｇインパクトバイオ, 48,藤岡佑, 0.7, 56, -10,   0, 6, 13.5, ⑦⑦, 5, 8, パｰムアイランド,---,川田将, 1.0, 56,* -3, -15, 9, 51.2, ②②, 5, 1,Ｂマイネルプリマス, 81,和田竜, 0.5, 82,* -4,  14, 2,  5.7, ①①, 5, 4,Ｃスギノエンデバｰ, 77,四位洋, 0.3, 73,  -6,   5, 5, 11.4, ⑧⑧
 6, 6,Ｆシゲルフクシュニン, 49,川島信, 1.0, 51, -15,*  1, 7, 19.1, ⑫⑩, 6, 1, シｰボｰト,---,藤田伸, 1.0, 57,  -8,  -3, 4, 14.3, ⑭⑭, 6, 4,Ｃマヤノゴクウ, 78,ピンナ, 1.0, 80, -10,  20, 7, 60.5, ⑤⑥, 6, 1,Ｉメモリアルイヤｰ, 72,宮崎北, 0.4, 68,*  1,  -4, 8, 46.1, ①①
 7,12,Ｅミスチフキッツ, 51,藤懸貴, 1.2, 49,* -4, -11, 4, 10.0, ④③, 7,16,Ｅチカリンダ, 56,浜中俊, 1.0, 57,  -5,  -8,10, 56.9, ⑬⑬, 7, 2,Ｆリアルプリンス, 76,佐藤哲, 2.0, 63,  -8,   1, 5, 22.4, ③④, 7, 5,Ａファｰマクリｰム, 77,池添謙, 0.4, 72, -14,* 12,11, 76.4, ⑭⑭
 8,11,Ｌマスコットウイング, 45,芹沢純, 1.4, 48, -15,  -2,16,462.5, ⑬⑪, 8, 6,Ｈキョウワパフュｰム, 54,森一馬, 1.1, 55,  -4, -12,15,231.7, ⑦⑧,,,,,,,,,,,,, 8, 7,Ｂツルマルレオン, 77,安藤勝, 0.6, 66,  -9,   3, 2,  3.2, ⑪⑬
 9,10,Ｈフレッチャロッサ, 47,浜中俊, 1.4, 49,* -5, -11, 5, 12.9, ③⑤, 9, 4,Ｍメイショウオウヒ, 47,長谷川, 1.2, 53,  -4, -13,13, 95.3, ③④,,,,,,,,,,,,, 9, 9,Ｇプランスデトワｰル, 74,川田将, 0.6, 68,  -9,   4, 3,  7.8, ⑫⑫
