11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｈアルベルトバロｰズ, 39,武豊  ,, 56,*  4, -10, 1,  2.8, ①①, 1,13, エｰシンユリシｰズ,---,川須栄,, 50,  -2, -11, 5, 13.6, ⑤⑥, 1, 8,Ａニシオドリｰム, 76,高橋亮,, 80,* 13,   2, 2,  4.0, ①①, 1, 3,Ａゴｰルスキｰ, 87,福永祐,, 81,   7,*  4, 1,  1.5, ③③
 2,10,Ｉトロピカルメジャｰ, 38,国分恭, 0.1, 52,  -5,*  1, 4,  7.9, ⑭⑨, 2,11, アｰスパイプ,---,福永祐, 0.0, 51,  -1, -12, 1,  2.0, ⑥⑤, 2,13,Ｏエｰシンボダイジュ, 60,岩田康, 0.3, 76,* 10,   1, 7, 16.5, ③③, 2, 8,Ｅミキノバンジョｰ, 80,太宰啓, 0.1, 78,*  8,  -1, 7, 31.2, ②②
 3,16,Ｅジｰクジオン, 40,北村友, 0.4, 51,*  3, -13, 6, 17.0, ②②, 3, 6, レオンビスティｰ,---,小林慎, 0.1, 47, -18,*  3, 3,  8.2, ⑩⑫, 3,12,Ｃデュｰクワンダｰ, 72,福永祐, 0.4, 74,   6,*  4, 4, 10.1, ⑨⑧, 3, 6,Ｈドリｰムカトラス, 76,佐藤哲, 0.2, 80,   7,   1, 4, 10.3, ④④
 4, 9,Ｊジプシｰバイオリン, 38,福永祐, 0.6, 48,*  0, -13, 9, 29.9, ③③, 4,10, ラガｰトモヒｰロ,---,松山弘, 0.2, 51,*  2, -16,13,179.6, ③③, 4, 7,Ｄリバｰサルブロｰ, 71,太宰啓, 0.7, 71,   7,   1,13, 51.1, ⑥⑦, 4, 9,Ｂタガノエルシコ, 85,岩田康, 0.3, 79,   6,   3, 2,  6.1, ⑦⑥
 5, 8,Ａシゲルヒメリンゴ, 48,川須栄, 0.6, 47,  -5,* -5, 3,  4.8, ⑬⑪, 5, 9, ヴァルナビット,---,太宰啓, 0.6, 42, -10,  -8, 7, 26.5, ⑫⑨, 5,11,Ｈヤマニンラレｰヌ, 67,田中健, 0.7, 75,* 11,  -3, 6, 13.4, ②②, 5, 4,Ｄリｰチコンセンサス, 80,浜中俊, 0.4, 77,   4,*  4, 6, 13.8, ⑥⑧
 6, 2,Ｇクｰルラオウ, 40,国分優, 0.6, 45,  -7,* -4, 7, 18.5, ⑫⑩, 6, 4, シゲルスイカ,---,中村将, 0.8, 42,  -9, -12, 9, 99.2, ⑨⑧, 6, 3,Ｊアグネスジャスパｰ, 66,武豊  , 0.9, 67,   1,*  5, 5, 10.4, ⑮⑭, 6, 5,Ｉミクロコスモス, 75,和田竜, 0.9, 73,   4,  -4, 3,  8.6, ⑧⑦
 7, 3,Ｆタガノリバレンス, 40,小牧太, 0.8, 43,  -8,* -4, 5, 10.5, ⑯⑮, 7, 8, セフティリュｰオｰ,---,幸英明, 0.9, 43,  -3, -18, 2,  3.5, ⑦⑦, 7,10,Ｉワンダｰフウラン, 67,和田竜, 1.0, 69,   6,  -1,12, 47.6, ⑧⑨, 7, 1,Ｃエイシンサクセス, 80,後藤浩, 0.9, 70,   6,  -6, 5, 12.4, ⑤⑤
 8,12,Ｋハｰトオブミニｰ, 35,熊沢重, 1.0, 42,  -5, -10,13,108.2, ⑩⑬, 8, 3, カンファｰマリア,---,国分優, 1.6, 39,*  2, -28, 8, 39.3, ②②, 7, 5,Ｆノアノア, 68,川須栄, 1.0, 67,   3,   1, 3,  8.4, ⑩⑩, 8, 7,Ｆノボリデュｰク, 78,武豊  , 1.0, 68,* 10, -15, 8, 40.4, ①①
 9, 5,Ｃマイネルアルティマ, 43,幸英明, 1.2, 40,  -4, -15, 2,  4.8, ⑨⑥, 9, 5, マルサンタイトル,---,安藤光, 1.9, 32, -11, -19,11,106.4, ⑪⑩, 9,15,Ｌクリスタルヒル, 65,野元昭, 1.1, 66,   2,   1,10, 29.6, ⑫⑫, 9, 2,Ｇアグネスミヌエット, 78,小牧太, 1.7, 62,   2, -10, 9,209.4, ⑨⑨
