11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｋシゲルドリアン, 38,川須栄,, 59,  -4,*  6, 7, 14.3, ⑥⑥, 1, 5, ディザイラブル,---,福永祐,, 70,  -5,*  7, 1,  4.4, ⑥⑦, 1,15,Ｃアッシュｰル, 74,渡辺薫,, 72,  -1,* 13, 5, 13.4,⑩⑧⑦, 1, 7,Ｄトシザマキ, 83,浜中俊,, 91,  12,* 27, 5,  8.1,⑨⑨⑧
 2, 8,Ａカジキ, 58,福永祐, 0.1, 59,*  0,   1, 1,  2.7, ②②, 2,13, パｰティブロッサム,---,岩田康, 0.0, 69,  -2,   2, 4,  6.8, ④④, 2, 6,Ａサトノサウザｰ, 78,岩田康, 0.0, 70,*  0,  10, 2,  3.1,⑥⑤④, 2, 3,Ａワルキュｰレ, 88,北村友, 0.0, 90,  12,* 25, 3,  6.2,⑥⑦⑦
 3,12,Ｅシゲルユズ, 51,熊沢重, 0.1, 59,*  0,   1, 4,  9.5, ④③, 3,11, サヴァｰレ,---,川田将, 0.6, 62,  -8,   1, 6,  9.0, ⑨⑧, 3, 3,Ｋボストンリョウマ, 68,和田竜, 0.0, 70,*  1,   9, 7, 15.9,②③③, 3,13,Ｂデルフォイ, 84,川田将, 0.2, 88,  14,  20, 7, 10.8,⑦⑥⑥
 4, 5,Ｄエｰシングリズリｰ, 52,幸英明, 0.2, 58,  -2,   2, 6, 12.9, ③④, 4, 8, クイｰンキセキ,---,和田竜, 0.6, 63,  -2,  -6, 5,  8.2, ③③, 4,10,Ｅアイノグロｰ, 74,小牧太, 0.1, 69,  -1,* 12, 4, 11.9,⑫⑩⑧, 4,12,Ｆメイショウカンパク, 82,武豊  , 0.4, 88,  11,  24, 1,  3.4,⑪⑪⑩
 5,15,Ｉエｰシンブランコス, 44,川田将, 0.6, 56,  -6,   4, 2,  4.1, ⑫⑨, 5,10, ニホンピロシトリン,---,熊沢重, 0.8, 59,*  1, -11,13, 81.3, ②②, 5, 1,Ｇサｰノ, 70,北村友, 0.3, 68,  -1,  10, 8, 25.2,③⑥⑤, 5,10,Ｊデンコウオクトパス, 77,和田竜, 0.6, 89,  10,  24, 6,  8.8,⑬⑬⑬
 6, 7,Ｈヒノクニリョジョウ, 47,酒井学, 0.6, 54,*  1,  -4,11, 44.6, ①①, 6,12, エｰシンプラチナム,---,浜中俊, 0.9, 58, -16,*  5, 9, 22.1, ⑬⑬, 6, 9,Ｎゴッドフロｰラ, 65,藤懸貴, 0.5, 66,*  1,   5, 6, 15.1,①②②, 6, 6,Ｈロッカヴェラｰノ, 81,岩田康, 0.8, 81,  14,  11, 2,  4.6,⑤⑤⑤
 7,10,Ｃマｰベラスルビｰ, 55,小牧太, 0.6, 53, -11,*  6, 3,  7.1, ⑭⑬, 7, 4, テイエムチュラウミ,---,田嶋翔, 1.1, 55, -20,*  6, 3,  5.8, ⑭⑭, 7, 5,Ｈヤマニンティグル, 69,川田将, 0.6, 68,  -3,* 11, 3,  7.2,⑬⑬⑫, 7, 5,Ｉスカイリュウホｰ, 80,藤岡康, 0.9, 82,  11,  19, 9, 30.0,⑫⑫⑫
 8, 3,Ｂシゲルキョホウ, 56,浜中俊, 1.0, 51,  -7,  -1, 8, 15.2, ⑩⑩, 8, 2, ソロデビュｰ,---,小牧太, 1.1, 55, -16,   2, 2,  4.5, ⑫⑫, 8, 4,Ｂトップオブカハラ, 78,池添謙, 0.6, 66,  -1,   8, 1,  2.7,⑨⑦⑩, 8, 2,Ｅメイショウジンム, 82,小牧太, 1.0, 81,  11,  16, 8, 24.1,⑩⑩⑨
 9, 9,Ｊキセキノハナ, 40,野元昭, 1.7, 45,  -3, -10,14,250.3, ⑤⑤, 9, 3, ロンググラティア,---,国分恭, 1.3, 52,  -6, -11,14,154.1, ⑤⑤, 9,14,Ｄナリタチャレンジ, 74,赤木高, 0.8, 67,  -2,   9, 9, 29.3,⑭⑭⑪, 9,11,Ｋアキノカウンタｰ, 73,幸英明, 1.2, 76,* 16,   2,10, 58.6,③④③
10,11,Ｎハヤブサロック, 27,北村友, 2.0, 41,  -6, -10, 9, 39.9, ⑨⑧,10, 9, キリシマハッピｰ,---,渡辺薫, 1.5, 50, -12,  -7,10, 48.8, ⑪⑩,10,11,Ｆサクラエンブレム, 70,藤岡康, 0.8, 64,*  1,   2,10, 42.6,④①①,10, 8,Ｃワンダｰムシャ, 84,太宰啓, 1.5, 71,* 16,  -4, 4,  7.6,①①①
