11年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-24,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａチャンピオンヤマト, 61,吉田豊,, 59,*  7,*  5, 1,  1.1, ①①, 1, 4, ジャストフレンズ,---,田辺裕,, 51, -19,*  6, 9, 46.1, ④④, 1, 5,Ｂネオサクセス, 75,幸英明,, 75,* -6,  12, 4, 12.7,②②①, 1, 4,Ａキングレオポルド, 80,福永祐,, 83,   4,* 11, 1,  1.4, ⑥⑤
 2,14,Ｍプレミアムゴｰルド,  6,小林淳, 1.2, 46,  -2,*  2,12,134.1, ⑦⑥, 2, 9, ケビンドゥ,---,幸英明, 0.1, 51,*-17,   3, 3,  4.9, ①①, 2, 2,Ｃネオブラックダイヤ, 73,北村宏, 0.2, 74,  -8,  13, 2,  3.4,⑤⑤⑤, 2, 8,Ｋタｰニングポイント, 68,後藤浩, 0.3, 79,   8,   4, 7, 33.6, ④②
 3,15,Ｄキタルファ, 37,柴田大, 1.6, 45,*  4,  -6, 5, 31.7, ③③, 3, 3, コスモディクタット,---,柴田大, 0.4, 48, -19,   3, 4,  7.0, ③③, 3, 6,Ａマコトヴォイジャｰ, 77,安藤勝, 0.2, 80, -10,* 22, 1,  1.8,⑦⑦⑥, 3,12,Ｄウインバンディエラ, 75,安藤勝, 0.3, 79,  -2,* 14, 2,  5.6, ⑨⑨
 4, 8,Ｃサンマルダｰム, 46,岩部純, 2.1, 40,   2,  -9, 7, 42.8, ④④, 4,12, マイアイビワコ,---,小林淳, 0.8, 45,*-17,  -2,13,204.8, ②②, 4,11,Ｆベイルリ, 68,後藤浩, 0.2, 75,  -7,  14, 7, 63.6,⑥⑥④, 4,13,Ｃバクシンカｰリｰ, 76,木幡初, 0.4, 77,  10,   1, 3,  6.8, ③④
 5,10,Ｋラブリｰスタｰ, 23,西田雄, 2.3, 35,  -2,  -8, 3, 21.6, ⑥⑧, 5, 7, サラガドゥｰラ,---,後藤浩, 0.9, 42, -25,   3, 1,  3.7, ⑦⑦, 5, 7,Ｅエイダイポイント, 70,武士沢, 0.4, 79, -11,* 22, 5, 16.8,⑩⑩⑧, 5, 5,Ｈカレンナサクラ, 70,大庭和, 0.9, 73,* 16, -12, 6, 30.5, ①①
 6, 1,Ｅマンボマンボ, 37,田辺裕, 2.6, 31, -10,  -2,13,160.3, ⑬⑫, 6, 6, ベストミニオン,---,二本柳, 1.2, 40, -22,  -1, 7, 23.4, ⑥⑤, 6, 9,Ｄラストノｰト, 72,横山典, 0.4, 76, -10,  19, 3,  5.0,⑧⑧⑨, 6, 9,Ｉアイスカｰビング, 70,石橋脩, 0.9, 71,  -9,* 13, 9,121.4, ⑫⑫
 7, 6,Ｆカテキンパワｰ, 36,大庭和, 2.7, 31,  -7,  -6,10, 86.7, ⑪⑪, 7, 8, キョウワアｰク,---,中谷雄, 1.4, 38, -21,  -5,12,130.1, ⑤⑥, 7,10,Ｈロックフルマｰク, 65,田辺裕, 1.1, 63,  -7,   0, 9, 74.6,④④③, 7,11,Ｊコンプリｰトラン, 68,田辺裕, 1.0, 71,  -4,   8,11,200.6, ⑩⑩
 8, 7,Ｂトウショウテイスト, 47,杉原誠, 2.9, 29,  -4, -11,11,119.4, ⑨⑩, 8,13, コスモポｰラベア,---,松岡正, 2.0, 33, -28,  -3, 2,  3.7, ⑨⑨, 8, 3,Ｇアルファホｰル, 65,石橋脩, 1.2, 71, -13,  15, 8, 71.7,⑪⑪⑪, 8, 3,Ｇモトヒメ, 72,大野拓, 1.0, 71,   0,   3, 4, 12.9, ⑧⑦
 9, 4,Ｎケイアイプリンス,  2,大野拓, 3.1, 25, -13,  -4, 8, 66.5, ⑮⑭, 9, 2, トｰトモデルニスモ,---,西田雄, 2.1, 31, -27,  -5,14,277.6, ⑧⑧, 9, 4,Ｉフｰガフュｰグ, 63,大庭和, 1.6, 58,  -8,  -8, 6, 53.3,③③⑦, 9,10,Ｂベストラン, 77,小林淳, 1.0, 69,   6,  -3, 8,115.4, ⑤⑥
