11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｍサンセルマン, 15,丸山元,, 52,  -4,* -3, 8, 86.3, ⑩⑩, 1,15, サｰストンデンバｰ,---,柴田善,, 55,* -2,  -8, 4,  7.2, ①①, 1, 6,Ａギャザｰロｰジズ, 78,田辺裕,, 85,   6,* 23, 1,  1.8,⑧⑧⑦, 1, 5,Ｂラヴェルソナタ, 81,横山典,, 93,  -6,  32, 2,  4.1,③④④
 2, 3,Ｂタケデンザビエル, 42,田中勝, 0.2, 51,   0, -10, 1,  2.3, ⑥④, 2,13, リワｰドパルファン,---,江田照, 0.0, 55,* -3,  -7, 9, 29.7, ②②, 2, 2,Ｄトｰアボンジョルノ, 72,田中勝, 1.6, 74,   6,   9, 4, 11.5,⑥⑥⑥, 2,10,Ｃブレｰブビスティｰ, 77,田辺裕, 0.2, 98,  -9,* 39, 4,  6.0,⑧⑩⑩
 3, 6,Ｋフクノサンデｰ, 26,横山義, 0.4, 49,  -2, -10, 9,114.5, ⑦⑥, 3, 2, エリザヴェｰタ,---,田辺裕, 0.1, 54, -12,*  2, 3,  5.5, ⑪⑨, 3, 8,Ｅトップモンジュｰ, 71,柴田善, 1.7, 73,   9,   1,10, 71.9,③④④, 3, 8,Ａトウシンイｰグル, 85,吉田隼, 0.4, 93,  -8,  32, 1,  2.9,⑦⑧⑧
 4, 1,Ｄスタｰゲイジング, 40,武士沢, 0.5, 47,  -3,  -9, 5, 12.2, ⑨⑨, 4,14, ノボプレシャス,---,丸山元, 0.3, 52,* -4,  -8, 1,  3.0, ④④, 4,10,Ｃアｰルシネマスタア, 74,北村宏, 1.9, 70,*  9,  -3, 3,  4.7,②②②, 4, 3,Ｄマイネルメダリスト, 77,松岡正, 0.5, 87,* -5,  22, 5,  7.4,②②②
 5, 7,Ｃフロｰリア, 41,大野拓, 0.5, 49,*  3, -16, 4, 11.3, ①①, 5, 4, ミラクルミイクン,---,平野優, 0.8, 48, -11,* -5,12, 60.3, ⑨⑧, 5, 1,Ｊモンク, 62,江田照, 2.0, 70,   8,  -2, 7, 38.2,④③③, 5, 2,Ｉショウナンバｰズ, 73,北村宏, 0.6, 86,  -6,  23, 3,  5.3,④③③
 6,10,Ｇグレン, 35,吉田隼, 1.3, 42,   1, -21, 7, 48.7, ④⑤, 6, 5, アラビアンマジック,---,北村宏, 0.9, 48,* -3, -13, 7, 18.3, ③③, 6, 4,Ｉヤマニンクラバット, 67,吉田隼, 2.0, 71,   7,   3, 9, 53.2,⑤⑤⑤, 6, 9,Ｆジェイケイラン, 75,丸山元, 0.7, 88,  -8,  28, 8, 23.4,⑩⑦⑦
 7,13,Ｉフクノゴｰルド, 29,青木芳, 1.7, 38,  -5, -17,12,310.7, ⑬⑫, 7, 3, レガシｰゴｰルド,---,蛯名正, 1.4, 43,  -6, -15, 2,  4.6, ⑤⑤, 7, 3,Ｈドラゴンソニック, 67,武士沢, 2.1, 71,   4,   8, 6, 23.5,⑩⑩⑨, 7, 1,Ｅファｰストグロｰス, 75,吉田豊, 1.0, 83,  -8,  22, 7, 21.9,⑤⑤⑤
 8, 9,Ａタイキロｰズベスト, 48,蛯名正, 1.7, 41,*  3, -25, 3,  4.4, ②②, 8, 8, ベルモントマリア,---,西村太, 1.6, 41, -12, -11, 5, 10.5, ⑦⑩, 8, 5,Ｂジャストザシｰズン, 75,石橋脩, 2.4, 69,   5,   5, 2,  4.5,⑨⑨⑩, 8, 7,Ｈハイゲｰト, 73,石橋脩, 1.6, 78,  -9,  18,10,132.0,⑨⑨⑨
 9, 2,Ｆユウミプリンセス, 39,平野優, 1.7, 39,   1, -24, 6, 29.4, ③③, 9,12, プリモアモｰレ,---,田中勝, 1.7, 41, -17,  -5, 6, 14.4, ⑭⑭, 9, 7,Ｇトップストライド, 69,横山典, 3.1, 64,   5,  -2, 8, 44.1,⑦⑦⑧, 9, 6,Ｇエｰシンアルカウス, 74,蛯名正, 1.7, 74,  -8,  11, 6, 16.8,⑥⑥⑥
