11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆサヴァｰレ, 62,浜中俊,, 67,*  6,  -6, 8, 22.7, ⑤④, 1, 2, タガノルミナｰレ,---,池添謙,, 61,  -4,  -2, 5,  8.3, ③③, 1, 2,Ｉペガサスフラッシュ, 68,浜中俊,, 75,*  4,   9, 5,  9.6,①①①, 1, 5,Ｄヒラボクキング, 86,藤岡佑,, 93,* 12,* 17, 2,  4.3,①①①
 2, 1,Ｃブルｰプルチェッラ, 63,太宰啓, 0.0, 64,   5,  -5, 3,  6.1, ⑥⑥, 2, 7, ルナフォンタｰナ,---,ピンナ, 0.3, 56, -10,*  0, 1,  2.6, ⑦⑦, 2,10,Ａクラシカルノヴァ, 77,小坂忠, 0.1, 74,   1,* 13, 1,  1.9,⑦⑥⑤, 2, 2,Ｌブルロック, 83,安藤勝, 0.7, 87,* 12,  12, 5,  9.6,③③③
 3, 5,Ｊニｰレンベルギア, 55,古川吉, 0.1, 62,  -1,*  2, 4,  6.9, ⑮⑪, 3, 1, ブランアマン,---,藤岡佑, 0.4, 58,* -2, -12, 3,  6.5, ①①, 3, 6,Ｈリバｰスタｰリング, 69,藤岡佑, 0.1, 74,*  2,  10, 7, 35.3,②②②, 3, 6,Ｈプリンセスペスカ, 86,幸英明, 1.0, 86,  11,  11, 4,  9.3,⑤④⑥
 4, 6,Ｉニホンピロシトリン, 57,熊沢重, 0.3, 65,* 10, -15,12, 74.0, ①①, 4, 4, ゴｰルデンウィナｰ,---,川須栄, 0.6, 55,* -2, -13, 2,  3.4, ②②, 4, 9,Ｅエクセルフラッグ, 71,酒井学, 0.2, 74,   0,* 15, 6, 26.7,⑧⑧⑧, 4, 4,Ｇラタｰシュ, 86,ピンナ, 1.1, 85,   9,  13,10, 43.6,⑪⑩⑧
 5, 2,Ｒビップシャイン, 21,松岡正, 0.6, 59,*  6, -15, 5,  7.0, ④③, 5, 3, ミッキｰヘネシｰ,---,後藤浩, 1.4, 43, -19,* -1, 4,  8.3, ⑩⑨, 5, 3,Ｄボストンリョウマ, 74,後藤浩, 0.9, 66,   1,   7, 2,  4.4,⑥⑤⑥, 5,14,Ｂサンライズモｰル, 87,浜中俊, 1.4, 84,  10,   9, 1,  2.9,⑦⑧⑦
 6, 4,Ｍケイトシチｰ, 40,酒井学, 0.6, 57,   2,  -9,15,197.1, ⑪⑧, 6, 9, ヤマニンプチガトｰ,---,幸英明, 1.5, 44,  -3, -23, 6, 10.7, ④④, 6, 4,Ｆシュンハレン, 71,川須栄, 1.1, 66,   0,   6, 8, 37.1,⑤⑦⑦, 6,11,Ｃプロフェッショナル, 87,松岡正, 1.4, 83,  10,   9, 6, 12.3,⑨⑥⑤
 7,14,Ｐモンハピネス, 33,幸英明, 0.6, 57,  -5,*  2,14,164.0, ⑰⑯, 7,10, シゲルタンカン,---,高倉稜, 1.9, 38, -16, -12,10,131.6, ⑨⑧, 7, 1,Ｇメイショウイッシン, 70,国分恭, 1.2, 64,   1,   2, 3,  6.0,④④④, 7, 1,Ａゴｰルデンチケット, 88,後藤浩, 1.6, 79,* 12,   3, 3,  4.8,②②②
 8,12,Ｇイントゥザストｰム, 61,池添謙, 0.9, 56,*  8, -20, 1,  4.3, ②②, 8, 5, エｰシンスキッパｰ,---,国分優, 2.1, 36,  -6, -27, 7, 22.3, ⑤⑥, 8, 7,Ｂマキハタビリケン, 74,幸英明, 1.2, 65,   1,   2, 4,  7.8,③③③, 8,13,Ｋシルクダイナスティ, 83,松山弘, 1.7, 84,   8,  12,13,215.5,⑭⑭⑭
 9, 9,Ｄタガノカノｰプス, 62,後藤浩, 0.9, 54,   2, -13, 7, 11.5, ⑨⑨, 9, 6, コウエイビｰトル,---,浜中俊, 2.1, 36,  -7, -26, 8, 38.0, ⑥⑤, 9, 8,Ｊトウケイトニｰ, 63,森一馬, 1.4, 65,  -1,   6,10,254.2,⑩⑨⑨, 9,10,Ｅミダｰスタッチ, 86,池添謙, 1.7, 81,   8,  10, 9, 40.5,⑬⑬⑪
10,13,Ａパｰティブロッサム, 67,四位洋, 0.9, 55,   5, -17, 6,  9.4, ⑦⑦,10, 8, ディアハンタｰ,---,国分恭, 4.3,  6, -16, -43, 9, 76.7, ⑧⑩,10, 5,Ｃマイネルティンラン, 74,高倉稜, 1.7, 64,  -2,   6, 9, 67.0,⑨⑩⑩,10,12,Ｆエアペイシェンス, 86,四位洋, 1.8, 82,   9,   8, 7, 14.8,⑩⑪⑨
11,15,Ｑシゲルライム, 23,川島信, 1.4, 49,  -8,  -6,18,349.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｊヤマニンバッスル, 84,高倉稜, 1.9, 81,   7,  10,11,103.3,⑫⑫⑫
12, 7,Ｂアルフィルク, 63,川須栄, 1.5, 46,  -2, -17, 2,  4.7, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｍディアプリンシパル, 83,太宰啓, 2.4, 75,  11,  -1,12,115.8,⑥⑤④
13,16,Ｋクレｰルドリュヌ, 54,ピンナ, 1.5, 47,   2, -21,11, 50.2, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｎテイエムザエックス, 81,国分恭, 2.8, 73,  10,  -3,14,275.8,④⑦⑩
14, 3,Ｅクイｰンキセキ, 62,国分恭, 1.5, 47,   2, -21,10, 35.5, ⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｉアドマイヤテンクウ, 85,川須栄, 4.4, 62,   9, -15, 8, 29.7,⑧⑨⑬
15,18,Ｎオｰスミツバキ, 35,国分優, 1.7, 43,  -3, -17,16,249.8, ⑭⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 8,Ｈエｰシンプラチナム, 58,高倉稜, 1.8, 43,  -3, -18, 9, 33.8, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Ｏメイショウジビュス, 34,藤岡佑, 2.0, 43,*  6, -34,17,296.4, ③⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,Ｌキクエチャン, 40,渡辺薫, 2.1, 42,  -1, -24,13,111.3, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:2,270円 複勝:10=630円 01=240円 05=230円 枠連:1,160円",,,,,,,,,,,,"単勝:830円 複勝:02=210円 07=140円 01=180円 枠連:1,120円",,,,,,,,,,,,単勝:960円 複勝:02=210円 10=120円 06=520円 枠連:890円,,,,,,,,,,,,"単勝:430円 複勝:05=180円 02=300円 06=260円 枠連:1,240円",,,,,,,,,,,
"馬連:8,380円 ワイド:01-10=2,830円 05-10=2,400円 01-05=680円",,,,,,,,,,,,"馬連:1,060円 ワイド:02-07=430円 01-02=770円 01-07=370円",,,,,,,,,,,,"馬連:940円 ワイド:02-10=430円 02-06=2,110円 06-10=940円",,,,,,,,,,,,"馬連:2,140円 ワイド:02-05=780円 05-06=640円 02-06=1,000円",,,,,,,,,,,
"馬単:21,880円 3連複:13,770円 3連単:141,490円",,,,,,,,,,,,"馬単:2,930円 3連複:2,270円 3連単:16,960円",,,,,,,,,,,,"馬単:2,500円 3連複:5,740円 3連単:32,020円",,,,,,,,,,,,"馬単:3,650円 3連複:3,810円 3連単:20,070円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａサハラブレイヴ, 52,浜中俊,, 59,*  4,* -6, 1,  2.6, ②②, 1, 1, アナスタシアブルｰ,---,安藤勝,, 69,  -5,*  7, 1,  3.4, ⑤⑤, 1, 1,Ｂトｰセンピングス, 82,太宰啓,, 79,   9,*  9, 3,  6.0, ⑥⑤, 1, 7,Ａロｰズキングダム, 92,後藤浩,, 88,  10,* 28, 1,  1.8,③③③
 2, 3,Ｅパスパルトゥｰ, 45,後藤浩, 0.0, 58,*  5,* -6, 3,  5.3, ①①, 2, 8, フォｰチュネイト,---,鮫島良, 0.7, 59,* -2,  -9, 8, 27.4, ①①, 2,10,Ａニシオドリｰム, 84,高橋亮, 0.0, 84,* 18,   1, 4,  6.7, ②②, 2, 8,Ｅビｰトブラック, 84,安藤勝, 0.2, 86,   9,  26, 4, 10.0,④⑤④
