11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,かがやき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａハタノアブソルｰト, 55,蛯名正,, 59,* -2,*  2, 1,  1.4, ⑤④, 1, 6, ラリエット,---,中谷雄,, 59,*-20,   7,10, 40.3, ③③, 1, 5,Ａメイショウツチヤマ, 81,武豊  ,, 78,*  3,* 14, 2,  3.2, ②②, 1, 4,Ｂスマｰトシルエット, 84,武豊  ,, 87,* -4,  19, 1,  1.9,①②②
 2, 5,Ｋラシｰク, 32,田辺裕, 0.1, 58,* -1,*  0, 4, 19.0, ①①, 2,14, シュガｰヒル,---,北村宏, 0.1, 60, -25,* 12, 2,  4.3, ⑩⑩, 2, 9,Ｂエアインシャラｰ, 76,福永祐, 0.6, 73,*  4,   7, 1,  1.6, ①①, 2, 3,Ａクラックシｰド, 86,横山典, 0.3, 88,  -9,* 27, 3,  7.1,⑤⑥⑥
 3, 6,Ｄカリスマアキラ, 46,嶋田純, 0.9, 52,* -2,  -7, 2,  6.8, ②②, 3, 7, マスクオフ,---,蛯名正, 0.3, 61, -30,* 17, 1,  3.7, ⑯⑯, 3, 3,Ｈシゲルトウドリ, 68,川須栄, 0.8, 71,   1,*  8, 5, 29.8, ③③, 3, 5,Ｇネヴァｰフェイド, 72,藤岡佑, 0.4, 89,  -7,  23, 2,  5.6,④④④
 4, 8,Ｆポップイン, 44,木幡初, 0.9, 53,  -4,  -2, 8, 35.1, ⑥⑦, 4,10, マックスガイ,---,柴田善, 0.3, 59, -28,* 12, 8, 27.3, ⑬⑫, 4, 2,Ｄタマモワルツ, 72,田辺裕, 1.4, 67,  -1,   6, 4, 25.0, ⑥⑥, 4, 9,Ｆペンテシレイア, 73,福永祐, 0.5, 78,* -3,   7, 6, 10.4,②①①
 5,10,Ｅマイネベルヴィ, 44,柴田大, 1.0, 52,  -7,*  0, 5, 22.2, ⑨⑩, 5,12, ミルキｰブロｰド,---,後藤浩, 0.3, 55, -23,   6, 4,  8.6, ⑤⑥, 5,12,Ｊビッグギャンブラｰ, 64,大庭和, 1.4, 67,   1,   3,11,116.2, ⑤⑤, 5, 6,Ｄコスモバタフライ, 78,丹内祐, 0.5, 85,  -8,  20, 5,  9.5,⑥⑤⑤
 6, 4,Ｂオンワｰドインディ, 55,大野拓, 1.4, 47,  -3,  -8, 3, 12.4, ④⑤, 6, 9, ミヤコライジング,---,田中勝, 0.3, 54,*-20,   2, 6, 14.4, ②②, 6, 8,Ｅコアヨカ, 70,池添謙, 1.6, 65,   1,   1, 7, 38.1, ④④, 6, 1,Ｃビコｰペグｰ, 80,蛯名正, 0.7, 80,  -7,  13, 4,  9.1,③③③
 7,16,Ｇソルナシエンテ, 39,丸山元, 1.4, 49,  -7,  -3, 6, 30.8, ⑫⑫, 7,11, ビッグフット,---,丸田恭, 0.8, 49, -24,   2, 9, 31.8, ⑨⑨, 7, 6,Ｉアポロスカイナイト, 67,柴田善, 1.7, 66,  -1,   5, 3, 10.2, ⑪⑨, 7, 8,Ｅウインディｰリング, 76,三浦皇, 1.1, 82, -12,  19, 7, 72.0,⑦⑦⑦
 8,14,Ｉシンデンアラタ, 37,小林淳, 1.5, 48,  -9,  -2,14,279.5, ⑭⑬, 8, 4, フェザｰステップ,---,吉田豊, 0.9, 45,*-17,  -9, 7, 22.6, ①①, 8, 7,Ｇアドバンスペリｰ, 69,吉田隼, 2.2, 61,  -4,   3, 9, 90.7, ⑭⑭, 8, 2,Ｈミサトバレｰ, 70,武士沢, 1.4, 77, -13,  19, 9,226.9,⑧⑧⑨
 9, 1,Ｈウィッシュガバナｰ, 38,北村宏, 1.5, 48,  -4,  -7, 9, 35.4, ⑦⑥, 9,13, アリエスプランサｰ,---,松岡正, 0.9, 47,*-20,  -5, 5,  9.0, ④④, 9,14,Ｌアティロン, 61,後藤浩, 2.3, 59,  -2,  -1,10, 91.1, ⑬⑪, 9, 7,Ｉスｰパｰウｰマン, 64,田中勝, 1.6, 73, -12,  13, 8,124.3,⑨⑨⑧
