11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃマイネルハｰシェル, 51,ピンナ,, 64,*  6,* -3, 3, 14.2, ②②, 1, 7, スピルバｰグ,---,北村宏,, 59,*-35,* 21, 1,  2.1,⑥⑤④, 1, 9,Ｂヒカルハナミチ, 76,蛯名正,, 90,*  2,* 16, 1,  3.1, ③②, 1, 7,Ｄパｰルシャドウ, 87,横山典,, 84,* 13,   4, 6, 15.3,⑨①①
 2, 7,Ａニシノボレロ, 61,後藤浩, 0.1, 62,   2,*  2, 1,  1.1, ⑤④, 2, 2, ブラインドサイド,---,田中勝, 0.0, 55,*-33,  17, 2,  2.2,①①①, 2,10,Ｃシｰズンズベスト, 75,横山典, 0.6, 79,*  3,   6, 2,  4.2, ①①, 2, 3,Ｊアストレｰション, 84,柴田善, 0.5, 81,* 13,   0, 3,  5.9,①②②
 3,10,Ｂロｰゼズガｰランド, 57,嶋田純, 0.5, 60,*  4,  -5, 2, 13.6, ④③, 3, 1, オメガインペリアル,---,三浦皇, 0.6, 52, -36,  14, 3,  7.0,④④⑥, 3, 4,Ｅコスモソｰンパｰク, 70,松岡正, 1.1, 78,  -3,   7, 4,  5.5, ⑤⑥, 3, 5,Ｂラタｰシュ, 88,三浦皇, 0.6, 81,   9,*  8, 9, 21.1,⑪⑪⑪
 4, 2,Ｇグランデタンゴ, 37,武士沢, 1.8, 50,   1, -12,12,288.5, ⑥⑥, 4, 4, マイネアスタリスク,---,柴田大, 1.1, 47, -35,  10, 4, 19.1,⑦⑥⑦, 4, 3,Ｈサトノペガサス, 67,石橋脩, 1.3, 75,  -2,   6, 5, 12.0, ⑪⑪, 4, 4,Ｇドリｰムリバイバル, 86,中谷雄, 0.7, 80,  11,   4, 7, 17.0,⑩⑩⑦
 5,12,Ｄビッグウェｰバｰ, 49,田中勝, 2.0, 49,  -3,  -8, 7, 81.7, ⑪⑩, 5, 5, ハシルヨアニキ,---,大庭和, 1.1, 44,*-35,   6, 6, 24.9,⑤⑦⑤, 5, 2,Ａエｰラゴｰデオ, 77,吉田豊, 1.3, 74,  -2,   6, 3,  4.2, ⑧⑨, 5, 2,Ｈインフィニットエア, 86,後藤浩, 0.8, 79,  12,   0, 4,  6.5,②④④
 6,11,Ｅイニシエノウタ, 43,吉田豊, 2.1, 47,   0, -13, 4, 19.0, ⑦⑦, 6, 6, キョウエイニンファ,---,蛯名正, 1.6, 35,*-35,  -3, 5, 23.5,③③②, 6, 6,Ｇロｰレルソラン, 68,三浦皇, 1.4, 74,  -1,   2, 8, 23.9, ⑩⑧, 6,10,Ａチュウワブロッサム, 92,松岡正, 0.9, 79,  12,  -1, 1,  3.4,⑤⑤⑤
 7, 3,Ｈユウキアンサｰ, 34,青木芳, 2.2, 49,  -1, -11, 8, 98.3, ⑩⑨, 7, 3, シンボリカレント,---,吉田豊, 1.9, 31,*-34,  -6, 7, 27.3,②②③, 7, 1,Ｄナンヨｰストロング, 73,北村宏, 1.5, 71,  -3,   3, 9, 38.4, ⑨⑩, 7,12,Ｃアｰスマリン, 88,吉田豊, 0.9, 78,   9,*  8, 8, 20.4,⑫⑬⑬
 8, 5,Ｆコスモユウチャン, 41,中谷雄, 3.6, 39,   0, -24, 5, 23.4, ⑨⑧,,,,,,,,,,,,, 8,11,Ｆサンデｰジョウ, 69,ピンナ, 1.7, 66,  -1,  -4, 6, 17.8, ②④, 8,13,Ｍヒシパｰフェクト, 82,北村宏, 1.1, 78,  10,   3,11, 58.3,⑦⑧⑨
 9, 6,Ｋノリコエヨウ, 29,北村宏, 4.4, 32,*  5, -42, 6, 39.8, ①①,,,,,,,,,,,,, 9, 5,Ｉレッツゴｰマｰクン, 64,江田照, 1.8, 67,  -2,  -3, 7, 19.6, ⑥⑦, 9, 1,Ｌドットコム, 83,蛯名正, 1.2, 77,  11,  -2, 5,  8.4,④⑥⑥
10, 8,Ｊカシノグリｰディ, 31,三浦皇, 4.5, 33,   0, -34,11,200.0, ③⑤,,,,,,,,,,,,,10, 8,Ｋモンテムｰン, 42,嶋田純, 2.3, 58,   0, -15,11,115.9, ④③,10, 9,Ｅダｰトムｰア, 87,江田照, 1.4, 76,  11,  -3, 2,  4.6,⑧⑨⑧
11, 1,Ｉコスモダイヤモンド, 34,柴田大, 5.4, 29,  -5, -32,10,198.3, ⑫⑫,,,,,,,,,,,,,11, 7,Ｊナンヨｰオウトｰ, 60,柴田善, 2.8, 52,   0, -22,10, 62.1, ⑦⑤,11, 6,Ｉラルｰチェ, 84,藤懸貴, 1.9, 72,   9,  -3,12, 66.7,⑬⑫⑫
12, 4,Ｌエネルジコ, 28,江田照, 7.4, 17,  -3, -53, 9,176.9, ⑧⑪,,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｆベルモントガリバｰ, 86,田中勝, 2.0, 72,   9,  -4,13, 72.6,⑥⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｋポイマンドレｰス, 84,ピンナ, 2.5, 69,* 13, -17,10, 26.8,③③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:1,420円 複勝:09=150円 07=100円 10=170円 枠連:200円",,,,,,,,,,,,単勝:210円 複勝:07=120円 02=110円 枠連:0円,,,,,,,,,,,,単勝:310円 複勝:09=140円 10=140円 04=150円 枠連:440円,,,,,,,,,,,,"単勝:1,530円 複勝:07=380円 03=240円 05=580円 枠連:4,960円",,,,,,,,,,,
馬連:370円 ワイド:07-09=190円 09-10=540円 07-10=220円,,,,,,,,,,,,馬連:180円 ワイド:02-07=110円 01-07=170円 01-02=160円,,,,,,,,,,,,馬連:740円 ワイド:09-10=320円 04-09=420円 04-10=340円,,,,,,,,,,,,"馬連:5,020円 ワイド:03-07=1,630円 05-07=2,950円 03-05=2,390円",,,,,,,,,,,
