11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄエムアイチャンドラ, 48,大野拓,, 59,  10,* -6, 3,  4.7, ⑦⑥, 1, 2,Ｃリベラルアｰツ, 71,川須栄,, 68,  -3,* 12, 1,  1.8,④③③, 1, 9,Ｂマイネルガネｰシャ, 71,丹内祐,, 75,*  4,   8, 5,  9.0,①①①, 1, 5,Ａエランドｰル, 75,西村太,, 75,* 11,  -4, 5,  7.8,   
 2, 9,Ｇイツノヒカ, 45,川須栄, 0.1, 58,  12, -10, 4,  5.8, ⑤⑤, 2, 7,Ｂシルバｰミスト, 71,大野拓, 0.5, 63,  -6,* 12, 6, 33.9,⑦⑦⑦, 2, 5,Ｈトウショウセレクト, 65,川須栄, 0.1, 74,   2,* 12, 2,  3.4,②③②, 2,13,Ｉライトグロｰリｰ, 66,村田一, 0.0, 69,   3,*  1,10, 17.8,   
 3,17,Ｅタマモギャラクシｰ, 47,高倉稜, 0.4, 56,* 14, -15,12, 68.7, ③③, 3, 5,Ｄアグネスフリｰダム, 70,勝浦正, 0.6, 64,  -4,   8, 5, 13.1,②④④, 3, 3,Ｃメイショウテキｰラ, 71,大野拓, 0.3, 71,   2,* 10, 3,  4.5,③②③, 3,11,Ｌヨアケ, 61,的場勇, 0.2, 65,   0,*  0, 2,  5.9,   
 4, 8,Ｆニシノセレｰノ, 46,吉田隼, 0.5, 56,* 17, -19, 1,  3.1, ①①, 4, 4,Ａベストフェット, 73,荻野琢, 0.6, 65,* -1,   2, 3,  5.1,③①①, 4, 2,Ａサイキョウイシヤマ, 74,鮫島良, 1.0, 70,   0,   8, 1,  2.7,⑥⑦⑤, 4,16,Ｄナムラドリｰミｰ, 72,松山弘, 0.3, 68,   8,  -7, 1,  5.3,   
 5, 3,Ｂナリタアイル, 54,鮫島良, 0.6, 53,  13, -17, 2,  4.6, ④④, 5, 6,Ｅサツマノホシ, 63,吉田隼, 0.8, 61,  -2,   3, 2,  4.1,①②②, 5, 7,Ｅベルモントスコッチ, 68,勝浦正, 1.3, 66,   1,   4, 4,  4.9,⑤⑤④, 5,17,Ｏブラウニｰサンクス, 57,丸田恭, 0.6, 60,   1,  -5,12, 56.2,   
 6,10,Ｉサクラアクティブ, 40,松田大, 0.6, 50,   9, -13, 6, 13.4, ⑥⑦, 6, 3,Ｇメイショウトシイエ, 58,松田大, 0.9, 67,  -4,   8, 4,  9.3,⑤⑤⑤, 6, 8,Ｇホトダｰ, 66,岩部純, 1.8, 64,  -2,   6, 8, 89.9,⑨⑨⑨, 6,14,Ｂスナン, 73,杉原誠, 0.6, 64,   8, -11, 4,  6.8,   
 7, 6,Ｍカシノペンダント, 34,二本柳, 0.7, 48,   6, -11,14,159.2, ⑧⑨, 7, 1,Ｆアイティテイオｰ, 63,平野優, 1.5, 58,  -6,   3, 7, 41.5,⑥⑥⑥, 7, 1,Ｄテイエムスリリング, 71,古川吉, 2.2, 58,   0,  -2, 7, 69.2,⑦⑥⑥, 7, 4,Ｑスピｰルナカヤマ, 54,赤木高, 0.7, 57,  -1,  -6,13, 68.0,   
 8,11,Ａコスモユキシマキ, 54,津村明, 0.8, 45,   2,  -9, 5, 10.0, ⑫⑪,,,,,,,,,,,,, 8, 4,Ｆミシュランシチｰ, 67,水口優, 2.5, 58,  -1,  -4, 9,136.0,⑧⑧⑧, 8, 2,Ｆフェイスフルラバｰ, 68,平野優, 0.8, 56,  -1,  -7, 9, 16.4,   
 9, 1,Ｊヤマニンオリアン, 38,柴山雄, 1.0, 43,   2, -11,11, 56.7, ⑪⑫,,,,,,,,,,,,, 9, 6,Ｉアルファアンジュ, 61,吉田隼, 2.8, 55,   1,  -9, 6, 45.6,④④⑦, 9, 9,Ｇシｰマｰク, 67,木幡初, 0.8, 58,   4, -11, 7, 14.0,   
10, 4,Ｌマスタｰキワミ, 36,丸田恭, 1.1, 43,   5, -15, 9, 47.0, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,10,18,Ｈダイメイザクラ, 66,小林淳, 0.8, 64,* 11, -15, 3,  6.1,   
11,14,Ｐケイジｰハンタｰ, 16,平野優, 1.2, 41,   0, -11,17,358.5, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,11, 1,Ｃレッドハイヒｰル, 72,吉田隼, 0.8, 60,   7, -12, 6,  9.5,   
12,15,Ｃヤマノスプリング, 53,田中克, 1.2, 43,   7, -17,15,164.9, ⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｍピエナヴィブレ, 58,古川吉, 0.9, 54,  -5,  -5,11, 32.9,   
13,13,Ｎコスモマチェドニア, 33,丹内祐, 1.2, 42,  -7,* -5,10, 55.8, ⑰⑮,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｒパティオ, 50,小野寺, 1.1, 50,  -8,  -7,18,325.8,   
14, 5,Ｈジョイフルワｰルド, 44,赤木高, 1.4, 40,  -8,* -6, 7, 28.5, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｊトウカイナックル, 65,嘉藤貴, 1.1, 54,   5, -15,17,161.8,   
15,16,Ｏムジャウハラｰト, 33,杉原誠, 1.6, 41,* 15, -32,13,113.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｋケイエスケイト, 61,勝浦正, 1.2, 51,   3, -15,14, 98.4,   
16, 7,Ｋメイショウルｰメン, 37,田中健, 1.7, 35,  -6, -13, 8, 34.6, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎストロングノヴァ, 58,長谷川, 1.3, 57,* 13, -23,15, 98.5,   
17, 2,Ｑキチロクトップガン,  9,高嶋活, 1.8, 34,  -4, -15,16,202.0, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐフジマサオｰシャン, 56,小島太, 1.3, 50,   4, -18,16,108.2,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｅクレムリンシチｰ, 70,高倉稜, 1.6, 45, -13, -10, 8, 15.0,   
