11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｉメジャｰアスリｰト, 46,蛯名正,, 69,* 11,* -5, 1,  3.4, ①①, 1,10, シルバｰウエイブ,---,柴田善,, 55, -28,* 11, 5, 10.5,⑬⑭⑮, 1, 5,Ｊマリアヴェロニカ, 65,石橋脩,, 78,   0,* 12, 9, 20.6,⑤⑥⑧, 1, 5,Ａビギンマニュｰバｰ, 92,横山典,, 85,   2,* 20, 1,  2.8, ⑬⑬
 2, 6,Ａコスモマイギフト, 64,柴田大, 0.7, 68,   7,* -4, 2,  3.5, ⑤④, 2, 3, ジェノアチャリス,---,後藤浩, 0.3, 42, -20,  -9, 2,  4.2,⑦⑩⑨, 2, 9,Ｄマイネルグラｰド, 74,ピンナ, 0.0, 78,   0,* 12, 7, 12.8,⑨⑦⑨, 2,13,Ｄサイオン, 86,福永祐, 0.1, 83,* 11,   8, 2,  4.8, ①②
 3,15,Ｂランドフォｰル, 63,嶋田純, 0.8, 63,* 10, -11, 4,  5.8, ②②, 3, 1, フェデラルホｰル,---,蛯名正, 0.4, 41, -20, -11, 1,  4.2,④⑤⑥, 3, 8,Ｃサウンドバラッド, 75,後藤浩, 0.3, 72,*  6,  -4, 5,  8.9,②①①, 3, 7,Ｃブラッシュアップ, 86,田中勝, 0.2, 82,   9,  10,10, 31.1, ⑧⑤
 4, 9,Ｆシｰズザデイ, 55,田辺裕, 1.6, 58,   5, -10, 9, 45.3, ⑨⑧, 4, 9, ヘレナモルフォ,---,丸山元, 0.4, 36,*-16, -20,12, 49.4,②②②, 4,11,Ｅサイキョウアサカゼ, 71,丸山元, 0.4, 75,  -2,  11,10, 44.4,⑪⑪⑩, 4, 9,Ｈカリスマサンスカイ, 81,高倉稜, 0.3, 83,   5,* 14, 3,  5.9, ⑪⑪
 5,16,Ｄトウショウギフト, 57,吉田豊, 2.0, 53,*  9, -19, 3,  5.7, ③③, 5, 8, スｰパｰムｰン,---,横山典, 0.6, 42, -27,* -1, 3,  4.7,⑫⑫⑫, 5, 4,Ｆクｰルエレガンス, 71,三浦皇, 0.5, 73,   0,   4, 1,  4.2,⑦⑧⑤, 5,10,Ｊトウショウブリッツ, 79,大庭和, 0.4, 81,* 11,   5, 8, 16.4, ②①
 6,14,Ｊサｰドシアタｰ, 46,北村宏, 2.3, 53,   7, -19, 6, 14.9, ⑦⑤, 6,15, ガンガンユコウゼ,---,吉田豊, 0.8, 35, -20, -16, 9, 24.1,⑧⑦⑧, 6, 6,Ｇゼロチョウサン, 70,松岡正, 0.5, 75,   1,   5, 4,  6.3,⑩⑨⑦, 6, 8,Ｂギンザナイト, 90,後藤浩, 0.5, 79,* 11,   5, 6, 14.3, ⑤③
 7,10,Ｋコズミックガｰル, 45,大庭和, 2.3, 56,   2, -10,16,267.4, ⑫⑩, 7,13, コスモガラサ,---,中谷雄, 1.1, 34, -22, -16,13, 86.3,⑨⑨⑩, 7, 1,Ｋミエノキセキ, 59,福永祐, 0.6, 70,   1,  -1, 3,  4.9,③④④, 7, 6,Ｅキングパｰフェクト, 83,岩部純, 0.5, 81,   9,   7, 4,  7.1, ③④
 8,11,Ｅオｰルキャスト, 56,福永祐, 2.4, 54,   2, -11, 5,  8.4, ⑬⑬, 8, 4, ステイナイン,---,石橋脩, 1.1, 29,*-16, -30, 6, 12.4,①①①, 8, 7,Ｂネオブラックダイヤ, 75,北村宏, 0.6, 70,   1,   1, 2,  4.3,⑥⑤⑥, 8, 4,Ｇザドライブ, 81,田辺裕, 0.6, 79,   8,   8, 5, 12.4, ⑥⑧
 9, 3,Ｃサイレントキラｰ, 57,松岡正, 2.6, 53,   0,  -8, 8, 28.3, ⑮⑮, 9,12, コスモグレｰスフル,---,松岡正, 1.2, 31, -19, -25,11, 35.8,⑥④④, 9,10,Ｈディアドクタｰ, 67,丸田恭, 0.7, 67,*  4,  -6,11,100.1,④③③, 9,11,Ｉアンシャンレジｰム, 80,三浦皇, 0.7, 79,   8,   7, 7, 16.1, ④⑦
10, 1,Ｈホシニイノリヲ, 47,石橋脩, 2.8, 49,   3, -18,11, 97.3, ⑧⑨,10, 5, ホッコｰアタック,---,ピンナ, 1.3, 31, -22, -19,14,106.4,⑭⑪⑪,10, 3,Ｉエｰブフウジン, 67,蛯名正, 0.9, 70,  -1,   2, 8, 15.3,⑧⑩⑪,10, 3,Ｋドリｰムスカイラブ, 74,ピンナ, 1.4, 73,   6,   3, 9, 29.1, ⑩⑨
11, 4,Ｍコスモネロ, 36,武士沢, 3.1, 49,  -5,* -5,10, 87.9, ⑯⑯,11, 2, ライトヴァｰス,---,北村宏, 1.5, 32, -27, -12, 8, 22.0,⑮⑮⑭,11, 2,Ａブリｰジｰデイズ, 79,田中勝, 1.2, 63,*  4, -14, 6, 11.7,①②②,11, 2,Ｌアップルサイダｰ, 73,柴田大, 1.5, 74,   2,   6,13,105.6, ⑫⑫
12, 2,Ｐケイアイプリンス, 27,江田照, 3.3, 46,  -1, -15,14,202.6, ⑭⑭,12, 6, ケイアイカｰム,---,安藤勝, 1.7, 26, -21, -27, 4,  6.5,⑩⑧⑤,,,,,,,,,,,,,12, 1,Ｆアｰスリヴィング, 82,中谷雄, 1.8, 69,   8,  -3,11, 61.9, ⑦⑥
13,12,Ｌダイワアズｰル, 39,田中勝, 4.4, 38,   1, -27,12,118.8, ⑩⑫,13, 7, ブルｰナボｰニャ,---,田辺裕, 2.0, 20, -20, -34, 7, 20.8,⑤⑥⑦,,,,,,,,,,,,,13,12,Ｍディアヤマト, 72,丸田恭, 2.6, 63,   6,  -8,12, 88.2, ⑨⑩
14, 8,Ｎマンボマンボ, 33,柴田善, 4.4, 39,   6, -35,13,174.8, ⑥⑥,14,11, セイクリッドロｰド,---,三浦皇, 2.1, 21,*-17, -42,10, 29.5,③③③,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Ｇビッグフット, 50,丸田恭, 4.6, 36,   2, -31, 7, 26.5, ⑪⑪,15,14, マヤノフィロソフィ,---,高倉稜, 3.2, 13, -27, -36,15,165.4,⑪⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
