11年10月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,河口湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂミルキｰブロｰド, 58,後藤浩,, 69,*  6,*  2, 3,  5.9, ③③, 1,10, フェノｰメノ,---,岩田康,, 60,*-18,   7, 4,  7.1,②①①, 1, 4,Ｉレッツゴｰマｰクン, 65,武士沢,, 75,   3,* 10, 7, 14.4, ⑪⑪, 1, 2,Ｇタイセイファントム, 79,岩田康,, 79,   4,* 17, 4,  7.5, ⑫⑨
 2,10,Ｄカリスマアキラ, 56,嶋田純, 0.3, 66,   4,*  1, 7, 25.0, ⑤⑤, 2,12, シャドウパｰティｰ,---,福永祐, 0.0, 63, -21,* 13, 1,  2.4,⑫⑦⑥, 2, 2,Ｂエｰスインザホｰル, 76,川田将, 0.0, 77,*  9,   2, 3,  6.5, ①①, 2,16,Ｄカフェヒミコ, 81,柴田善, 0.0, 77,*  8,  11, 1,  3.1, ②③
 3,12,Ｃマックスガイ, 57,柴田善, 0.4, 67,*  7,  -2, 5,  9.2, ②②, 3,13, レッドシャンクス,---,横山典, 0.2, 55,*-20,   6, 5,  7.4,⑩⑤③, 3, 7,Ａエイコオウイング, 76,柴田善, 0.2, 74,   4,*  6, 1,  2.5, ⑨⑧, 3,13,Ａメイショウツチヤマ, 83,武豊  , 0.0, 78,   6,  13, 2,  3.8, ⑤⑥
 4, 4,Ｌコウセイコタロウ, 45,吉田稔, 0.8, 62,   3,  -1, 8, 33.1, ⑧⑦, 4, 9, トｰセンシｰザｰ,---,ルメｰ, 0.3, 55,*-18,   3, 2,  4.3,⑦②②, 4, 6,Ｄニシノオウガイ, 73,吉田豊, 0.4, 70,   2,*  7, 4,  7.1, ⑫⑫, 4, 3,Ｃスイレン, 81,後藤浩, 0.0, 76,*  7,  11, 5, 14.0, ③②
 5, 5,Ｅポップイン, 55,蛯名正, 0.9, 62,   1,*  2, 9, 34.1, ⑪⑫, 5, 7, カムフィｰ,---,安藤勝, 0.5, 58, -22,   9, 6, 15.0,⑥⑥⑨, 5,11,Ｇエｰブポセイドｰン, 70,後藤浩, 0.5, 70,   6,   0, 6, 12.5, ④④, 5, 1,Ｍブレｰヴゴｰルド, 76,ベリｰ, 0.3, 76,   6,  12,14, 85.8, ⑥④
 6, 1,Ｍディアワイズマン, 40,和田竜, 1.3, 59,   4,  -8,11, 79.3, ④④, 6, 1, ロジダンス,---,三浦皇, 0.5, 59, -22,   9,10, 81.0,⑪⑧⑦, 6, 1,Ｃシルクドミニオン, 75,田辺裕, 0.8, 68,   4,   1, 2,  5.5, ⑧⑦, 6, 7,Ｊケイアイヘルメス, 77,吉田豊, 0.4, 72,*  9,   5, 6, 17.4, ①①
 7, 9,Ａラシｰク, 63,田辺裕, 1.3, 59,*  7, -11, 2,  4.3, ①①, 7, 3, マイネルレｰサｰ,---,松岡正, 0.8, 53,*-19,   0, 3,  6.6,①③④, 7, 8,Ｈビッグギャンブラｰ, 68,大庭和, 1.0, 68,   6,  -3, 9, 60.3, ⑤⑤, 7,12,Ｈワンモアジョｰ, 78,田辺裕, 0.4, 76,   0,* 18, 8, 20.2, ⑯⑮
 8,13,Ｉウィッシュガバナｰ, 48,大庭和, 1.8, 54,  -2,  -4,14,189.6, ⑭⑭, 8,14, ロワヴェｰルカフェ,---,柴田善, 0.9, 57, -25,* 11,11, 83.5,⑬⑭⑭, 8,13,Ｅトｰセンヤッテキタ, 72,嶋田純, 1.3, 64,   3,  -3, 8, 15.2, ⑩⑩, 8, 5,Ｉシセイオウジ, 77,松岡正, 0.4, 75,   4,  13,10, 42.3, ⑦⑩
 9, 6,Ｈパスオブトゥルｰ, 49,松岡正, 2.6, 47,   2, -16, 1,  2.7, ⑨⑧, 9, 6, メイショウイチフジ,---,蛯名正, 1.0, 51, -22,   2, 7, 28.1,③⑨⑧, 9,12,Ｆシゲルトウドリ, 70,福永祐, 1.4, 64,   4,  -5, 5,  8.5, ⑥⑥, 9, 4,Ｏスナイプビッド, 71,ルメｰ, 0.4, 75,   3,  13, 9, 22.2, ⑪⑧
10, 8,Ｇパワフルラリマｰ, 53,ピンナ, 3.4, 41,   0, -20, 4,  8.3, ⑬⑬,10, 8, タニノハｰビｰビｰ,---,武士沢, 1.1, 50, -23,   5,14,269.1,⑨⑫⑫,10, 9,Ｊウインイマジン, 64,和田竜, 3.1, 52,*  7, -23,10,117.8, ②②,10, 6,Ｆセンタｰステｰジ, 79,蛯名正, 0.6, 73,   4,  11,11, 46.6, ⑧⑪
11, 2,Ｎフクノゴｰルド, 38,青木芳, 3.4, 42,   0, -20,15,316.0, ⑫⑪,11, 4, トラストネモフィラ,---,田辺裕, 1.2, 48, -24,   2, 9, 65.2,④⑩⑪,11, 5,Ｌアティロン, 62,蛯名正, 3.6, 46,   3, -23,12,170.3, ⑦⑨,11, 8,Ｂスガノメダリスト, 82,四位洋, 0.9, 71,   1,  12, 7, 19.8, ⑭⑭
12,11,Ｊマウントビスティｰ, 48,武士沢, 4.1, 36,   4, -31,10, 52.1, ⑥⑥,12, 2, バトルドミンゴ,---,後藤浩, 1.4, 45, -22,  -3,12,136.3,⑧⑪⑩,12,10,Ｋタイホウパｰリオ, 63,三浦皇, 5.5, 32,   6, -43,11,158.8, ③③,12, 9,Ｌシャインエフォｰト, 76,武士沢, 1.1, 69,   3,   8,15,127.6, ⑬⑫
13,14,Ｏダイワビガｰ, 36,田中勝, 4.6, 32,  -4, -25,13,109.3, ⑮⑮,13,11, フクノイナズマ,---,嶋田純, 1.7, 46, -25,   0,13,157.2,⑭⑬⑬,13, 3,Ｍマリカナ, 29,鈴来直, 5.5, 34,  -1, -31,13,323.4, ⑬⑬,13,10,Ｅトキノフウジン, 80,柴原央, 1.2, 69,   6,   4, 3,  6.2, ⑨⑦
14,15,Ｋスリｰマンボ, 46,川田将, 5.1, 29,   2, -37,12,106.2, ⑦⑩,14, 5, アルテバンダム,---,メンデ, 1.8, 37,*-19, -15, 8, 47.5,⑤④⑤,,,,,,,,,,,,,14,11,Ｎクォリティシｰズン, 75,三浦皇, 1.2, 68,   6,   4,12, 52.0, ④⑤
15, 7,Ｆノボプレシャス, 54,三浦皇, 5.8, 24,   2, -43, 6, 10.0, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｋクｰルフォｰマ, 76,吉田稔, 2.0, 62,   1,   3,13, 82.9, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐバンドゥロンシャン, 71,和田竜, 5.8, 33,   3, -33,16,197.9, ⑩⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
"単勝:590円 複勝:03=220円 10=560円 12=260円 枠連:3,890円",,,,,,,,,,,,単勝:710円 複勝:10=190円 12=130円 13=250円 枠連:290円,,,,,,,,,,,,"単勝:1,440円 複勝:04=360円 02=190円 07=130円 枠連:6,070円",,,,,,,,,,,,"単勝:750円 複勝:02=180円 16=140円 13=150円 枠連:1,090円",,,,,,,,,,,
"馬連:6,150円 ワイド:03-10=1,920円 03-12=770円 10-12=2,270円",,,,,,,,,,,,馬連:780円 ワイド:10-12=370円 10-13=780円 12-13=370円,,,,,,,,,,,,"馬連:6,060円 ワイド:02-04=1,550円 04-07=710円 02-07=400円",,,,,,,,,,,,"馬連:1,180円 ワイド:02-16=470円 02-13=520円 13-16=250円",,,,,,,,,,,
"馬単:11,220円 3連複:16,420円 3連単:90,380円",,,,,,,,,,,,"馬単:1,890円 3連複:1,520円 3連単:10,210円",,,,,,,,,,,,"馬単:13,840円 3連複:5,530円 3連単:58,000円",,,,,,,,,,,,"馬単:2,960円 3連複:1,390円 3連単:10,220円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くるみ賞,,,,,,,,,,,,天皇賞(秋) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂストロｰハット, 57,福永祐,, 66,  -2,*  5, 1,  1.4,⑤⑦⑥, 1, 9,Ｅルイｰズ, 69,池添謙,, 72,   8,*  6, 8, 14.7, ⑪⑨, 1, 1,Ａトウケイヘイロｰ, 70,後藤浩,, 72,  -1,*  6, 3,  6.0, ⑤③, 1,12,Ｇトｰセンジョｰダン, 92,ピンナ,,103,  26,*  6, 7, 33.3,⑪⑩⑪
 2, 7,Ｅミッドサマｰフェア, 49,武豊  , 0.2, 61,*  3,  -8, 2,  4.4,①①①, 2, 7,Ｋミエノグレｰス, 66,武豊  , 0.0, 73,  10,   4,10, 56.4, ⑧⑥, 2, 9,Ｃレオアクティブ, 63,蛯名正, 0.2, 70,  -3,*  6, 2,  4.4, ⑧⑤, 2, 7,Ａダｰクシャドウ,100,ベリｰ, 0.1,100,  29,  -1, 2,  5.7,⑨⑧⑧
 3, 4,Ａコスモグランデｰル, 61,ベリｰ, 0.4, 61,  -1,  -2, 3,  6.9,⑥④④, 3, 6,Ｉアルファアップル, 66,川田将, 0.1, 73,  10,   4, 7, 13.2, ⑥⑦, 3, 5,Ｂオメガハｰトランド, 67,福永祐, 0.2, 71,  -3,*  7, 1,  2.6, ⑦⑥, 3, 8,Ｈペルｰサ, 92,横山典, 0.2,100,  23,* 10, 6,  8.2,⑬⑬⑬
 4, 8,Ｃコスモバルバラ, 55,柴田大, 0.8, 56,*  1, -11, 7,119.5,④②②, 4,11,Ａヤマニンパソドブル, 75,吉田豊, 0.2, 70,* 12,   0, 2,  4.8, ②②, 4,11,Ｆチャンピオンヤマト, 59,吉田豊, 0.5, 65,*  5,  -8, 6, 11.2, ②①, 4, 5,Ｄブエナビスタ, 93,岩田康, 0.3,100,  27,  -1, 1,  2.8,⑧⑨⑨
 5, 1,Ｇボクサｰ, 43,川田将, 1.5, 49,  -1, -18, 5, 36.5,②③③, 5, 4,Ｃペパｰミントラヴ, 74,ルメｰ, 0.5, 69,  10,  -1, 1,  2.9, ④⑤, 5, 2,Ｈロッソコルサ, 55,田辺裕, 0.6, 64,*  4,  -7,10, 49.6, ①②, 5,17,Ｐトゥザグロｰリｰ, 85,福永祐, 0.6, 96,  27,  -6,10, 58.9,⑩⑪⑩
 6, 3,Ｆフレンドフィｰバｰ, 48,吉田稔, 1.7, 49, -10,   0, 8,142.9,⑨⑨⑨, 6,12,Ｂオｰルドアメリカン, 74,蛯名正, 0.5, 69,  11,  -1, 3,  6.9, ⑤④, 6, 4,Ｅドントゥリバｰレ, 60,武豊  , 0.6, 65,  -7,*  6, 7, 12.7, ⑩⑧, 6, 4,Ｂエイシンフラッシュ, 94,ルメｰ, 0.7, 93,  30, -16, 3,  5.9,③③③
 7, 6,Ｉミヤコデラックス, 30,田辺裕, 2.0, 43,  -5, -18, 6, 40.7,⑧⑧⑧, 7, 1,Ｌグジョウハチマン, 59,田中勝, 0.5, 69,   5,*  6,13,167.7, ⑬⑫, 7, 3,Ｄトップスカｰレット, 62,岩田康, 0.7, 64,   0,  -3, 5, 10.4, ④④, 7,16,Ｉナリタクリスタル, 92,武豊  , 1.0, 93,  25,  -6,13, 96.9,⑫⑫⑫
 8, 2,Ｄタニセンヴォイス, 54,蛯名正, 2.0, 44,  -1, -26, 4, 11.3,③⑤⑤, 8,13,Ｄオメガロｰズマリｰ, 70,三浦皇, 1.0, 66,  10,  -4, 9, 22.3, ⑦⑧, 8, 8,Ｇエクスクライム, 56,四位洋, 0.8, 64,  -8,*  7, 4,  7.7, ⑫⑩, 8,13,Ｆミッキｰドリｰム, 92,和田竜, 1.1, 93,  30, -19, 8, 45.4,⑥⑦⑥
 9, 9,Ｈダニｰボｰイ, 38,武士沢, 2.0, 42,  -4, -20, 9,226.1,⑦⑥⑦, 9, 5,Ｆフジチャン, 68,岩田康, 1.1, 64,* 12,  -9, 4,  7.8, ①①, 9,10,Ｊトｰセンピアス, 52,三浦皇, 1.1, 62,  -8,   3, 9, 48.6, ⑪⑪, 9, 9,Ｏジャガｰメイル, 87,四位洋, 1.3, 91,  22,  -3, 9, 53.2,⑱⑮⑭
,,,,,,,,,,,,10,10,Ｇピュアマインド, 68,福永祐, 1.3, 65,   7,  -3, 6, 12.5, ⑫⑪,10, 7,Ｋマイネルモｰヴ, 50,松岡正, 2.8, 40,  -3, -29, 8, 41.0, ⑥⑦,10,11,Ｌロｰズキングダム, 89,メンデ, 1.4, 88,  30, -23, 4,  6.6,⑤⑥⑤
,,,,,,,,,,,,11, 2,Ｊプリンセスキナウ, 66,田辺裕, 1.3, 63,  11,  -8, 5,  7.9, ③③,11, 6,Ｌセントウイナｰ, 47,吉田稔, 3.1, 36, -11, -22,12,240.3, ③⑫,11,15,Ｎシンゲン, 88,田辺裕, 1.6, 86,  22,  -9,17,258.3,⑭⑭⑮
,,,,,,,,,,,,12, 8,Ｈワニタバンテン, 67,鈴来直, 2.4, 56,   7, -11,11,117.0, ⑨⑬,12,12,Ｉサｰストンデンバｰ, 54,柴田善, 3.2, 35,  -7, -29,11, 86.8, ⑨⑨,12, 3,Ｅアクシオン, 93,柴田善, 1.9, 84,  29, -29,16,249.9,⑦⑤⑦
,,,,,,,,,,,,13, 3,Ｍプランシングレディ, 56,吉田稔, 2.9, 52,   7, -16,12,143.4, ⑩⑩,,,,,,,,,,,,,13,14,Ｒシャドウゲイト, 79,田中勝, 2.1, 82,  20, -12,18,356.2,⑯⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18,Ｋアｰネストリｰ, 89,佐藤哲, 2.5, 79,  30, -42, 5,  7.3,④④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｃダノンヨｰヨｰ, 94,後藤浩, 2.7, 77,  20, -20,11, 70.7,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｍシルポｰト, 89,蛯名正, 3.1, 75,* 35, -63,12, 82.8,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｑビッグウィｰク, 85,川田将, 3.7, 71,* 32, -62,14,131.5,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-4),,,,,,,,,,,
単勝:140円 複勝:05=110円 07=120円 04=140円 枠連:250円,,,,,,,,,,,,"単勝:1,470円 複勝:09=550円 07=1,740円 06=490円 枠連:7,570円",,,,,,,,,,,,"単勝:600円 複勝:01=160円 09=140円 05=120円 枠連:1,130円",,,,,,,,,,,,"単勝:3,330円 複勝:12=850円 07=260円 08=350円 枠連:910円",,,,,,,,,,,
馬連:240円 ワイド:05-07=130円 04-05=160円 04-07=270円,,,,,,,,,,,,"馬連:29,370円 ワイド:07-09=9,570円 06-09=2,840円 06-07=10,970円",,,,,,,,,,,,"馬連:1,270円 ワイド:01-09=380円 01-05=290円 05-09=250円",,,,,,,,,,,,"馬連:7,020円 ワイド:07-12=2,520円 08-12=3,950円 07-08=1,090円",,,,,,,,,,,
馬単:350円 3連複:300円 3連単:830円,,,,,,,,,,,,"馬単:54,870円 3連複:136,150円 3連単:547,660円",,,,,,,,,,,,"馬単:2,700円 3連複:1,010円 3連単:8,330円",,,,,,,,,,,,"馬単:23,560円 3連複:22,790円 3連単:214,010円",,,,,,,,,,,
■ 3R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,精進湖特別,,,,,,,,,,,,東京ｺﾞｰﾙﾃﾞﾝﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, シャンボｰルフィズ,---,ルメｰ,, 63, -14,*  7, 1,  1.9, ⑤⑦, 1, 3,Ｂザストロンシチｰ, 75,吉田豊,, 78,   5,* 11, 2,  5.2, ③③, 1, 3,Ｂミカエルビスティｰ, 85,三浦皇,, 87,  -3,* 16, 1,  3.1,⑥⑦⑥, 1, 4,Ｃアドマイヤロイヤル, 86,安藤勝,, 82,  -4,* 25, 1,  2.2, ⑦⑦
 2,12, レッドブルピサ,---,後藤浩, 0.5, 54, -13,  -4, 5, 19.3, ⑥④, 2, 1,Ｃリンガスクリフ, 74,柴田善, 0.1, 78,*  8,   5, 1,  2.3, ①①, 2, 5,Ｈトウカイオｰロラ, 75,佐藤哲, 0.3, 84,  -3,* 15, 8, 37.2,⑧⑨⑧, 2, 2,Ｂエアウルフ, 89,岩田康, 0.0, 83,  -2,  24, 2,  3.7, ④④
 3,16, コスモトゥルｰラヴ,---,ベリｰ, 0.8, 49,*-11, -10,11, 83.3, ②②, 3, 9,Ｇフィンデルムンド, 70,田辺裕, 0.9, 72,  -2,* 11, 4,  7.4, ⑨⑧, 3, 1,Ｆチュウワプリンス, 77,松岡正, 0.3, 83,  -1,  10, 7, 12.6,②④⑤, 3, 5,Ｄデンコウヤマト, 85,武豊  , 0.1, 83,  -5,* 26, 5, 22.0, ⑨⑧
 4, 4, プロトリュｰション,---,池添謙, 0.8, 50, -13,  -7, 9, 73.1, ⑦⑤, 4,16,Ｅデュｰクワンダｰ, 73,福永祐, 1.4, 68,   3,   0, 3,  5.6, ⑤④, 4, 9,Ｋクワイアｰソウル, 68,メンデ, 0.3, 76,*  1,   2,11, 68.5,①②②, 4, 6,Ａサイレントメロディ, 90,横山典, 0.2, 81,  -4,  25, 3,  4.9, ⑧⑨
 5, 1, ラインロバｰト,---,福永祐, 0.8, 56, -21,*  6, 6, 22.7, ⑪⑬, 5,13,Ｈセンノデバギヤ, 69,大庭和, 1.7, 66,  -5,   7,12,108.6, ⑫⑩, 5, 6,Ｃロングスロｰイン, 81,蛯名正, 0.3, 82,  -3,  12, 2,  4.2,⑤⑤⑦, 5, 7,Ｅロンギングスタｰ, 84,後藤浩, 0.8, 75,  -3,  18, 4,  7.2, ⑤⑤
 6,18, ベニノエクスプレス,---,ピンナ, 0.9, 50, -12,  -8,10, 75.2, ③⑥, 6,12,Ｆクナンガン, 70,松岡正, 1.8, 65,  -5,   6, 7, 21.0, ⑩⑪, 6, 2,Ｊアドマイヤプリンス, 73,岩田康, 0.4, 80,  -2,   9, 5,  8.1,④⑥④, 6, 1,Ｆラルｰチェ, 83,和田竜, 0.8, 78,  -5,  20, 8,104.2, ⑩⑩
 7, 8, ロジサンデｰ,---,三浦皇, 0.9, 54, -17,  -1, 8, 34.9, ⑫⑩, 7,11,Ｉガッチリガッチリ, 69,三浦皇, 1.9, 65, -10,* 11, 6, 15.4, ⑭⑭, 7,10,Ｉインプレザリオ, 74,武豊  , 0.4, 83,  -4,* 16, 3,  7.0,⑩⑫⑪, 7, 3,Ｉマリアｰジュ, 81,池添謙, 0.9, 76,  -3,  18, 7, 63.0, ⑥⑥
 8,13, デジタルデｰタ,---,蛯名正, 1.1, 45,*-10, -16, 2,  3.4, ④③, 8, 6,Ｄエバｰオンワｰド, 74,後藤浩, 2.0, 62,  -2,   1, 5, 14.0, ⑦⑨, 8, 4,Ｄバウンシングライト, 80,ルメｰ, 0.4, 81,  -3,  13, 6,  9.0,⑦⑧⑨, 8, 9,Ｈポｰカｰフェイス, 81,三浦皇, 1.3, 72,* -1,  10,10,172.7, ②②
 9, 6, コスモアマルフィ,---,岩部純, 1.3, 53, -27,*  9,16,169.7, ⑯⑰, 9, 7,Ｊフォルメン, 67,小林淳, 2.0, 64, -12,* 12, 9, 31.3, ⑮⑮, 9,12,Ａブレｰブビスティｰ, 94,田辺裕, 0.7, 79,  -6,  13, 4,  7.2,⑬⑬⑬, 9, 8,Ｇウインマリアベｰル, 81,蛯名正, 1.7, 69,  -2,   8, 6, 26.5, ③③
10,14, サンリットレイク,---,メンデ, 1.3, 44, -14, -12, 4, 12.2, ⑨⑧,10, 4,Ｏゴｰルドアゲイン, 55,吉田稔, 2.1, 64,  -9,  10,16,204.4, ⑬⑬,10,11,Ｅグリッドマトリクス, 79,田中勝, 1.0, 69,   0,  -4,10, 42.2,③③③,10,10,Ｊキョウエイバサラ, 68,田辺裕, 2.2, 64,* -1,   2, 9,124.3, ①①
11, 3, コスモアウリンコ,---,柴田大, 1.5, 48, -24,   2,12, 86.4, ⑰⑭,11,15,Ａウィンザｰフラッグ, 76,田中勝, 2.5, 58,   1,  -7, 8, 26.9, ⑧⑦,11,13,Ｇシングンレジェンド, 76,武士沢, 1.6, 67,  -4,  -1,12,104.1,⑪⑪⑫,,,,,,,,,,,,
12,10, ラムシｰダｰ,---,川田将, 1.5, 43, -17, -12,13,135.7, ⑧⑨,12,14,Ｎモンテムｰン, 55,ピンナ, 2.6, 57,*  7, -15,11, 97.3, ②②,12, 7,Ｌミウラリチャｰド, 67,大庭和, 1.9, 56,*  4, -26,13,335.9,⑫①①,,,,,,,,,,,,
13,17, ドウデス,---,松岡正, 1.7, 37,* -9, -28, 3,  9.3, ①①,13,10,Ｋビッグサンダｰ, 66,ベリｰ, 2.6, 58,  -6,   0,10, 36.1, ⑪⑫,13, 8,Ｍラガｰアンバｰ, 62,ピンナ, 2.0, 62,  -4,  -8, 9, 38.9,⑨⑩⑩,,,,,,,,,,,,
14, 2, コスモアメイジング,---,和田竜, 1.9, 43, -20,  -9,14,167.2, ⑭⑫,14, 2,Ｐバトルデｰオ, 53,嶋田純, 2.7, 57,   1,  -9,15,167.5, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,
15, 7, ウォｰタｰフォｰド,---,岩田康, 2.1, 35, -17, -19, 7, 31.4, ⑬⑪,15, 8,Ｌトｰアティアレ, 62,武士沢, 3.4, 52, -12,   0,14,163.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
16,11, トｰセンアゲイン,---,吉田豊, 2.3, 35, -23, -11,17,231.8, ⑮⑮,16, 5,Ｍノブヴィクトリｰ, 61,和田竜, 3.9, 49,   4, -20,13,159.5, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,
17, 9, タカイチロｰジズ,---,柴田善, 4.5, 11, -30, -34,18,248.0, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
