11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈドルモン, 51,柴田善,, 59,  -9,* 11, 8, 14.2, ⑮⑮, 1,10, アシェンライト,---,後藤浩,, 62,* -3,*  4, 1,  2.8, ④④, 1,16,Ｄサトノギャラント, 65,横山典,, 75, -22,* 25, 3,  7.8, ⑯⑮, 1, 2,Ａブエナビスタ,101,岩田康,,102,  14,* 21, 2,  3.4,⑥⑨⑥
 2, 6,Ｇナムラケイオス, 51,蛯名正, 0.1, 59,  -2,*  1, 6, 10.6, ⑤⑤, 2, 7, シンキングマシｰン,---,戸崎圭, 0.0, 63,* -2,   2, 3,  5.0, ②②, 2, 1,Ｃオコレマルｰナ, 68,福永祐, 0.2, 72, -19,  16, 2,  4.3, ⑨⑪, 2,16,Ｂトｰセンジョｰダン,101,ウィリ, 0.0, 99,* 17,  16, 6, 14.1,②②③
 3,13,Ｆスピｰディｰドｰタ, 53,戸崎圭, 0.6, 56,  -3,  -1, 2,  4.8, ⑦⑧, 3, 2, コスモメルハバ,---,柴田大, 0.6, 63,  -8,*  6, 6, 13.5, ⑩⑩, 3, 4,Ｍリアルフレア, 53,デムｰ, 0.2, 70, -19,  16, 5, 16.4, ⑮⑫, 3, 1,Ｊジャガｰメイル, 91,四位洋, 0.3,100,  14,* 20,14,106.5,⑧⑫⑨
 4, 9,Ａエリクサｰ, 62,後藤浩, 0.8, 54,*  0,  -8, 5,  9.7, ①①, 4, 6, サトノライトニング,---,横山典, 1.0, 56,  -5,  -1, 2,  4.1, ⑦⑤, 4, 9,Ａショウナンラムジ, 72,岩田康, 0.2, 70, -18,  14, 1,  1.9, ⑩⑩, 4, 5,Ｆトレイルブレイザｰ, 95,武豊  , 0.4, 96,  16,  11,11, 44.0,③④④
 5,12,Ｂクニコチャン, 61,ウィリ, 0.9, 54,  -1,  -6, 1,  3.7, ④④, 5, 3, コパノウィリアム,---,吉田豊, 1.3, 53,  -8,   0, 7, 15.2, ⑨⑨, 5, 2,Ｉブライアンズオｰラ, 63,柴田善, 0.4, 69, -21,  16, 4, 11.4, ⑫⑬, 5,12,Ｃウインバリアシオン,101,安藤勝, 0.5, 93,* 17,   5, 7, 14.7,⑮③②
 6,16,Ｅコンパティビリティ, 54,横山典, 1.0, 52,  -3,  -5, 3,  5.2, ⑨⑦, 6,14, ドリｰムオｰシャン,---,メンデ, 1.6, 51,  -5,  -7, 5, 12.0, ⑥⑦, 6,12,Ｊフライングバルｰン, 60,蛯名正, 0.4, 66,*-15,   7, 8, 32.0, ⑧⑤, 6,13, デインドリｰム,---,シュタ, 0.5, 99,  13,* 20, 1,  3.3,⑫⑬⑬
 7, 8,Ｐフォｰユアプレジャ, 15,岩田康, 1.1, 50,  -5,  -4,10, 40.1, ⑫⑩, 7,12, シベリアンブラック,---,木幡初, 2.0, 47,* -2, -16,13,141.7, ①①, 7,15,Ｆフェスティヴタロｰ, 64,田中勝, 0.5, 64, -17,   7,13, 95.0, ⑪⑧, 7,14, シャレｰタ,---,ルメｰ, 0.7, 95,  14,  14,10, 36.4,⑨⑩⑪
 8, 2,Ｄサウススカｰレット, 54,石橋脩, 1.4, 49,* -1, -13, 4,  6.4, ②②, 8, 9, ハｰツブラッド,---,ルメｰ, 2.1, 47,  -6,  -9, 4,  7.3, ⑧⑧, 8, 6,Ｈウイングドウィｰル, 63,ルメｰ, 0.7, 60,*-15,   2, 9, 44.7, ②②, 8,15,Ｇエイシンフラッシュ, 95,池添謙, 0.7, 95,  14,  14, 5, 11.3,⑪⑪⑩
 9, 4,Ｉパレストレパング, 43,吉田豊, 1.7, 44,  -9,  -5,11,107.2, ⑭⑭, 9, 8, アマクサハイヤ,---,田中勝, 2.2, 47,  -5, -12, 8, 29.0, ⑤⑥, 9,11,Ｂチャｰチクワイア, 71,メンデ, 0.7, 60,*-15,   2, 7, 29.4, ⑤④, 9, 3,Ｋロｰズキングダム, 91,メンデ, 0.8, 94,  15,  10, 9, 22.0,⑦⑦⑦
