11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｅヤングエイト, 47,高倉稜,, 58,  -4,* -1, 9, 58.5, ④④, 1,10,Ａミキノクレシェンド, 73,菅原隆,, 69,  -4,*  8, 5, 11.7, ③③, 1, 3,Ａモエレデフィニット, 76,杉原誠,, 68,* -2,   6, 2,  4.7, ②②, 1, 4,Ｇヒダカアルテミス, 68,勝浦正,, 76,* -1,  13, 7, 18.6,②②①
 2, 4,Ｄディアサルｰテ, 51,吉田隼, 0.2, 56,  -4,* -3, 6, 14.1, ③②, 2, 6,Ｃエｰシンパナギア, 71,中舘英, 0.1, 68,* -1,   5, 1,  2.2, ①①, 2, 2,Ｃゴｰルドオリｰブ, 71,勝浦正, 0.2, 66,* -2,   4, 4,  5.4, ①①, 2,14,Ｄシｰキングフェイム, 73,幸英明, 0.1, 81,  -5,* 22, 2,  4.0,⑫⑪⑪
 3,12,Ｃマｰベラスルビｰ, 51,渡辺薫, 0.4, 52,  -6,  -5, 2,  6.5, ⑥⑤, 3, 5,Ｂサマｰソング, 73,吉田隼, 0.3, 66,  -4,   6, 2,  3.2, ⑤⑤, 3, 6,Ｄジャベリン, 70,幸英明, 0.4, 64,  -3,   4, 1,  2.8, ③④, 3, 9,Ａデュリュクス, 77,柴山雄, 0.2, 79,  -3,  18, 1,  3.6,⑭⑨⑨
 4, 5,Ｂオサキニシツレイ, 62,国分優, 0.7, 48,  -9,  -6, 5, 13.4, ⑧⑧, 4, 1,Ｈピンクデｰジｰ, 57,太宰啓, 0.6, 62,  -9,   6, 8, 50.1, ⑧⑦, 4, 1,Ｈグリｰンファイヤｰ, 63,西田雄, 0.4, 62,  -6,   5, 6, 14.4, ④③, 4, 5,Ｌグロリアスフラワｰ, 62,宮崎北, 0.3, 81,  -6,* 22,10, 36.4,⑦⑬⑫
 5, 2,Ａサクラルモンド, 63,川須栄, 0.9, 47,  -7,  -9, 1,  1.7, ⑦⑥, 5, 7,Ｅビップセンノセン, 67,国分優, 0.8, 61,* -2,   0, 3,  6.5, ②②, 5, 8,Ｊスタｰリバイバル, 56,伊藤工, 0.6, 60, -15,*  9,10, 62.9, ⑨⑥, 5, 6,Ｂシャイニングサヤカ, 76,黛弘人, 0.3, 75,  -4,  13, 3,  6.1,⑥⑤⑤
 6, 7,Ｍトウショウクルス, -3,幸英明, 1.2, 45,* -1, -15, 3,  7.9, ①①, 6, 8,Ｆホリデイトウショウ, 63,横山和, 1.0, 58,  -7,   2, 6, 23.8, ⑥⑨, 6, 5,Ｇデプラｰタ, 63,黛弘人, 0.8, 60,  -7,   3, 7, 20.1, ⑤⑤, 6,13,Ｉイオス, 67,中舘英, 0.4, 74,* -2,   9, 4,  7.9,④③③
 7, 1,Ｌカシノコスモス, 15,二本柳, 1.3, 41, -16,  -7,10,129.3, ⑨⑨, 7, 2,Ｄナイトフライト, 69,松山弘, 1.4, 55,  -5,  -4, 4,  9.2, ④④, 7, 4,Ｅピエナヴィブレ, 68,上野翔, 1.5, 52, -10,  -2, 5,  8.8, ⑥⑧, 7,11,Ｆチェルカトロｰバ, 69,古川吉, 0.4, 74,  -4,  12,12, 55.7,⑨⑥⑥
 8, 6,Ｉフクノゴｰルド, 39,黛弘人, 1.5, 40, -16,  -8,11,256.5, ⑩⑩, 8, 4,Ｇブルｰエンジェル, 61,大野拓, 1.5, 52,  -9,  -2, 9, 51.3, ⑨⑧, 8, 7,Ｂダニエルバロｰズ, 72,川須栄, 1.6, 50, -13,  -1, 3,  5.1, ⑧⑦, 8,12,Ｅピｰチブロｰフィズ, 70,オドノ, 0.6, 73,  -5,  13, 5,  8.7,⑬⑫⑧
 9, 8,Ｇレッドオスカｰ, 45,西田雄, 1.6, 38,  -6, -16, 7, 23.4, ⑤⑦, 9, 3,Ｉディｰプインアスク, 54,杉原誠, 1.6, 51, -13,   0, 7, 26.5, ⑩⑩, 9,10,Ｆライブリリュウショ, 68,水口優, 1.6, 49, -15,   0, 8, 23.4, ⑩⑩, 9,10,Ｃキイレ, 74,丸田恭, 0.6, 72,  -4,  12, 9, 21.9,⑪⑧⑦
10,11,Ｈワンダｰアイ, 41,杉原誠, 1.7, 37, -20,  -7,14,345.7, ⑬⑬,10, 9,Ｊイツモジョウキゲン, 54,幸英明, 1.6, 53,  -7,  -4,10, 66.4, ⑦⑥,10, 9,Ｉスズカジェネラル, 59,国分優, 1.9, 46, -12,  -5, 9, 54.0, ⑦⑨,10, 3,Ｍクリノビッグスカイ, 54,西田雄, 0.6, 77,  -8,* 20,13,121.5,⑩⑭⑭
