11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆメイショウブシドウ, 51,武豊  ,, 60,*  4,   0, 2,  4.1,①①①, 1, 6,Ｉニシノプレゼンス, 50,後藤浩,, 68,*  6,*  3, 9, 26.1, ①①, 1,11, ワｰルドエｰス,---,福永祐,, 61, -10,*  6, 1,  1.4, ⑨⑨, 1, 3,Ｄリバティバランス, 85,福永祐,, 89,   9,* 17, 1,  2.6,⑦⑥⑥
 2, 4,Ａブリスコｰラ, 69,岩田康, 0.3, 57,   2,  -1, 1,  2.1,③③③, 2, 1,Ｃハンズアップ, 55,福永祐, 0.7, 62,   2,*  1, 1,  3.6, ⑦⑦, 2,13, レッドブレイゾン,---,小牧太, 0.1, 59, -13,*  9, 2,  4.9, ⑪⑪, 2, 9,Ｉバトｰドｰル, 84,ウィリ, 0.3, 86,* 10,  10, 2,  5.7,②②②
 3, 7,Ｂヴォｰグトルネｰド, 54,国分恭, 0.4, 57,   2,   0, 3,  5.4,⑤⑤④, 3,10,Ｎミヤビリファイン, 41,吉田豊, 0.8, 61,*  5,  -3,12, 81.1, ③③, 3, 2, エｰシンクｰフラン,---,後藤浩, 0.8, 50,  -9, -10, 3, 15.4, ④④, 3,10,Ｅナリタシルクロｰド, 85,高倉稜, 0.5, 85,   8,  15, 9, 29.0,⑩⑩⑦
 4,10,Ｉサダムオベｰション, 38,幸英明, 1.4, 53,  -3,*  1,10,204.7,⑪⑪⑩, 4, 7,Ｇゼロワンシンジロｰ, 53,ルメｰ, 1.0, 59,   3,  -2, 6, 14.7, ⑤⑤, 4, 9, アルズ,---,川田将, 0.9, 50,  -8, -10, 6, 24.1, ⑥⑥, 4, 2,Ａマストハブ, 91,四位洋, 0.5, 88,   5,* 20, 4,  7.9,⑭⑬⑭
 5, 9,Ｇマキハタテノｰル, 47,小牧太, 1.4, 49,*  3, -12, 4,  7.7,④②②, 5,14,Ａキングヒｰロｰ, 58,北村友, 1.3, 55,  -1,*  1, 4,  7.4, ⑬⑫, 5,12, ブラボｰプリンス,---,北村友, 0.9, 50, -10,  -7, 8, 49.0, ⑧⑧, 5, 6,Ｂゴッドエンブレム, 88,岩田康, 0.6, 84,  10,  11, 3,  7.6,④④⑤
 6, 3,Ｅシゲルアｰモンド, 53,北村友, 1.6, 49,  -1,  -6, 9,117.6,⑦⑧⑦, 6,12,Ｄヒラボクダッシュ, 54,岩田康, 1.4, 57,   1,  -1, 7, 14.8, ⑩⑨, 6, 8, ウノギムレット,---,浜中俊, 1.1, 48, -10, -12, 7, 43.5, ⑦⑦, 6, 7,Ｆスエズ, 84,川田将, 0.8, 83,   8,  12, 5,  8.4,⑨⑨⑨
 7,11,Ｃジョウショｰサニｰ, 54,後藤浩, 3.0, 38,   2, -24, 7, 20.6,⑥④⑤, 7, 5,Ｊフリｰダムシチｰ, 50,秋山真, 1.6, 56,   5,  -8, 8, 19.6, ④④, 7, 5, ユキノサムライ,---,幸英明, 1.5, 42,* -7, -23,13,213.4, ②②, 7,11,Ｊラルｰチェ, 84,藤岡康, 1.0, 85,   2,* 22,12, 88.6,⑮⑮⑮
 8, 6,Ｊシンゼンユメノスケ, 36,飯田祐, 3.1, 39,   1, -22, 6, 17.7,⑧⑥⑥, 8,15,Ｆトキノビスコンティ, 53,幸英明, 1.9, 53,   2,  -9,10, 43.0, ⑧⑥, 8,10, クレバｰディオネ,---,高倉稜, 1.6, 42, -11, -14, 9,105.7, ⑩⑩, 8,14,Ｃアグネスミヌエット, 88,デムｰ, 1.1, 80,   7,  13, 8, 27.8,⑫⑫⑩
 9, 5,Ｄサチノコイノボリ, 53,熊沢重, 3.6, 38,   0, -23, 5, 14.5,⑩⑦⑧, 9, 4,Ｂヤマニンメダイユ, 58,武豊  , 1.9, 52,   0,  -7, 2,  3.7, ⑨⑧, 9, 6, ウォｰタｰレオ,---,国分恭, 1.7, 40,* -7, -24,11,113.4, ③③, 9,15,Ｐウォｰタｰルルド, 79,北村友, 1.3, 78,* 11,   3,11, 70.4,⑤⑤④
