12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃスタｰゲイジング, 53,柴田大,, 57,   8,* -5, 5, 16.2, ⑥⑤, 1, 7, ヴェルテュ,---,田辺裕,, 58,* -3,* -2, 1,  2.9, ①①, 1, 8,Ａアイアムイチバン, 77,蛯名正,, 76,*  1,* 14, 2,  3.4,①①①, 1, 1,Ｆコスモロビン, 81,柴田大,, 84,   8,* 19, 2,  3.8,⑧⑨⑧
 2, 5,Ｉフォｰスフル, 47,柴山雄, 0.0, 59,* 12,  -8, 3,  9.6, ①①, 2, 3, ナムラセラピｰ,---,宮崎北, 0.6, 53,* -4,  -6, 2,  5.2, ②②, 2,10,Ｉニｰロ, 69,嶋田純, 0.8, 71,*  0,   8, 8, 19.2,③④③, 2,10,Ｃウォｰクラウン, 85,蛯名正, 0.0, 81,   9,  13, 4,  6.9,⑥⑤④
 3,12,Ａエリクサｰ, 61,蛯名正, 0.1, 58,* 10,  -7, 1,  1.5, ④③, 3,16, ブライトシチｰ,---,柴田善, 1.2, 49,* -5, -11, 4,  7.2, ⑤④, 3,12,Ｄウエスタンブラボｰ, 74,田中勝, 0.8, 70,*  1,   7, 7, 18.1,②②②, 3,11,Ｂメイショウドンタク, 87,柴田善, 0.0, 80,  11,  10, 1,  3.5,④④③
 4, 6,Ｊサニｰスペシャル, 43,津村明, 0.5, 54,* 11, -12,11,113.2, ②②, 4,12, グッドピュアレディ,---,江田照, 1.5, 45, -14,* -4,10, 48.0, ⑦⑤, 4,11,Ｈシベリアンファクト, 70,西田雄, 0.9, 71,*  0,   9, 5, 12.5,⑤⑤⑤, 4, 6,Ｌトパンガ, 70,吉田隼, 0.2, 79,   9,  12, 9, 37.5,⑤⑥⑤
 5, 1,Ｅアナコンダ, 52,武士沢, 0.6, 53,   8, -10, 4, 13.4, ⑤④, 5,15, メイショウシノノメ,---,柴山雄, 1.6, 43, -14,  -6,12,101.0, ⑥⑥, 5, 7,Ｃジャストザシｰズン, 75,石橋脩, 1.5, 66,*  0,   2, 1,  2.6,④③④, 5,12,Ａフェニコｰン, 87,田中勝, 0.3, 78,   9,  12, 7, 13.5,⑦⑧⑥
 6,15,Ｇロｰドパルジファル, 50,三浦皇, 0.6, 49,  -2,*  0, 6, 16.8, ⑭⑬, 6,13, ワラビラ,---,蛯名正, 1.9, 42,  -6, -16, 6, 12.1, ③③, 6, 9,Ｂバシリクス, 76,田辺裕, 1.8, 65,  -1,   2, 3,  7.1,⑧⑦⑥, 6, 9,Ｅサイモントルナｰレ, 81,石橋脩, 0.3, 80,   7,* 18,11, 88.4,⑫⑫⑫
 7,13,Ｈボナンザ, 49,平野優, 1.0, 48,   7, -13, 7, 20.9, ⑦⑦, 7,14, シｰキングベガ,---,木幡初, 2.0, 40,  -6, -17, 7, 12.6, ④⑦, 7, 1,Ｇリネンタキシｰド, 72,村田一, 1.9, 64,  -1,   3,10, 54.6,⑦⑨⑧, 7, 2,Ｄトウカイオｰロラ, 81,大庭和, 0.3, 81,   7,* 19, 3,  6.8,⑪⑪⑪
 8, 3,Ｂカシノアポロン, 54,西村太, 1.3, 43,   1, -10, 8, 37.7, ⑪⑩, 8, 6, サイトカイン,---,小林淳, 2.0, 40, -22,* -2,15,171.7, ⑫⑪, 8, 4,Ｋイキナヤツ, 62,木幡初, 1.9, 65,  -1,   3, 9, 52.1,⑪⑧⑦, 8, 4,Ｇマイネソルシエｰル, 81,津村明, 0.4, 75,   9,   9, 8, 33.7,⑩⑦⑦
 9,11,Ｄエリザヴェｰタ, 52,丸田恭, 1.3, 43,   4, -13, 9, 51.8, ⑨⑪, 9, 1, ハリケｰンピサ,---,三浦皇, 2.1, 40, -15,  -9, 5, 11.2, ⑧⑧, 8, 2,Ｅオリオンザアルファ, 73,吉田豊, 1.9, 64,  -1,   3, 6, 13.7,⑨⑩⑨, 9, 8,Ｉドリｰムセｰリング, 76,荻野琢, 0.4, 74,* 14,  -4, 6,  8.3,②②②
