12年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾌｨﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａユリオプスデイジｰ, 68,福永祐,, 59,  -5,*  7, 1,  4.3, ⑦⑥, 1, 5, ネクタル,---,岩田康,, 64,  -9,* 13, 3,  4.0,⑦④⑧, 1, 2,Ｂステキナシャチョウ, 75,大下智,, 76,   0,* 20, 2,  4.1,⑪⑪⑪, 1, 9,Ａサンシャイン, 75,岩田康,, 78, -15,* 21, 2,  3.7, ②②
 2,14,Ｃビナスイｰト, 62,岩田康, 0.1, 59,*  2,   0, 4,  5.2, ③③, 2, 3, プレミアクラウン,---,四位洋, 0.2, 63,* -7,*  7, 2,  3.8,①①①, 2,14,Ｄトｰセンウィｰク, 72,川田将, 0.0, 74,   2,  14, 3,  4.5,④③③, 2, 7,Ｃフレイムコｰド, 71,国分恭, 0.2, 73,*-12,  15, 6, 12.1, ①①
 3, 2,Ｅメイショウオハツ, 60,幸英明, 0.2, 59,*  4,  -4, 7, 16.7, ①①, 3, 4, オウケンイチゲキ,---,福永祐, 0.8, 58,* -8,   5, 1,  3.0,③③③, 3, 9,Ｅサンマルヴィエント, 71,藤田伸, 0.3, 74,   0,* 15, 4, 14.5,⑫⑩⑧, 3, 8,Ｅタガノキャンドル, 65,川田将, 0.3, 74, -15,  18, 3,  4.4, ④⑤
 4, 4,Ｄジツリキネオ, 61,秋山真, 0.3, 57,   0,   0, 6, 11.0, ④④, 4, 9, マコトアンバサダｰ,---,佐藤哲, 1.3, 54, -10,   4,12, 68.0,⑨⑪⑪, 4,13,Ａサンライズブレット, 77,岩田康, 0.4, 70,*  3,   9, 1,  1.9,②②②, 4, 6,Ｇクッカｰニャ, 64,藤岡佑, 0.4, 77, -17,* 20, 5, 11.2, ⑧⑧
 5,11,Ｂタガノプラｰジュ, 65,藤懸貴, 0.4, 54,  -2,   1, 5,  8.0, ⑤⑤, 5,16, エｰシングッデイ,---,幸英明, 1.3, 57, -10,   4, 4, 11.0,⑥⑨⑨, 5, 7,Ｃトウカイノｰマル, 74,藤岡佑, 0.7, 71,   2,   9, 5, 19.2,③④④, 5,11,Ｆウイングザムｰン, 64,飯田祐, 0.4, 73, -15,  17, 4,  8.6, ⑤③
 6, 9,Ｊキタサンテンニョ, 47,太宰啓, 0.7, 53,  -3,  -1,13,219.3, ⑥⑦, 6,12, ランプｰン,---,藤岡佑, 2.0, 50,* -8,  -8, 8, 24.6,⑫②②, 6, 8,Ｉアイティテイオｰ, 67,高倉稜, 0.9, 70,   1,   9,10, 99.3,⑤⑥⑥, 6, 4,Ｄストレイトガｰル, 70,武幸四, 0.4, 73, -15,  17,11, 63.9, ③④
 7, 1,Ｐロｰザロッチェ, 22,武幸四, 1.1, 51,  -7,  -1,10, 40.2, ⑧⑧, 7, 6, ハクユウシャンティ,---,川田将, 2.4, 48,  -9,  -8, 9, 37.7,⑤⑤⑥, 7,10,Ｈチャンピオンハｰレ, 68,幸英明, 1.0, 69,   1,   9, 8, 48.8,⑩⑦⑦, 7, 1,Ｋロゼシャンパｰニュ, 48,福永祐, 0.6, 72, -16,  17, 7, 26.1, ⑨⑨
 8,13,Ｉプリンセスカナ, 48,藤岡佑, 1.1, 51, -11,*  3, 8, 23.9, ⑨⑨, 8,14, シルバｰドラゴン,---,国分恭, 2.5, 44,  -9,  -9,10, 38.0,④⑦④, 8, 4,Ｋアドマイヤキャロル, 62,福永祐, 1.2, 66,   0,   9, 9, 70.3,⑧⑨⑩, 8, 3,Ｂラフレｰズカフェ, 74,四位洋, 0.6, 72, -19,* 19, 1,  3.1, ⑪⑪
 9,16,Ｈピエナアプロｰズ, 54,武豊  , 2.0, 42,*  4, -18, 2,  4.5, ②②, 9,15, ジャイロプレｰン,---,藤田伸, 2.6, 47,  -9,  -9,11, 68.0,⑩⑧⑤, 9, 3,Ｆイメｰジレイナ, 71,花田大, 1.4, 66,  -1,   8,12,186.0,⑨⑫⑬, 9, 5,Ｊトｰホウアマポｰラ, 58,幸英明, 0.6, 71, -18,  18,10, 35.3, ⑦⑦
10, 3,Ｇピンウィｰル, 55,佐藤哲, 2.1, 40, -16,   0, 9, 29.9, ⑪⑪,10,11, チｰフベアキャット,---,小牧太, 2.6, 49, -13,  -1,15,117.7,⑮⑯⑮,10, 1,Ｇシルクレグルス, 70,小牧太, 1.4, 68,  -3,  13, 7, 47.0,⑭⑭⑭,10,10,Ｉキボウダクリチャン, 60,秋山真, 0.8, 67, -15,  11, 9, 35.3, ⑥⑥
11,15,Ｋレインボｰカムカム, 45,村田一, 2.6, 37, -23,*  3,11, 81.0, ⑯⑯,11, 2, アラビアンパｰル,---,秋山真, 2.9, 45, -12,  -6, 7, 21.8,⑪⑬⑫,11, 6,Ｍタガノアルザン, 56,国分恭, 1.6, 63,  -1,   7,14,271.6,⑬⑬⑫,11, 2,Ｈアブシンベル, 62,佐藤哲, 1.4, 64, -19,  10, 8, 30.8, ⑩⑩
12,10,Ｍゴｰルドクリチャン, 37,国分恭, 3.4, 29, -22,  -6,15,344.6, ⑭⑬,11,10, アメイズリｰ,---,村田一, 2.9, 46, -12,  -5, 6, 19.5,⑧⑭⑭,12,11,Ｌジャポニズム, 57,村田一, 1.7, 63,   2,   1, 6, 30.6,⑦⑤⑤,,,,,,,,,,,,
13, 5,Ｏマルサンボサツ, 29,小林徹, 3.8, 26, -20, -11,12,162.3, ⑫⑫,13, 7, ワイドラブナ,---,渡辺薫, 3.5, 41, -10, -15,13, 70.4,⑬⑩⑩,13, 5,Ｎシルクジェネラｰレ, 56,佐藤哲, 1.7, 61,   0,   4,11,103.4,⑥⑧⑨,,,,,,,,,,,,
14, 6,Ｌアカデミｰダンサｰ, 42,高倉稜, 3.9, 26, -24,  -9,14,274.7, ⑮⑮,14, 1, ユニヴェｰル,---,熊沢重, 3.5, 43, -13,  -9,14, 78.3,⑭⑮⑯,14,12,Ｊラブロジック, 66,藤懸貴, 1.8, 55,*  6, -10,13,263.0,①①①,,,,,,,,,,,,
15,12,Ｆサンマルクイｰン, 55,熊沢重, 4.6, 20, -14, -24, 3,  4.9, ⑩⑩,15,13, ウメジマダイオｰ,---,小林徹, 4.5, 33,  -9, -26,16,309.3,②⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｎラブスリｰ, 31,渡辺薫, 4.9, 17, -22, -19,16,418.7, ⑬⑭,16, 8, カリスマサンキング,---,高倉稜, 6.1, 25, -12, -34, 5, 18.8,⑯⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:3),,,,,,,,,,,
単勝:430円 複勝:08=170円 14=200円 02=380円 枠連:760円,,,,,,,,,,,,単勝:400円 複勝:05=140円 03=130円 04=130円 枠連:360円,,,,,,,,,,,,単勝:410円 複勝:02=180円 14=270円 09=420円 枠連:250円,,,,,,,,,,,,単勝:370円 複勝:09=160円 07=280円 08=150円 枠連:740円,,,,,,,,,,,
"馬連:1,010円 ワイド:08-14=330円 02-08=920円 02-14=850円",,,,,,,,,,,,馬連:830円 ワイド:03-05=310円 04-05=260円 03-04=190円,,,,,,,,,,,,馬連:950円 ワイド:02-14=460円 02-09=600円 09-14=890円,,,,,,,,,,,,"馬連:2,250円 ワイド:07-09=750円 08-09=350円 07-08=680円",,,,,,,,,,,
