12年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,木津川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅダｰクブレイズ, 57,池添謙,, 66,   1,*  9, 5, 14.3,⑤④③, 1,15, マルカリョウマ,---,川田将,, 68,  -1,*  5, 1,  2.9, ⑤③, 1, 4,Ｆアイスメアｰ, 70,小牧太,, 73,  -9,* 16, 5,  7.2, ⑩⑩, 1, 1,Ｉデンコウジュピタｰ, 74,藤岡佑,, 84,  -4,* 26, 4,  8.1, ⑧⑧
 2, 7,Ａグレｰトチャｰルズ, 63,秋山真, 0.0, 66,*  2,*  7, 1,  1.9,③②②, 2, 8, テイケイフロックス,---,熊沢重, 0.3, 67,*  3,* -3,11, 47.0, ①①, 2,10,Ｅアドマイヤオンリｰ, 70,浜中俊, 0.1, 71,* -1,   7, 4,  7.2, ②②, 2, 3,Ｌロｰドロックスタｰ, 64,池添謙, 0.1, 77,*  5,   8, 9, 27.6, ①①
 3,16,Ｇマイネルアクロス, 54,和田竜, 0.2, 67,   1,*  8, 2,  5.0,⑥⑥④, 3,16, リアライズカレボ,---,秋山真, 0.9, 60,   0,  -4,12, 63.2, ③②, 3,12,Ｄヴィクトリｰマｰチ, 70,藤岡佑, 0.1, 73,  -8,* 14, 3,  4.5, ⑨⑨, 3, 5,Ｆテキｰラ, 77,国分恭, 0.2, 77,   0,  16,12, 82.9, ⑥⑥
 4, 3,Ｃホットニュｰス, 58,デムｰ, 1.0, 59,*  3,  -3, 4,  8.1,①①①, 4, 6, トミケンアルドｰル,---,国分恭, 1.1, 58,  -1,  -5, 2,  3.1, ④④, 4, 1,Ｂスマイリングムｰン, 73,デムｰ, 0.2, 70,*  0,   5, 2,  3.6, ①①, 4, 6,Ｅハｰキュリｰズ, 77,川田将, 0.2, 78,*  5,  10, 1,  3.3, ④④
 5,13,Ｄマｰティンバロｰズ, 57,安藤光, 1.9, 54,   1,  -7, 3,  6.7,④⑤⑥, 5,11, マコトラピスラズリ,---,和田竜, 1.6, 55,  -1,  -7, 9, 30.8, ⑥⑥, 5,11,Ａガｰルズストｰリｰ, 74,秋山真, 0.5, 69,  -3,   7, 1,  3.4, ③④, 5,11,Ｃマイウエイ, 78,小牧太, 0.3, 80,  -5,* 25, 7, 21.9, ⑪⑪
 6, 4,Ｏワイワイガヤガヤ, 31,大庭和, 2.1, 54,   1, -10,13,222.4,②③⑤, 6, 4, ヴィクタシア,---,藤田伸, 2.2, 50,  -4,  -9, 6, 23.2, ⑨⑨, 6, 2,Ｉフロｰラルホｰル, 67,藤田伸, 0.9, 65,  -3,   3, 6, 17.8, ④③, 6, 4,Ｇアグネスサクラ, 76,秋山真, 0.3, 76,*  4,   8, 6, 21.7, ③③
 7,15,Ｂセヴェルス, 61,田中健, 2.4, 51,   0,  -9, 6, 15.9,⑦⑦⑦, 7, 2, タガノバベル,---,池添謙, 2.3, 49,  -2, -13, 3,  5.0, ⑧⑧, 7, 3,Ｇワンダｰフウラン, 69,川田将, 0.9, 64,  -7,   6,10, 46.1, ⑧⑥, 7,10,Ｊニジブルｰム, 72,浜中俊, 0.4, 76,   1,  11, 8, 24.0, ⑤⑤
 8,11,Ｆサンライズシックス, 54,国分恭, 2.4, 51,  -2,  -5, 8, 71.2,⑫⑩⑪, 8, 1, ビバドリｰム,---,武幸四, 2.7, 46, -11,  -6,10, 31.3, ⑬⑫, 8,13,Ｍナチュラルライツ, 60,大庭和, 1.1, 63,  -4,   2,11, 94.2, ⑤⑤, 8, 8,Ｂドリｰムクラフト, 79,デムｰ, 0.4, 77,  -4,  19, 2,  3.6, ⑩⑨
 9, 1,Ｈトップリタｰン, 53,津村明, 2.7, 49,  -2,  -7, 9, 72.1,⑯⑪⑨, 9, 9, アドマイヤマグマ,---,浜中俊, 3.0, 45,  -2, -18, 4, 10.8, ⑦⑦, 9, 8,Ｈキクノアルバ, 68,国分恭, 1.3, 60,  -5,   1, 7, 33.9, ⑥⑧, 9, 7,Ｄアドマイヤバｰトン, 78,安藤勝, 0.5, 77,  -5,  22, 3,  4.3, ⑨⑩
