12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2500m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝｼｬｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄブルｰメリディアン, 56,津村明,, 56,   3,*-12, 3,  7.0,⑥⑤④, 1, 8, ナムラハヤテ,---,後藤浩,, 65,* -4,*  6, 2,  3.8, ②②, 1, 7,Ｇマスイデア, 62,江田照,, 73,   9,* -1, 7, 11.2, ⑩⑧, 1, 8,Ｉエｰシンミラｰジュ, 82,岩田康,, 93,  13,* 17, 2,  4.0,⑧⑩⑨
 2, 1,Ａスパｰクオンアイス, 59,岩田康, 0.0, 56,   2,*-10, 1,  1.8,⑩⑨⑩, 2,11, デプロマトウショウ,---,吉田隼, 0.0, 64,* -7,*  9, 5,  9.9, ④④, 2, 9,Ｆウィナｰズマックス, 62,吉田豊, 0.0, 68,  -2,*  9, 9, 32.1, ⑮⑬, 2, 2,Ｌセタガヤフラッグ, 77,江田照, 0.5, 87,* 16,  -3,11, 53.3,⑤③③
 3,11,Ｅサイレントクロップ, 53,後藤浩, 0.1, 55,   3,*-13, 2,  5.0,③④③, 3,14, オフショア,---,戸崎圭, 0.8, 58, -19,* 12, 4,  7.4, ⑨⑧, 3, 2,Ｅサウスビクトル, 63,柴田善, 0.0, 75,  14,  -6, 5,  9.3, ⑤⑤, 3, 6,Ｂエナｰジバイオ, 87,吉田隼, 0.5, 88,  14,   5,10, 50.3,⑩⑥⑥
 4,15,Ｋルｰチェデルソｰレ, 45,丸山元, 0.8, 53,*  4, -20,10, 95.7,②②②, 4, 2, ヘイハチスカイ,---,鈴来直, 0.9, 57,  -8,   2, 6, 17.4, ③③, 4, 1,Ｊディアジｰロｰズ, 61,後藤浩, 0.2, 74,  15,  -9, 1,  3.3, ④②, 4, 9,Ｆタニノエポレット, 84,蛯名正, 0.7, 87,  13,   7, 4,  6.1,⑨⑨⑧
 5, 9,Ｍアナンタン, 40,武士沢, 1.0, 54,  -1,*-11,11,117.2,⑬⑫⑨, 5,16, ドントブリンク,---,松岡正, 1.7, 50,* -4, -10, 1,  2.7, ①①, 5,13,Ａコスモアクセス, 68,柴田大, 0.5, 71,* 16, -14, 2,  5.4, ③④, 5,10,Ｊブルｰスタｰキング, 82,丸山元, 0.8, 86,  10,* 12, 9, 31.2,⑬⑬⑩
 6,14,Ｆミスエコパワｰ, 53,田中勝, 1.2, 47,   3, -21, 6, 20.0,⑧⑦⑥, 6, 5, ケイジｰヒロイン,---,木幡初, 1.7, 50, -12,  -2,11, 69.6, ⑤⑤, 6,15,Ｋビップヴィットリオ, 58,三浦皇, 0.5, 65,   2,* -1,13, 85.9, ⑬⑫, 6, 1,Ｃヴァｰゲンザイル, 86,三浦皇, 1.3, 81,  14,  -8, 3,  5.2,③⑤④
 7, 2,Ｂアンゲルスノｰヴス, 58,内田博, 1.3, 49,   2, -20, 5,  9.9,⑦⑧⑤, 7,15, タケデンサイレント,---,岩部純, 2.3, 44, -23,   2,10, 51.1, ⑪⑪, 7, 8,Ｂアイアムネフライト, 66,横山典, 0.5, 65,   8,  -7, 3,  6.3, ⑧⑨, 7,12,Ｋフミノヤマビコ, 82,長谷川, 1.8, 76,* 17, -23, 5,  9.4,②②②
 8, 5,Ｇグラスリベラル, 51,吉田隼, 1.6, 45,*  5, -28, 9, 73.9,①①①, 8, 4, レッドマリｰ,---,岩田康, 2.4, 43, -15,  -6, 3,  7.0, ⑥⑥, 8, 4,Ｉビッグプレゼンタｰ, 61,蛯名正, 0.6, 64,   5,  -5,10, 48.0, ⑫⑪, 8,13,Ｈヴァンダライズ, 82,川島信, 2.0, 77,  14, -15, 6, 14.4,⑥⑦⑦
 9, 3,Ｉミルクトゥｰス, 47,戸崎圭, 1.9, 45,  -1, -21, 8, 60.9,⑪⑪⑫, 9, 7, ラブソングフォナナ,---,石橋脩, 2.4, 43, -22,   1,12, 93.0, ⑩⑩, 9,10,Ｍクｰルユリア, 56,武士沢, 0.8, 62,   8, -11,12, 84.4, ⑨⑩, 9, 3,Ｅコスタパルメｰラ, 84,吉田豊, 2.0, 73,  15, -21, 8, 22.1,④④⑤
10, 4,Ｃブリッサ, 58,中谷雄, 1.9, 44,*  4, -29, 4,  9.1,⑨⑥⑧,10, 3, オウシュウウィｰク,---,丸山元, 2.8, 40, -19,  -6, 8, 22.3, ⑧⑨,10, 5,Ｌエクスクライム, 56,丸山元, 0.9, 67,* 19, -22, 8, 11.7, ①①,10, 5,Ａスｰサングレｰト, 88,松岡正, 2.4, 74,* 19, -36, 1,  3.4,①①①
11,13,Ｈスカイアｰト, 50,石橋脩, 2.0, 45,*  4, -31,14,236.0,⑤③⑦,11,10, ナムｰン,---,武士沢, 2.8, 41, -15,  -9,13,104.5, ⑦⑦,11,14,Ｄダイワカリエンテ, 64,北村宏, 0.9, 63,  12, -16, 4,  8.5, ⑦⑦,11, 7,Ｍシグナリオ, 73,武士沢, 2.6, 72,  11, -13,13,183.7,⑪⑫⑫
12, 8,Ｊダイワスパｰク, 45,北村宏, 2.6, 43,  -2, -20, 7, 49.9,⑮⑬⑬,12, 9, ガｰディアンギフト,---,高嶋活, 3.2, 35, -28,  -1, 7, 18.7, ⑫⑫,12, 3,Ｈノボピュアリティ, 61,田辺裕, 1.5, 52,   1, -12,11, 49.4, ⑭⑮,12,11,Ｇタガノファントム, 83,石橋脩, 2.7, 71,  11, -16,12, 73.4,⑫⑪⑬
13,12,Ｎシャコウプリンセス, 32,江田照, 3.0, 37,   1, -34,12,128.0,④⑩⑪,13,13, ゴウイモン,---,石神深, 3.8, 31, -32,  -2,15,194.0, ⑭⑭,13,16,Ｃケビンドゥ, 65,岩田康, 1.6, 55,  13, -25, 6,  9.7, ⑥⑥,13, 4,Ｄモｰニングフェイス, 85,内田博, 3.3, 67,  13, -31, 7, 19.9,⑦⑧⑪
