12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂショウナンアポロン, 61,大野拓,, 58,* -5,*  7, 2,  2.2, ②②, 1,16, コズミックショア,---,岩田康,, 73,* -2,* 11, 1,  2.7, ①①, 1,17,Ａステラウインド, 81,北村宏,, 88,* 15,   7, 3,  6.4,①①①, 1, 8,Ａサクラアドニス, 80,横山典,, 79,   3,   8, 2,  4.1, ④⑤
 2, 4,Ａリベルタドｰレス, 67,丸田恭, 0.2, 55,* -5,*  5, 1,  2.1, ①①, 2,10, エトルアンフルｰル,---,吉田隼, 0.9, 64,* -4,*  5, 2,  3.5, ③②, 2, 8,Ｈグレｰトマｰシャル, 73,武士沢, 0.8, 81,  10,* 12, 5, 14.4,⑰⑮⑬, 2, 9,Ｍレッドエレンシア, 70,三浦皇, 0.2, 77,   0,   8, 5, 11.6, ⑦⑦
 3, 8,Ｋオリエンタルエジル, 25,杉原誠, 1.2, 47, -15,*  5, 5, 18.6, ⑫⑨, 3, 4, ホワイトコｰヒｰ,---,石橋脩, 2.8, 49,  -8,  -8, 3,  6.7, ⑦⑥, 3, 4,Ｏリアルフレア, 66,柴田善, 0.8, 81,   9,* 13, 9, 34.1,⑭⑯⑰, 3, 1,Ｆコスモドロス, 76,丹内祐, 0.2, 78,  -3,* 10, 9, 33.5, ⑧⑧
 4, 5,Ｆウインプロスパｰ, 42,三浦皇, 1.6, 44, -11,  -2, 3, 13.5, ⑧⑤, 4, 5, ベルモントラヴ,---,柴田善, 3.0, 46,  -5, -12, 5, 12.0, ④③, 4, 9,Ｐミライヘノカゼ, 64,田辺裕, 0.9, 80,  13,   3,13,167.7,⑤⑤⑦, 4, 5,Ｉガッダムアスカ, 75,嶋田純, 0.2, 77,  -4,* 12, 1,  2.6, ⑩⑨
 5, 1,Ｊビｰトザシステム, 28,横山和, 1.6, 44,  -7,  -5, 8, 48.5, ④④, 5,13, ダンディｰレイ,---,北村宏, 3.6, 40, -17,  -6, 9, 31.6, ⑩⑪, 5,14,Ｃブラインドサイド, 77,蛯名正, 0.9, 79,  13,   2, 1,  1.9,⑥⑦⑤, 5, 2,Ｈロｰレンルｰナ, 76,蛯名正, 0.4, 74,*  5,   0, 4,  7.6, ①①
 6,13,Ｌドヴァラパｰラ, 24,田中博, 1.6, 45,* -5,  -7,15,267.9, ③③, 6, 9, フルｰツガｰデン,---,柴山雄, 3.6, 40,* -3, -19, 7, 17.5, ②④, 6,13,Ｄルミナスレッド, 76,宮崎北, 1.1, 78,  12,  -1, 8, 30.0,⑧⑥⑥, 6, 6,Ｌエクレウス, 70,西田雄, 0.4, 75,  -7,* 12,12,180.0, ⑫⑪
 7,11,Ｄエチュｰド, 43,田辺裕, 1.9, 41,  -9,  -5, 6, 32.4, ⑥⑧, 7, 2, トウショウパシオン,---,大野拓, 4.0, 37,  -8, -18,11, 61.8, ⑤⑤, 7, 2,Ｂエイダイポイント, 78,江田照, 1.2, 78,   9,* 11, 7, 27.5,⑯⑰⑮, 7,13,Ｃヤマニングルノイユ, 77,伊藤工, 0.5, 73,   3,   1, 3,  6.1, ⑤④
 8,10,Ｇウチケンジェｰニオ, 38,柴田大, 2.2, 38, -15,  -2,12,194.3, ⑪⑪, 8,12, ハイテンダネス,---,武豊  , 4.2, 38, -17,  -9,10, 46.1, ⑫⑫, 8,10,Ｊドリｰムモモタロウ, 67,二本柳, 1.3, 76,* 14,  -7,10, 78.4,③③④, 8, 4,Ｂメロｰクｰミス, 80,木幡初, 0.5, 72,   0,   4,10, 33.6, ⑥⑥
 9, 3,Ｅマリｰズミイ, 43,江田照, 2.5, 36,  -7, -12, 7, 39.6, ⑤⑦, 9,11, ルナｰリンガス,---,三浦皇, 4.2, 35, -14, -15, 6, 12.8, ⑨⑨, 9,15,Ｋサンデｰスイセイ, 67,田中勝, 1.3, 75,* 14,  -8,11, 82.5,④④③, 9,12,Ｇワンモアジョｰ, 76,田辺裕, 0.8, 69,  -7,   6, 7, 20.3, ⑬⑬
10, 7,Ｃイチマイカンバン, 49,荻野琢, 2.6, 35, -12, -10, 4, 17.6, ⑨⑥,10,15, カンタベリｰサクラ,---,西田雄, 4.5, 33, -19, -12,15,244.1, ⑪⑩,10,16,Ｆマイネルテンクウ, 74,柴田大, 1.5, 73,* 14, -13, 4, 12.6,②②②,10, 7,Ｅアポロノカンザシ, 77,吉田隼, 1.3, 62,*  4, -11, 6, 15.5, ③③
