12年10月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,多摩川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃヤンキｰソヴリン, 57,吉田隼,, 55,*  2,* -5, 1,  2.2, ③③, 1, 2, バイタルフォルム,---,内田博,, 58,  -9,*  3, 3,  3.6, ⑥⑤, 1,12,Ａエイコオウイング, 80,横山典,, 72,*  4,* 10, 1,  1.7, ⑤③, 1, 1,Ｂマスクトヒｰロｰ, 82,横山典,, 80,* 10,   9, 1,  2.2, ②②
 2,15,Ｂベリｰトゥベリｰ, 61,丸田恭, 0.2, 54,*  2,* -5, 2,  3.3, ⑥⑥, 2, 7, セイユウスマイル,---,津村明, 0.0, 58,* -4,  -3, 2,  3.4, ①①, 2, 5,Ｂダイワモｰビル, 74,北村宏, 0.4, 69,   2,*  8, 2,  4.0, ⑥⑥, 2,12,Ｊジェットヴォイス, 75,丸田恭, 0.2, 79,   6,* 13,12,175.9, ⑫⑫
 3, 2,Ｆステラジアン, 46,大庭和, 0.3, 56,*  3,  -8, 6, 23.5, ①①, 3, 9, キネオリリｰ,---,蛯名正, 0.1, 56,* -5,  -3, 1,  3.1, ②②, 3,14,Ｆエフティシュタルク, 69,蛯名正, 0.8, 66,   1,   6, 3,  9.7, ⑪⑧, 3, 2,Ｌヴィンテｰジイヤｰ, 74,内田博, 0.3, 79,   8,   8, 5, 13.7, ④④
 4, 1,Ａフュｰジリア, 63,横山典, 1.0, 48,  -2,* -6, 3,  6.7, ⑮⑭, 4, 4, ハプスブルク,---,田辺裕, 0.9, 51,* -5,  -8, 4,  7.0, ③③, 4, 6,Ｅトリニティチャｰチ, 70,柴田大, 0.9, 65,   3,   3, 7, 30.0, ④⑤, 4, 5,Ｄブレイクチャンス, 78,田中勝, 0.5, 76,   6,  10,13,190.6, ⑬⑪
 5, 8,Ｎウインバｰディ, 39,大野拓, 1.4, 46,  -1, -13,11,112.1, ⑧⑧, 5, 5, ベストブライアン,---,石橋脩, 1.2, 49,  -8,  -8, 9, 66.5, ⑤⑥, 5, 8,Ｍサンセルマン, 62,丸山元, 1.2, 64,  -1,   6, 8, 35.4, ⑨⑪, 5, 8,Ｉフィアレス, 77,丹内祐, 0.5, 78,   8,   8,10, 36.8, ⑧⑦
 6, 3,Ｋシャンピオナ, 42,ピンナ, 1.5, 51,   1, -16, 8, 44.2, ④④, 6, 8, サウンドトゥルｰ,---,宮崎北, 1.7, 44, -19,*  0, 5, 16.4, ⑫⑬, 6, 1,Ｇグランデタキオン, 67,津村明, 1.3, 64,  -4,*  9,12,132.8, ⑮⑮, 6,14,Ｃシゲルモトナリ, 79,吉田隼, 0.6, 76,   5,* 11, 9, 31.0, ⑪⑬
 7, 6,Ｏマイネルオルカｰン, 37,柴田大, 1.6, 44,  -2, -11, 9, 71.0, ⑭⑫, 7, 6, トウショウアミラル,---,武士沢, 2.0, 42, -15,  -8,13,180.8, ⑬⑫, 7, 2,Ｌソｰラｰインパルス, 63,松岡正, 1.4, 61,   1,   1, 5, 20.8, ⑧⑨, 7,11,Ｋトルバドゥｰル, 74,ピンナ, 0.7, 81,   8,   4, 3,  6.4, ⑥⑥
 8,14,Ｌオリバｰバロｰズ, 42,津村明, 1.7, 45,*  3, -20, 7, 30.2, ②②, 8,11, アルテルフ,---,松岡正, 2.2, 39, -12, -12, 6, 16.6, ⑪⑩, 8,13,Ｉドリｰムリｰグ, 66,柴山雄, 1.5, 59,   3,  -2,11,118.0, ⑦⑦, 8,15,Ｆイッシンドウタイ, 78,蛯名正, 0.8, 77,   4,* 11, 7, 15.5, ⑭⑭
 9, 4,Ｅスリｰヨｰク, 48,杉原誠, 1.7, 46,  -6,* -6,14,177.3, ⑯⑯, 9, 3, カザノト,---,西村太, 2.6, 35, -11, -17, 8, 40.1, ⑨⑦, 9,16,Ｈエリクサｰ, 67,内田博, 1.7, 59,*  6,  -7, 6, 23.0, ②②, 9,13,Ｅフラアンジェリコ, 78,石橋脩, 0.8, 76,   8,   3, 4, 10.3, ⑤⑤
10,11,Ｇスマｰトオリオン, 44,三浦皇, 1.8, 44,   0, -17, 5, 11.8, ⑦⑦,10,10, グランデラポｰル,---,木幡初, 3.2, 30,  -7, -28, 7, 35.1, ④④,10,15,Ｊキョウエイショウリ, 65,村田一, 1.9, 58,   0,  -1,16,364.0, ⑭⑫,10, 7,Ｈドラゴンアルテマ, 77,北村宏, 0.9, 74,   7,   6, 6, 13.9, ⑩⑩
11, 9,Ｈザジャズダンス, 44,武士沢, 2.0, 45,  -3, -13,16,483.8, ⑬⑮,11, 1, アポロアルデュｰル,---,勝浦正, 3.2, 31, -15, -19,12,129.8, ⑩⑪,11,11,Ｏダｰクラム, 56,大野拓, 2.0, 57,  -2,   1,13,217.0, ⑬⑭,11, 3,Ｇキングスリｰジョン, 78,吉田豊, 1.0, 76,   3,  10,11, 64.0, ⑮⑮
12, 7,Ｉヴェイパｰコｰン, 43,勝浦正, 2.0, 42,  -2, -15,12,121.9, ⑪⑬,12,12, ケツァルコアトル,---,嘉藤貴, 4.7, 19, -10, -36,11,125.5, ⑦⑧,12, 9,Ｎハロｰタマ, 57,嘉藤貴, 2.3, 55,   2,  -6,15,298.9, ⑩⑩,12,16,Ｎフルヒロボｰイ, 70,柴田善, 1.0, 73,* 11,  -2, 8, 23.7, ①①
13,10,Ｄタニセンダイナスト, 49,石橋脩, 2.2, 42,   2, -22, 4,  9.0, ⑤⑤,13,13, ラピｰドアイザック,---,江田照, 4.8, 17, -11, -36,10, 83.5, ⑧⑨,13, 3,Ｄアドバンスコンドル, 70,田辺裕, 2.4, 53,   3, -10, 4, 13.0, ③④,13, 6,Ａブライアンズオｰラ, 86,松岡正, 1.3, 71,   7,   1, 2,  5.1, ⑦⑧
14,12,Ｍカラダサンキュｰ, 40,横山和, 2.6, 38,   0, -23,15,287.5, ⑨⑨,,,,,,,,,,,,,14,10,Ｐカシノグリｰディ, 48,二本柳, 2.5, 53,  -6,   1,14,288.9, ⑯⑯,14, 4,Ｏエｰシンイオマンテ, 65,田辺裕, 1.5, 72,   3,   7,16,372.8, ⑯⑯
15, 5,Ｊアキレスバイオ, 42,江田照, 3.2, 33,  -1, -26,10,104.8, ⑫⑪,,,,,,,,,,,,,15, 7,Ｋキャントセイワｰズ, 63,田中勝, 2.5, 51,  -3,  -3,10,113.1, ⑫⑬,15, 9, メイプルダイキチ,---,柴山雄, 1.8, 67,   8,  -3,15,339.9, ⑨⑨
16,16,Ｐムサシノファルコン, 27,丸山元, 3.4, 33,   0, -30,13,175.9, ⑩⑩,,,,,,,,,,,,,16, 4,Ｃビッグギャンブラｰ, 73,西村太, 2.9, 47,*  6, -18, 9, 45.1, ①①,16,10,Ｍロトスカイブルｰ, 71,勝浦正, 2.1, 65,*  9,  -9,14,233.9, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
単勝:220円 複勝:13=110円 15=130円 02=330円 枠連:280円,,,,,,,,,,,,単勝:360円 複勝:02=130円 07=140円 09=130円 枠連:730円,,,,,,,,,,,,単勝:170円 複勝:12=110円 05=120円 14=180円 枠連:230円,,,,,,,,,,,,"単勝:220円 複勝:01=140円 12=2,080円 02=340円 枠連:660円",,,,,,,,,,,
馬連:330円 ワイド:13-15=180円 02-13=650円 02-15=950円,,,,,,,,,,,,馬連:700円 ワイド:02-07=280円 02-09=260円 07-09=250円,,,,,,,,,,,,馬連:240円 ワイド:05-12=150円 12-14=250円 05-14=370円,,,,,,,,,,,,"馬連:20,730円 ワイド:01-12=4,710円 01-02=580円 02-12=12,460円",,,,,,,,,,,
"馬単:720円 3連複:1,280円 3連単:4,960円",,,,,,,,,,,,"馬単:1,420円 3連複:630円 3連単:3,880円",,,,,,,,,,,,"馬単:360円 3連複:630円 3連単:1,690円",,,,,,,,,,,,"馬単:20,700円 3連複:50,660円 3連単:276,520円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
