12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａクレバｰカイオウ, 54,田辺裕,, 54,   2,  -6, 1,  1.5, ④④, 1,14, ファイブタブレット,---,三浦皇,, 60,  -8,*  6, 3,  7.9, ⑤④, 1,13,Ｆアルディｰトプリエ, 67,大野拓,, 70,*  7,   2, 8, 16.4, ⑤⑤, 1,14,Ｃトキノフウジン, 85,横山典,, 85,   1,* 24, 4,  8.9, ⑫⑫
 2, 8,Ｋゴｰルデンソウル, 30,丸山元, 0.1, 56,*  5, -10, 8, 42.9, ①①, 2,13, プロモントｰリオ,---,中舘英, 0.3, 57, -10,*  6, 9, 45.7, ⑦⑦, 2,14,Ｇタニセンヴォイス, 66,吉田隼, 0.0, 69,*  7,   2, 2,  5.0, ④③, 2, 2,Ｊエｰシンハダル, 80,蛯名正, 0.2, 82,*  7,  14, 6, 17.2, ③③
 3, 2,Ｉデルマカマイタチ, 34,ピンナ, 0.4, 54,*  3, -13, 3,  8.0, ③③, 3,10, モルダバイト,---,宮崎北, 0.6, 53,* -6,  -3,10, 50.9, ③②, 3,12,Ｂピュアマインド, 71,吉田豊, 0.0, 73,   5,*  7, 3,  5.4, ⑨⑨, 3,11,Ｋオリオンザポラリス, 78,田辺裕, 0.2, 83,   2,* 20, 7, 19.5, ⑨⑨
 4, 4,Ｇヨイチピｰス, 37,江田照, 1.1, 44,  -5,  -8,13,244.1, ⑦⑧, 4, 5, ゲマインシャフト,---,松岡正, 0.6, 55, -10,   3, 4,  8.6, ⑧⑥, 4, 3,Ｃタケデンサイレント, 70,黛弘人, 0.0, 71,   3,*  8, 9, 19.2, ⑫⑩, 4, 8,Ａアルゴリズム, 87,福永祐, 0.4, 82,   3,  16, 1,  2.2, ⑥⑦
 5, 6,Ｌガッテンハピネス, 30,柴田善, 1.2, 42, -15,*  3, 6, 22.5, ⑮⑮, 5, 4, エイシンラムダ,---,北村宏, 1.1, 53, -15,*  8, 2,  6.7, ⑫⑬, 5, 6,Ｈスパｰクオンアイス, 66,長岡禎, 0.4, 68,   5,   2, 4,  8.2, ⑥⑦, 5,10,Ｂユメノキラメキ, 85,北村宏, 0.4, 79,*  8,  10, 5, 13.4, ②②
 6, 5,Ｅテンミライ, 45,松岡正, 1.6, 40,  -3, -15, 5, 16.9, ⑤⑥, 6, 2, ハルカナルブルｰ,---,柴田大, 1.3, 48,  -8,  -6, 6, 23.7, ②③, 6,15,Ｉオｰタムカラｰ, 65,蛯名正, 0.5, 67,   3,   4, 6, 15.1, ⑩⑪, 6, 3,Ｉアイディンパワｰ, 81,池添謙, 0.5, 81,   1,  19,11,119.5, ⑩⑪
 7,16,Ｃパルトゥｰラ, 48,中舘英, 1.6, 41,  -1, -17, 4, 11.3, ⑥⑤, 7, 1, アポロソニック,---,蛯名正, 1.7, 46,* -6, -13, 1,  1.7, ①①, 7,11,Ｌパリｰナチャン, 62,北村宏, 0.5, 67,   2,*  6,13, 50.7, ⑭⑭, 7,12,Ｄキングパｰフェクト, 84,大野拓, 0.5, 81,   2,  19,10, 79.5, ⑪⑩
 8,11,Ｏグロスヴァｰグ, 27,丸田恭, 2.0, 36,  -6, -14,11,149.5, ⑨⑨, 8, 9, スイｰトジグ,---,大野拓, 1.8, 47, -14,   0,12, 72.8, ⑨⑪, 8, 9,Ｎウエスタンルｰチェ, 57,柴田善, 0.7, 66,*  8,  -5,14,109.1, ②②, 8, 6,Ｌムスタングリｰダｰ, 78,浜中俊, 0.7, 79,* 10,   6, 8, 49.0, ①①
 9, 9,Ｂトミケングレンサ, 48,木幡初, 2.2, 35,  -2, -21, 2,  6.5, ⑧⑦, 9, 6, ユウヅキ,---,丸田恭, 1.9, 44,  -9,  -9, 8, 40.8, ④⑤, 9,16,Ｅチェルカトロｰバ, 68,古川吉, 0.8, 65,   6,  -3, 7, 15.4, ⑦⑥, 9, 5,Ｈファンドリカップ, 81,柴山雄, 0.9, 76,   4,  10,13,206.8, ⑤④
