12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃベルライン, 54,福永祐,, 60,* -4,  -6, 1,  2.6, ②②, 1, 7, サンライズバロン,---,国分恭,, 61,* -6,*  1, 2,  3.0, ②②, 1,10,Ｇバｰバラ, 67,福永祐,, 77,   1,*  6, 2,  4.1, ⑥⑥, 1, 6,Ｆバトルドンジョン, 86,太宰啓,, 82,  15,   1, 6, 11.7,③④④
 2, 2,Ｊキュｰルエアリス, 42,和田竜, 0.4, 55,  -5,  -8, 6, 12.7, ③③, 2, 5, アサケゴマ,---,幸英明, 1.3, 49,  -8,  -8, 1,  2.8, ⑤⑤, 2,15,Ｆジョｰアカリン, 69,岩田康, 0.6, 69,   0,   0, 5, 17.6, ⑨⑧, 2, 2,Ｅポイマンドレｰス, 87,酒井学, 0.0, 83,  14,   3, 7, 25.4,⑤⑤⑤
 3, 6,Ｂセイントデジタル, 58,中井裕, 0.6, 53,  -9,  -6, 4,  9.8, ⑦⑦, 3, 8, マヤノチャクリ,---,渡辺薫, 1.4, 50,  -7,  -9, 5, 17.5, ④③, 3,18,Ａケイアイユニコｰン, 82,和田竜, 0.8, 67,   3,  -6, 1,  2.9, ⑦⑦, 3, 3,Ｋバックトゥジエｰス, 83,浜中俊, 0.1, 80,* 20, -10, 5, 10.7,①①①
 4, 3,Ｉファンタジｰデイ, 43,菱田裕, 0.6, 53,  -9,  -6,10,130.2, ⑥⑥, 4, 2, ドンマネｰ,---,川島信, 1.4, 48,  -7,  -9, 6, 17.9, ③④, 4, 7,Ｊヤマニンプチガトｰ, 65,鮫島良, 0.8, 65,  -4,   1, 4,  7.7, ⑪⑫, 4,15,Ｍアドマイヤツバサ, 82,小牧太, 0.2, 81,  12,   6, 8, 32.4,⑩⑨⑨
 5, 5,Ｅアグネスコトブキ, 49,小牧太, 0.8, 54, -23,* 10, 5, 10.4, ⑪⑪, 5, 9, ニホンピロロｰズ,---,酒井学, 1.8, 44, -13,  -7,10, 50.2, ⑦⑦, 5, 1,Ｂナムラハヤテ, 78,川須栄, 0.8, 68,   7, -10, 3,  4.8, ④④, 5, 4,Ｃクラシカルノヴァ, 89,和田竜, 0.2, 82,  13,   4, 2,  4.4,⑥⑥⑥
 6,10,Ｆエｰシンウェンディ, 49,太宰啓, 1.0, 48, -15,  -5, 8, 30.3, ⑨⑨, 6, 3, エリック,---,川須栄, 2.6, 37, -20,  -7, 9, 35.6, ⑧⑧, 6, 9,Ｈベストブルｰム, 65,小牧太, 0.9, 65,  -3,  -2,12, 46.0, ⑫⑪, 6,13,Ｇバトｰドｰル, 85,ピンナ, 0.2, 86,  12,   4, 3,  4.5,⑦⑦⑦
 7, 4,Ａエイティグロｰリｰ, 61,岩田康, 1.0, 48,* -2, -20, 2,  2.9, ①①, 7, 1, エｰシンコウリュウ,---,和田竜, 2.9, 36,* -4, -25, 3,  4.3, ①①, 7,14,Ｌサンライズポパイ, 64,国分恭, 1.0, 62,  -9,*  4,13, 83.2, ⑯⑯, 7,12,Ｄヒシパｰフェクト, 87,国分恭, 0.3, 81,  10,   8,12, 75.1,⑪⑩⑩
 8, 1,Ｈヒシダイヤ, 45,藤岡佑, 1.2, 47, -15,  -7, 3,  8.0, ⑧⑧, 8,10, マイソルジャｰ,---,鮫島良, 3.2, 33,  -7, -26, 8, 30.6, ⑥⑥, 8,16,Ｋアグネスマチュア, 65,藤田伸, 1.0, 63,   0,  -6,10, 36.3, ⑩⑨, 8, 8,Ｏタカオノボル, 78,川須栄, 0.5, 80,* 18,  -8, 9, 41.2,②②②
 9, 7,Ｄクリノアマダブラム, 49,幸英明, 1.3, 46,  -5, -20, 9, 48.1, ④④, 9, 6, タイガｰギム,---,小牧太, 5.4, 15, -19, -32, 4, 10.3, ⑨⑨, 9,12,Ｃセラヴィ, 72,高倉稜, 1.1, 66,* 10, -16,11, 44.7, ③③, 9,11,Ｂマストハブ, 91,四位洋, 0.5, 83,   7,* 13, 4,  5.0,⑮⑬⑬
10,11,Ｋシゲルオトメザ, 30,国分恭, 1.4, 46, -19,  -2,11,233.0, ⑩⑩,10, 4, デルマヌリカベ,---,竹之下,12.3,-63, -47, -68, 7, 23.5, ⑩⑩,10, 2,Ｑナリタキャッツアイ, 53,松山弘, 1.1, 60,  -5,  -2,16,163.0, ⑬⑬,10,10,Ｊチョイワルグランパ, 83,福永祐, 0.6, 78,  15,  -4,11, 54.1,④③③
11, 8,Ｇエｰシンタヒチ, 47,川須栄, 2.4, 32,  -5, -35, 7, 16.0, ⑤⑤,,,,,,,,,,,,,11, 5,Ｒワンダｰストｰリリ, 47,渡辺薫, 1.1, 61,  -6,   0,18,444.3, ⑭⑭,11, 5,Ａデスペラｰド, 92,岩田康, 0.7, 80,   6,* 14, 1,  3.9,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｄカノヤミノリ, 71,藤懸貴, 1.2, 60,  -2,  -8, 6, 18.8, ⑧⑩,12, 1,Ｌダイバクフ, 83,藤田伸, 1.0, 79,   6,  10,13, 95.9,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｏマコトヴィルッキオ, 61,藤岡佑, 1.2, 60,  -7,  -2, 7, 23.7, ⑮⑮,12, 9,Ｈハイロｰラｰ, 84,小坂忠, 1.0, 75,  12,  -1,14,134.1,⑧⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,17,Ｐリッカスウィｰプ, 61,幸英明, 1.2, 60, -11,   2,15,131.1, ⑰⑰,14,16,Ｎカスガ, 82,松山弘, 1.1, 77,   6,   9,15,201.6,⑯⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｅラヴアンドサンクス, 69,酒井学, 1.3, 63,* 11, -21, 9, 36.1, ①①,15, 7,Ｉヤマニンシャスｰル, 84,田中健, 1.5, 73,   8,   2,10, 45.6,⑨⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎエスペリア, 63,浜中俊, 1.3, 57, -17,*  7, 8, 30.2, ⑱⑱,16,14,Ｐモエレエタｰナル, 76,荻野琢, 1.5, 73,   8,   2,16,349.2,⑫⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｍエクスクライム, 63,ピンナ, 1.7, 57,   7, -22,14,113.9, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｉラブチャｰミｰ, 65,松田大, 1.9, 55,*  9, -27,17,168.3, ②②,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:260円 複勝:09=120円 02=270円 06=220円 枠連:1,220円",,,,,,,,,,,,単勝:300円 複勝:07=130円 05=130円 08=350円 枠連:410円,,,,,,,,,,,,"単勝:410円 複勝:10=200円 15=340円 18=160円 枠連:2,760円",,,,,,,,,,,,"単勝:1,170円 複勝:06=330円 02=560円 03=370円 枠連:3,210円",,,,,,,,,,,
"馬連:1,060円 ワイド:02-09=430円 06-09=400円 02-06=820円",,,,,,,,,,,,馬連:420円 ワイド:05-07=170円 07-08=780円 05-08=840円,,,,,,,,,,,,"馬連:3,380円 ワイド:10-15=1,680円 10-18=380円 15-18=810円",,,,,,,,,,,,"馬連:8,850円 ワイド:02-06=1,880円 03-06=1,560円 02-03=2,460円",,,,,,,,,,,
"馬単:2,070円 3連複:3,160円 3連単:12,190円",,,,,,,,,,,,"馬単:790円 3連複:2,190円 3連単:7,790円",,,,,,,,,,,,"馬単:5,590円 3連複:4,660円 3連単:18,400円",,,,,,,,,,,,"馬単:17,870円 3連複:23,840円 3連単:146,070円",,,,,,,,,,,
