12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,西陣ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａエｰシンサファイア, 58,岩田康,, 66,* -1,* -2, 1,  1.8, ①①, 1, 6, マイアイポイント,---,松山弘,, 57,  -8,*  1, 4, 10.8, ⑤⑥, 1, 8,Ｈトウショウヘイロｰ, 71,小牧太,, 73,*  1,   8, 4, 11.9,②②②, 1, 8,Ｊスリｰボストン, 82,武豊  ,, 92,* 13,* 14, 3,  8.3, ①①
 2, 6,Ｅベアトリッツ, 48,佐藤哲, 0.4, 63,  -5,* -1, 3,  6.1, ④④, 2, 4, マｰティンオｰト,---,内田博, 0.4, 54,  -7,  -3, 1,  2.5, ⑥⑤, 2, 3,Ｉロゼッタストｰン, 70,岩田康, 0.0, 74,*  0,* 10,10, 30.7,③④③, 2,10,Ｃキングオブヘイロｰ, 84,小牧太, 0.6, 87,* 12,  11, 6,  9.8, ②②
 3, 8,Ｂハｰトランド, 49,藤岡佑, 0.6, 60,* -1,  -9, 2,  4.1, ②②, 3,10, ティアｰオブジョイ,---,浜中俊, 0.5, 53,* -4,  -8, 3,  7.6, ①①, 3, 7,Ｊダノンクリエｰタｰ, 69,川田将, 0.3, 71,*  1,   5, 3,  8.2,①①①, 3, 2,Ａシルバｰキセキ, 87,デムｰ, 0.7, 84,   6,* 15, 1,  3.7, ⑩⑧
 4, 9,Ｊチョウワンダｰ, 43,幸英明, 0.8, 58,  -5,  -7, 5, 12.0, ③③, 4, 8, ワンダｰシャスｰル,---,秋山真, 0.5, 53,* -6,  -5,13, 78.9, ③②, 4, 4,Ｆフィオリア, 72,デムｰ, 0.5, 68,  -1,*  9, 2,  6.1,⑥⑧⑦, 4, 1,Ｆサダムグランジュテ, 83,内田博, 0.8, 85,   8,  13, 9, 16.1, ⑦⑥
 5,12,Ｃドングラッチェ, 48,熊沢重, 1.3, 52,  -6, -11, 4, 10.2, ⑤⑤, 5,13, アチｰヴ,---,幸英明, 0.5, 54, -14,*  5, 8, 27.6, ⑭⑬, 5, 5,Ｅマルティニｰク, 74,福永祐, 0.6, 71,  -2,*  9, 7, 19.9,⑧⑩⑧, 5, 3,Ｄエｰシンハダル, 84,福永祐, 0.9, 84,   3,* 16, 2,  5.1, ⑬⑪
 6, 4,Ｈシゲルコンパスザ, 45,国分恭, 1.6, 47, -13,  -7, 6, 35.3, ⑦⑦, 6, 9, ヒミノコンドル,---,藤岡佑, 0.6, 53, -10,  -2, 7, 21.9, ⑪⑧, 6, 2,Ｃサウンドビガレス, 74,浜中俊, 0.8, 70,  -2,   8, 8, 20.7,⑩⑪⑨, 6,11,Ｂユメノキラメキ, 86,酒井学, 1.2, 82,* 11,   6, 8, 13.7, ③③
 7, 2,Ｄスズカアドニス, 48,酒井学, 1.6, 47,  -9, -11, 7, 41.2, ⑥⑥, 7, 7, メイショウピオｰネ,---,福永祐, 1.1, 49,  -9,  -6, 2,  3.1, ⑧⑨, 7, 1,Ａキクノエクレｰル, 77,内田博, 0.9, 68,  -1,   5, 1,  1.9,⑬⑦⑥, 7, 7,Ｐネオヴァンクル, 68,秋山真, 1.3, 80,   1,* 14,10, 20.9, ⑮⑯
 8,10,Ｆスピｰディシャｰプ, 45,小林徹, 2.6, 37, -16, -13,12,299.0, ⑪⑪, 8, 2, カシノモルフェ,---,高倉稜, 1.1, 49, -10,  -5,12, 55.1, ⑨⑩, 8,13,Ｂダヴィンチバロｰズ, 75,幸英明, 0.9, 69,  -2,   7, 5, 12.4,⑦⑨⑪, 8, 6,Ｉケイアイダイオウ, 82,幸英明, 1.5, 78,   7,   7,11, 35.7, ⑧⑨
 9, 3,Ｇフェブアクティヴ, 45,高倉稜, 2.6, 35, -15, -18, 8, 45.7, ⑨⑨, 9, 5, マルヨファスリエフ,---,酒井学, 1.2, 49, -10,  -5,11, 50.1, ⑩⑪, 9,10,Ｄマｰリンシチｰ, 74,太宰啓, 1.1, 66,*  1,   0, 6, 17.0,⑨③④, 9,16,Ｇオリオンザポラリス, 83,四位洋, 1.5, 80,   5,   9, 4,  8.7, ⑫⑩
