12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａクリノスタｰオｰ, 64,幸英明,, 65,* -3,* 15, 1,  2.0,④③③, 1,14, グレイトエンブレム,---,藤岡佑,, 56,  -8,* -1, 8, 27.1, ⑤②, 1,12,Ｄアドマイヤカｰリン, 77,小牧太,, 82,*  9,  14, 6, 10.9,①①①, 1, 5,Ａデスペラｰド, 86,デムｰ,, 92, -10,* 33, 4,  9.3, ⑩⑩
 2, 4,Ｂマイネルハルカゼ, 62,高倉稜, 0.0, 64,* -2,* 14, 5, 15.8,①①①, 2,10, ゴダｰル,---,幸英明, 0.1, 54,  -8,* -2, 1,  1.7, ④①, 2, 8,Ｊエックスマｰク, 66,オドノ, 0.2, 84,   5,* 24, 4,  6.0,⑨⑨⑨, 2, 1,Ｂサクラアルディｰト, 85,川田将, 0.0, 90,  -8,  25, 1,  1.7, ⑤⑥
 3,12,Ｅスタｰソｰド, 58,福永祐, 1.0, 58,  -4,   8, 3,  5.4,⑧⑤④, 3, 7, ホッコｰアムｰル,---,飯田祐, 0.3, 52,  -9,  -3, 3,  8.7, ⑦⑧, 3, 7,Ａダノンキャスケｰド, 82,川須栄, 0.5, 81,   6,* 18, 5,  7.5,⑧⑧⑤, 3, 9,Ｄサトノパンサｰ, 81,松田大, 0.1, 88,  -8,  25, 6, 18.7, ⑧⑧
 4, 2,Ｃナムラドキョウ, 60,和田竜, 1.2, 56,  -4,   6, 2,  5.4,③④⑤, 4, 3, ナムラバクサイ,---,福永祐, 0.4, 52,* -7,  -5, 5, 15.7, ②③, 4, 1,Ｅスペルヴィア, 73,川田将, 0.6, 78,   7,  13, 3,  5.2,⑤⑤⑥, 4, 7,Ｅジェントルマン, 80,福永祐, 0.1, 88,  -8,  25, 2,  5.0, ⑦⑦
 5, 5,Ｈキャニオンバレｰ, 54,川田将, 1.3, 55,* -3,   3, 4, 10.9,②②②, 5, 4, ブロｰドスタｰ,---,佐藤哲, 0.4, 51,  -9,  -4, 6, 19.0, ⑥⑦, 5, 6,Ｆメイショウシレトコ, 70,渡辺薫, 0.8, 78,   4,* 18,12,142.4,⑩⑩⑩, 5,10,Ｈザサンデｰフサイチ, 74,幸英明, 0.2, 82,* -2,  12, 8, 67.5, ②②
 6, 3,Ｄメイショウマンヨウ, 58,国分恭, 1.4, 55,  -5,   6, 7, 20.7,⑦⑦⑥, 6, 9, メイショウオトワカ,---,武幸四, 0.8, 51, -12,  -3,10, 66.0, ⑪⑨, 6, 5,Ｃマイネルアイザック, 79,和田竜, 0.9, 76,   7,  11, 2,  4.9,⑦⑦⑧, 6, 2,Ｃナリタプラチナ, 83,和田竜, 0.4, 83,  -6,  18, 3,  5.1, ⑥⑤
 7, 7,Ｊレニンフェア, 40,デムｰ, 1.8, 49,  -6,   6, 6, 19.8,⑫⑪⑧, 7, 8, クラウンシュバルツ,---,国分優, 0.8, 48,* -7,  -9,14,191.4, ③④, 7, 3,Ｋマイネルイグアス, 66,高倉稜, 0.9, 74,   7,   8, 8, 49.4,④③④, 7, 8,Ｉタイキエイワン, 73,荻野琢, 0.7, 72,* -1,   2, 5, 14.2, ①①
 8,10,Ｆカリスマサンタイム, 56,水口優, 1.9, 52,  -6,   4,10, 34.3,⑩⑩⑪, 8, 6, ジェネロシティｰ,---,秋山真, 0.8, 48,  -9,  -7, 2,  4.9, ⑧⑤, 8, 9,Ｂサクセスフェイト, 79,福永祐, 1.0, 73,   7,   7, 1,  2.7,③④②, 8, 6,Ｇサンヴァンサン, 77,高倉稜, 1.1, 73,  -6,   8,10,167.3, ④④
 9, 9,Ｇショウナンカムリキ, 54,酒井学, 2.7, 46,  -4,  -7, 9, 30.7,⑥⑥⑦, 9, 1, アスタｰフレンチ,---,和田竜, 2.1, 38, -12, -15, 4, 11.8, ⑨⑩, 9, 2,Ｈサンライズアポロン, 67,太宰啓, 1.2, 74,   4,  14,10, 83.6,⑪⑪⑪, 9, 4,Ｆダノンエクスプレス, 78,小牧太, 1.3, 70,  -6,   4, 7, 53.8, ③③
