12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,高雄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂアルボナンザ, 56,四位洋,, 59,  -1,* -4, 1,  3.5, ⑤③, 1,12, アグネスミヌエット,,北沢伸,,,,, 1,  2.5,⑥③③, 1,12, ノｰブルコロネット,---,ルメｰ,, 62, -12,*  8, 2,  4.9, ⑤⑤, 1,12,Ｊマイネルシュトルム, 73,和田竜,, 83,* 18, -10, 5,  9.7,⑦⑦⑤
 2, 2,Ｃエｰシンウェンディ, 54,太宰啓, 0.9, 50,  -4,* -7, 5, 10.6, ⑩⑩, 2, 3, オｰスミムｰン,,中村将,197.7,,,, 5, 14.7,②②②, 2,10, カレンケカリｰナ,---,武豊  , 0.3, 57,*-10,   1, 1,  2.2, ②②, 2, 7,Ｃロｰレルクラシック, 79,ルメｰ, 0.2, 81,  16,* -9, 3,  4.5,⑪⑨⑧
 3, 6,Ｄビｰマイラブ, 54,藤岡佑, 0.9, 51,  -2, -11, 3,  3.8, ③④, 3, 1, エアペイシェンス,,高田潤,198.1,,,, 2,  3.9,④⑤⑤, 3, 3, リｰジェンシｰ,---,佐藤哲, 0.9, 49,*-10, -10, 6, 14.7, ①①, 3, 9,Ｂラヴィンライフ, 80,武豊  , 0.3, 81,  15,* -6, 7, 14.6,⑫⑫⑩
 4,10,Ａアサケゴマ, 59,幸英明, 1.1, 49,  -2, -11, 2,  3.5, ⑧⑦, 4, 4, シゲルメロン,,田村太,199.4,,,, 3,  4.0,③④④, 4, 2, エンジェリックレイ,---,福永祐, 0.9, 51, -11,  -6, 5, 10.9, ④④, 4, 4,Ｅバンザイ, 75,藤岡佑, 0.3, 80,* 19, -20, 9, 19.8,①①①
 5, 9,Ｅジュｰヌフルｰル, 52,和田竜, 1.1, 49,  -3, -11, 6, 16.1, ⑦⑥, 5,10, トウカイエナジｰ,,植野貴,199.6,,,, 4, 11.0,⑤⑥⑥, 5, 9, マイティウォリアｰ,---,幸英明, 0.9, 52, -16,   1,10, 58.6, ⑨⑨, 5, 3,Ｌマキハタテノｰル, 70,幸英明, 0.3, 81,* 18, -14,10, 46.5,⑤⑤③
 6,11,Ｉリトルボナンザ, 39,古川吉, 1.6, 45,  -5, -12,10, 71.7, ⑫⑫, 6, 8, クレバｰベスト,,今村康,199.8,,,, 6, 20.9,①①①, 6, 7, テイエムメデル,---,松山弘, 1.0, 50, -15,   1, 4,  9.0, ⑩⑩, 6,10,Ｉウォｰタｰセレネ, 73,酒井学, 0.6, 78,  16, -14,12,102.4,⑨⑩⑨
 7, 7,Ｈニホンピロロｰズ, 40,渡辺薫, 1.6, 47,  -4, -12,14,249.2, ⑪⑪, 7, 7, エｰシンハクレイ,,西谷誠,200.3,,,, 7, 22.0,⑧⑧⑦, 7, 1, ハギノエルドラド,---,川田将, 1.0, 52, -14,  -2, 9, 47.3, ⑦⑥, 7, 6,Ｈタガノレイヨネ, 73,太宰啓, 0.7, 76,* 18, -22, 4,  6.0,④④④
 8, 8,Ｍスｰパｰルｰセント, 33,田辺裕, 1.8, 44,  -5, -12, 8, 53.5, ⑬⑬, 8, 6, シゲルマスカット,,黒岩悠,200.3,,,,12,106.3,⑦⑦⑧, 8,14, エｰシンヘディング,---,和田竜, 1.3, 47, -14,  -6, 8, 20.4, ⑧⑧, 8,13,Ｇミヤコトップガン, 74,四位洋, 0.7, 77,  15, -10, 6, 13.8,⑬⑬⑪
 9, 5,Ｋクリノアンデス, 35,熊沢重, 2.0, 45,*  1, -22,12,192.0, ②②, 9,11, メイショウシャイン,,小坂忠,202.2,,,, 9, 55.6,⑨⑨⑨, 9,13, レッドヴィヴィアン,---,秋山真, 1.3, 46, -12,  -9, 7, 15.8, ⑥⑦, 9, 2,Ａアドマイヤカｰリン, 83,川田将, 0.9, 76,* 19, -27, 2,  4.5,③②②
