12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂソロル, 63,デムｰ,, 59,* -5,*  5, 1,  1.7,①①①, 1, 8, コピｰライタｰ,---,幸英明,, 57,*-11,*  3, 2,  3.7, ①①, 1,10,Ａワイズリｰ, 82,松山弘,, 83,   9,*  8, 8, 15.3, ⑪⑫, 1, 7,Ｄエｰシンミラｰジュ, 90,浜中俊,, 84,  14,* -3, 4,  8.0,⑫⑫⑩
 2, 7,Ｋバロンミノル, 43,和田竜, 0.7, 59,* -6,   1, 3,  7.4,③③③, 2, 9, スリｰカｰニバル,---,和田竜, 0.0, 58,*-12,*  4, 4,  6.0, ②②, 2, 4,Ｂタマモマｰブル, 82,水口優, 0.2, 81,  11,   0, 6, 13.7, ⑤⑦, 2,11,Ｇカルドブレッサ, 86,福永祐, 0.0, 84,* 16,  -7, 3,  6.7,⑥⑦④
 3, 1,Ｄエｰティｰタラント, 54,熊沢重, 1.0, 59,  -8,*  4, 4,  8.9,⑩⑪⑦, 3, 3, タイザンホクト,---,福永祐, 0.4, 53, -14,*  3, 1,  2.7, ③④, 3,16,Ｈサンライズメジャｰ, 76,四位洋, 0.2, 81,  10,*  2, 1,  2.5, ⑬⑩, 3, 1,Ｃタニノエポレット, 91,秋山真, 0.1, 83,* 15,  -7, 8, 21.1,⑧⑥⑦
 4, 6,Ａタガノビリｰヴィン, 68,武幸四, 1.1, 62,  -7,   0, 2,  3.9,⑦⑦⑤, 4,12, メイショウビオラ,---,藤岡佑, 1.3, 47, -20,   2, 7, 23.1, ⑧⑥, 4, 9,Ｌブレイズアトレイル, 72,藤岡佑, 0.4, 80,  10,  -1, 5, 12.6, ⑧⑧, 4,12,Ｎロｰドラテアｰト, 76,川田将, 0.1, 84,* 16,  -6, 9, 40.1,⑦⑧⑧
 5,12,Ｊミラクレスト, 44,浜中俊, 1.4, 52,* -6,  -6, 6, 32.9,②②②, 5, 7, シゲルカニザ,---,太宰啓, 1.6, 44, -25,*  3, 3,  6.0, ⑪⑩, 5, 1,Ｋサンマルクイｰン, 72,幸英明, 0.4, 80,  13,  -5, 9, 16.3, ③④, 5, 4,Ｂノｰステア, 91,三浦皇, 0.2, 83,  14,* -4, 2,  4.4,⑪⑪⑪
 6, 9,Ｉシｰクレットゾｰン, 44,松山弘, 1.7, 50,* -6,  -7,11,142.3,④④④, 6, 4, ショウナンナパ,---,浜中俊, 1.7, 42, -20,  -3, 5,  8.8, ⑤⑦, 6, 2,Ｅナリタスレンダｰ, 80,浜中俊, 0.7, 76,   8,  -3,10, 30.4, ⑩⑪, 6, 9,Ｅエナｰジバイオ, 87,幸英明, 0.3, 83,  13,* -3,13,105.5,⑬⑬⑬
 7, 8,Ｇセイグリッタｰ, 49,幸英明, 2.3, 48,  -8,  -9, 7, 62.3,⑤⑤⑧, 7,11, ヤマイチフォルｰテ,---,小林徹, 1.8, 43, -19,  -5, 8, 26.8, ⑥⑤, 7, 8,Ｉケイアイユニコｰン, 76,デムｰ, 0.9, 71,  12, -11, 4, 12.5, ⑦⑥, 7, 8,Ｉメイショウジンム, 84,藤田伸, 0.7, 79,  15, -12,11, 70.4,⑨⑩⑨
 8, 2,Ｅメイキングドラマ, 52,大野拓, 2.3, 48, -10,  -5,12,189.3,⑬⑬⑫, 8, 5, コウエイチャレンジ,---,三浦皇, 1.9, 40, -14, -10, 6, 22.9, ④③, 8, 5,Ｄキリシマトリオ, 80,秋山真, 1.0, 72,  12, -13,11, 46.5, ⑥⑤, 8,10,Ｈトウカイオｰロラ, 85,柴山雄, 0.8, 78,  13, -10, 7, 18.4,⑭⑭⑭
 9, 4,Ｆパワｰオブシャドｰ, 49,柴山雄, 2.5, 46, -10,  -7,10,125.7,⑪⑫⑪, 9,10, トｰアシチヘンゲ,---,国分優, 2.2, 38, -21,  -5, 9, 85.5, ⑨⑧, 9,14,Ｆアドマイヤキュｰト, 78,福永祐, 1.1, 72,  10, -11, 3,  6.8, ⑨⑨, 9,14,Ｋエキストラエンド, 78,デムｰ, 0.8, 76,* 16, -18, 1,  2.2,③⑤③
