12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄスズノニシキ, 54,内田博,, 62,*  2,  -1, 3,  7.6, ②②, 1, 3, ワンダｰロｰド,---,吉田隼,, 72,* -2,* 15, 2,  3.7,①③③, 1, 1,Ｍサトノネプチュｰン, 54,ムｰア,, 73,   4,*  8, 7, 17.4,⑧⑦⑥, 1,13,Ｄゴｰルドシップ, 96,内田博,,101,  18,* 17, 1,  2.7,⑯⑮⑪
 2,10,Ａドラゴンブラック, 65,ムｰア, 0.2, 59,  -7,*  5, 1,  1.7, ⑪⑨, 2,11, ビッグバンドジャズ,---,北村宏, 0.8, 66,* -2,*  9, 6, 15.8,③①①, 2,11,Ｋマイネルストラｰノ, 60,柴田大, 0.1, 73,*  7,   0,10, 32.8,②②②, 2, 6,Ｇオｰシャンブルｰ, 90,ルメｰ, 0.2, 99,  18,* 12,10, 27.6,⑧⑩⑩
 3,11,Ｂメイショウトラクマ, 61,武豊  , 0.3, 58,  -4,*  1, 2,  4.2, ⑦⑦, 3,14, ハイパｰチャｰジ,---,ムｰア, 1.6, 61,* -2,   1, 5, 12.8,④②②, 3, 5,Ｅカミノタサハラ, 69,蛯名正, 0.2, 72,   1,* 11, 2,  4.6,⑬⑫⑪, 3, 9,Ａルｰラｰシップ,102,ウィリ, 0.3, 96,  18,* 13, 2,  3.7,⑬⑭⑭
 4, 3,Ｆブラウンワｰルド, 47,石橋脩, 0.7, 56,  -3,  -3, 4, 10.2, ⑥⑥, 4, 6, リアルエンブレム,---,田辺裕, 2.4, 56,  -3,  -3, 1,  2.8,⑥④⑤, 4,10,Ｂミヤジタイガ, 72,和田竜, 0.4, 70,   4,   2, 3,  6.1,⑦⑨⑧, 4, 2,Ｃエイシンフラッシュ, 97,三浦皇, 0.5, 96,  19,   4, 3, 10.0,⑦⑦⑥
 5, 5,Ｉアキノディフェンス, 41,田辺裕, 1.1, 51,  -6,  -4,10, 91.8, ⑨⑧, 5, 4, ベルグレイヴィア,---,福永祐, 2.4, 58,  -5,   0, 9, 25.7,⑧⑦⑥, 5,12,Ｇヴェルデホ, 65,横山典, 0.5, 66,*  7,  -5, 4,  7.3,③④⑤, 5, 3,Ｅスカイディグニティ, 93,スミヨ, 0.6, 93,  19,   2, 7, 16.7,⑤⑥⑦
 6, 1,Ｅシアｰジュ, 53,岩田康, 1.5, 50,*  1, -13, 6, 23.6, ③③, 6, 2, ロｰドアストロ,---,内田博, 2.9, 52,  -4,  -6, 3,  6.0,⑤⑥④, 5, 3,Ｄブレイクラッシュ, 69,ルメｰ, 0.5, 68,   4,   1, 5,  8.3,⑨⑧⑦, 6,10,Ｂダｰクシャドウ,102,ムｰア, 0.6, 94,  19,   3, 4, 10.8,⑨⑧⑧
 7,12,Ｇダイヤパッション, 46,丸田恭, 1.7, 44, -10,  -5,12,236.0, ⑭⑮, 7,13, コウジョウ,---,松岡正, 3.2, 51,  -6,  -6,10, 28.0,⑬⑨⑨, 7, 8,Ａケンブリッジサン, 74,江田照, 0.5, 67,   6,  -2, 1,  3.5,⑤⑤④, 7,15,Ｍナカヤマナイト, 85,柴田善, 1.1, 89,  18,  -1, 5, 13.9,⑫⑪⑨
 8, 6,Ｍリュウノヒゲ, 29,吉田豊, 1.8, 45,  -5, -11, 8, 84.7, ⑧⑩, 8, 1, ハルコマチ,---,田中勝, 3.3, 49,  -5,  -6, 7, 20.7,⑦⑧⑧, 8, 9,Ｊオｰスミミズホ, 60,吉田隼, 0.6, 68,   3,   4,13, 82.2,⑪⑩⑫, 8,16,Ｆルルｰシュ, 91,横山典, 1.5, 85,* 20, -14, 6, 15.6,④④③
 9, 2,Ｈヒアルロンサン, 44,嘉藤貴, 1.9, 43,  -7, -10, 7, 45.5, ⑩⑪, 9,12, レッドエンブレム,---,岩田康, 4.7, 41,  -3, -23, 4,  8.9,⑪⑤⑦, 9, 6,Ｉトｰセンワｰプ, 64,内田博, 0.8, 67,   2,   4, 9, 26.7,⑫⑬⑬, 9,14,Ｈビｰトブラック, 89,石橋脩, 1.5, 86,* 22, -18, 8, 23.6,②②②
10, 7,Ｋタイキシャｰリｰ, 39,杉原誠, 1.9, 46,   0, -16, 9, 90.1, ④④,10, 8, トキンパンチ,---,三浦皇, 4.7, 41,  -6, -17,12, 81.2,⑨⑪⑩,10, 4,Ｆビｰビｰボイジャｰ, 65,大野拓, 0.8, 63,*  8, -12,11, 35.4,①①①,10, 7,Ｊダイワファルコン, 89,北村宏, 1.6, 84,  19, -14,12, 38.4,⑥⑤④
11,13,Ｊソデフリン, 40,田中博, 2.1, 42,  -9, -10,16,440.3, ⑬⑭,11, 9, インジニアス,---,江田照, 5.2, 44, -17,   1,13, 89.2,⑭⑭⑭,11, 2,Ｃセキショウ, 71,武豊  , 0.9, 63,   6,  -9, 8, 19.0,④③③,11, 4,Ｌアｰネストリｰ, 86,福永祐, 1.6, 85,* 22, -21,14, 70.1,①①①
12, 9,Ｌボｰルドタイド, 30,山崎亮, 2.3, 40, -11,  -9,15,435.7, ⑮⑬,12, 5, フクノカストル,---,岩部純, 5.2, 39,  -5, -22,14,120.0,②⑩⑫,12, 7,Ｈキｰプインタッチ, 65,北村宏, 0.9, 64,   3,  -2,12, 73.9,⑩⑪⑩,12, 1,Ｎロｰズキングダム, 84,岩田康, 1.7, 84,  19, -15,13, 51.6,③③⑤
13, 4,Ｃティアップベリｰ, 54,蛯名正, 2.4, 42,*  3, -23, 5, 16.7, ①①,13,10, オシダシ,---,武士沢, 5.4, 39,  -6, -22, 8, 24.7,⑫⑫⑪,13,13,Ｌモンテエベレスト, 57,柴田善, 1.8, 55,   6, -19, 6,  9.3,⑥⑥⑨,13, 8,Ｉトレイルブレイザｰ, 89,武豊  , 2.3, 80,  18, -17, 9, 27.4,⑪⑫⑫
