13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂタッチシタイ, 62,川田将,, 68,* -2,*  8, 2,  3.4, ③③, 1, 6, エｰシンゴｰルド,---,ルメｰ,, 65,*  2,  -1, 1,  1.4,②②②, 1,16,Ｅシゲルシバグリ, 70,岩田康,, 73,   0,* 13, 3,  4.3, ⑧⑦, 1, 4,Ｃリヤンドファミユ, 66,池添謙,, 80,   1,* 17, 2,  3.4,⑦⑥⑥
 2, 2,Ａエｰシンイェｰガｰ, 62,岩田康, 0.0, 67,* -1,*  7, 1,  3.3, ②②, 2, 8, ミヤジマッキｰ,---,浜中俊, 0.0, 66,   0,*  2, 3,  7.2,③③④, 2, 1,Ｃジャマイカジョｰ, 71,酒井学, 0.0, 75,   0,* 13, 1,  3.6, ⑦⑥, 2, 8,Ｄマイネルクロップ, 65,ビュイ, 0.2, 74,*  5,   5, 5, 22.1,③②②
 3, 3,Ｄゼンノビッグワン, 58,三浦皇, 0.4, 63,*  0,   3, 3,  6.4, ①①, 3,11, カトラス,---,熊沢重, 0.4, 65,   1,  -1, 7, 26.9,⑤⑤③, 3,15,Ａガｰルズストｰリｰ, 72,北村友, 0.5, 70,   3,   6, 4,  8.8, ⑥⑤, 3, 1,Ｇメイケイペガスタｰ, 63,武豊  , 0.2, 78,  -1,* 17, 4,  5.3,⑨⑨⑨
 4,14,Ｇペプチドマンボウ, 53,和田竜, 1.0, 60,  -4,   1, 9, 29.4, ④④, 4, 3, ラロｰザブル,---,幸英明, 0.7, 61,   0,  -2, 9,107.4,⑧⑥⑤, 4, 7,Ｆウエスタンムサシ, 70,武豊  , 0.7, 67,*  7,  -1, 2,  4.2, ②②, 4, 3,Ａミヤジタイガ, 72,和田竜, 0.5, 72,   3,   4, 3,  5.1,④④④
 5,13,Ｅゴッドドリｰム, 56,幸英明, 1.0, 58,  -8,*  6, 4,  6.9, ⑩⑩, 5, 1, ゴッドマウンテン,---,北村友, 0.8, 60,*  2,  -8, 4, 18.5,①①①, 5, 5,Ｋシゲルカリン, 63,川須栄, 0.7, 68,*  7,  -1, 6, 15.6, ①①, 5, 9,Ｂアドマイヤオウジャ, 69,岩田康, 0.8, 70,   1,   4, 1,  2.3,⑥⑦⑦
 6, 7,Ｃバルザック, 59,鮫島良, 1.2, 59,  -5,   2, 7, 17.8, ⑥⑥, 6,12, ミッキｰピオｰネ,---,岩田康, 1.8, 53,  -1, -10, 2,  5.2,⑦⑦⑦, 6, 4,Ｄブラックイレブン, 71,国分恭, 0.9, 67,  -2,   8,10, 23.3, ⑨⑨, 6, 6,Ｈサンガヴィｰノ, 62,ルメｰ, 1.0, 68,  -1,   6, 9, 65.5,⑧⑧⑧
 7, 4,Ｌシゲルカニザ, 49,北村友, 1.6, 53, -10,   2,12, 69.6, ⑪⑪, 7, 4, マゼｰル,---,川田将, 3.1, 47,  -3, -18, 6, 26.0,⑩⑧⑧, 7, 9,Ｉミヤジチョビ, 65,浜中俊, 1.4, 61,*  6,  -5, 7, 17.5, ③③, 7, 2,Ｆノｰスパストラル, 63,幸英明, 1.2, 65,   2,  -5, 8, 61.2,⑤⑤⑤
 8, 5,Ｊマッハジｰル, 50,熊沢重, 1.6, 54,  -8,   0, 6, 17.4, ⑨⑦, 8, 9, ジャルダンスクレ,---,三浦皇, 3.3, 44,  -6, -14, 5, 23.4,⑨⑩⑨, 8, 2,Ｈオリｰブジュエル, 68,ビュイ, 1.7, 58,  -9,   7, 5, 11.0, ⑮⑯, 8, 7,Ｅラシｰマ, 64,川須栄, 1.6, 60,   3, -13, 7, 43.1,②③③
 9, 6,Ｏヴェラｰチェ, 38,川須栄, 1.8, 52,  -5,  -5,10, 35.3, ⑤⑤, 9, 5, クリノロブソン,---,荻野琢, 3.4, 46,  -9,  -6,11,135.6,⑪⑪⑪, 9, 8,Ｍケイズイｰグル, 60,横山和, 1.7, 58,  -6,   4,14,195.3, ⑫⑪, 8, 5,Ｉタガノバスタｰ, 59,横山和, 1.6, 59,*  5, -17, 6, 41.7,①①①
10,10,Ｐマルシゲキング, 38,国分恭, 2.0, 51, -12,   2,15,329.2, ⑭⑭,10,10, マルサンムテキ,---,和田竜, 3.8, 43,   0, -31, 8, 67.2,④④⑥,10, 3,Ｂキクノフェｰデ, 71,三浦皇, 1.7, 57,   4,  -6,11, 73.0, ⑤④,,,,,,,,,,,,
11,12,Ｆメイショウドゥｰマ, 53,武豊  , 2.4, 46,  -7,  -8, 5, 12.1, ⑧⑨,11, 2, イソノジャパン,---,国分恭, 9.5,  1,  -4, -70,10,133.9,⑥⑨⑩,11,13,Ｐアｰクイクシオン, 54,荻野琢, 1.7, 58,  -8,   6,15,225.3, ⑭⑭,,,,,,,,,,,,
