13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃモレサンドニ, 57,蛯名正,, 58,*  3,  -2, 5, 12.6, ③③, 1,16, セツナ,---,戸崎圭,, 69,*  1,*  7, 1,  2.9,③③③, 1, 5,Ｅレッドフォルツァ, 74,北村宏,, 72,   3,* 14, 4, 11.1,⑦⑥⑥, 1, 6,Ｎアントニオピサ, 80,デムｰ,, 88,* 14,  15, 2,  6.2,②①①
 2,16,Ｆビックファントム, 55,田中勝, 0.3, 54,   0,  -2, 3, 10.6, ⑦⑥, 2,15, コナピｰベリｰ,---,松岡正, 0.0, 69,   0,*  9, 4,  5.5,⑭⑤④, 2, 6,Ｃセンキ, 76,和田竜, 0.0, 75,   4,  14, 3,  3.9,③④④, 2, 7,Ａトウショウクラウン, 91,戸崎圭, 0.1, 85,  11,* 18, 1,  1.9,⑧⑥④
 3,13,Ｈマキャヴェッリ, 51,岩部純, 0.3, 55,  -7,*  4,11,108.9, ⑫⑪, 3, 9, エルドリッジ,---,和田竜, 0.6, 69,  -2,*  7, 2,  4.3,⑨⑧⑥, 3, 3,Ｄダイゴロｰ, 74,江田照, 0.1, 72,   2,* 16, 5, 15.8,⑤⑧⑧, 3,16,Ｅエｰシンリボルバｰ, 86,池添謙, 0.2, 85,* 12,  16, 9, 35.0,③③③
 4, 1,Ａコラム, 59,松岡正, 0.4, 53, -17,* 13,10, 69.0, ⑯⑮, 4,12, ウエスタンパレス,---,太宰啓, 1.2, 63,*  2,  -4, 6, 17.5,②②②, 4, 9,Ａクレバｰカイザｰ, 78,田辺裕, 0.1, 70,   4,  12, 2,  3.1,①②②, 4, 5,Ｈアメリカンウィナｰ, 84,岩田康, 0.4, 83,  11,  16, 3,  7.6,⑦⑤②
 5,12,Ｏチェリｰシェル, 32,菅原隆, 0.5, 53,   1,  -5,15,554.1, ④⑤, 5, 5, トゥｰビｰハッピｰ,---,岩田康, 1.9, 57,   0,  -7, 5, 14.3,⑤④⑤, 5, 8,Ｂソルデマｰヨ, 78,デムｰ, 0.7, 70,*  4,   6, 1,  2.4,②③③, 5,12,Ｐビンテｰジチャｰト, 78,北村友, 0.6, 83,   9,* 17,14, 74.6,⑫⑫⑨
 6,10,Ｄイｰグルカッタｰ, 57,戸崎圭, 0.6, 52,  -5,   0, 1,  1.6, ⑪⑨, 6, 3, カゼノサファイア,---,村田一, 3.0, 51,  -3,  -9,10, 65.3,⑧⑩⑨, 6, 1,Ｈヴァルディヴィア, 73,三浦皇, 0.8, 65,*  5,   3, 6, 30.5,⑧①①, 6, 1,Ｄニシノオウガイ, 87,蛯名正, 1.0, 80,   9,  16, 7, 31.2,⑭⑬⑬
 7, 8,Ｌブリリアンシｰ, 43,岩田康, 0.7, 52,*  3,  -8, 9, 44.3, ②②, 7,11, カンボレバン,---,北村宏, 3.4, 47,  -1, -16, 9, 37.3,⑫⑨⑩, 7, 4,Ｇビッグリバティ, 73,松岡正, 0.9, 66,   2,   9, 7, 38.4,⑥⑦⑦, 7, 9,Ｂジョｰメテオ, 89,田中勝, 1.3, 76,  11,   8, 4, 12.3,⑨⑧⑦
 8, 3,Ｇトゥユアハｰト, 54,吉田豊, 0.8, 51,*  4, -10, 7, 15.5, ①①, 8,13, グラスボンズ,---,的場勇, 3.7, 45,  -2, -19, 8, 27.2,⑩⑥⑦, 8, 2,Ｉディｰエスメジャｰ, 67,横山典, 1.6, 60,   1,   4, 9, 42.1,⑨⑨⑨, 8,15,Ｉオｰシュペｰル, 84,杉原誠, 1.4, 77,   8,  14,10, 36.0,⑯⑮⑮
 9, 5,Ｉクリスウィング, 51,柴田善, 0.8, 49,  -3,  -4, 8, 24.3, ⑧⑦, 9, 4, クイックブレッド,---,田中勝, 4.0, 42,  -2, -21, 7, 24.6,⑦⑦⑧, 9, 7,Ｆコスモパルダ, 73,柴田大, 1.7, 61,   4,  -1, 8, 40.8,④⑤⑤, 9, 2,Ｏサンビスタ, 78,津村明, 1.5, 78,   9,  10, 5, 13.7,⑩⑨⑧
