13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆカレンマタドｰル, 39,川田将,, 54,* -2,*  2, 2,  3.6, ②②, 1, 4,Ａエｰシンザヘッド, 68,小牧太,, 65,  -5,*  7, 1,  1.5,⑦⑥⑦, 1,12, リアルヴィｰナス,---,武豊  ,, 50, -26,*  6, 1,  2.4, ⑪⑪, 1, 7,Ａドコフクカゼ, 81,岩田康,, 81,*  7,* 14, 1,  3.3,②②②
 2,15,Ｅスザク, 42,武豊  , 0.0, 54,* -3,*  3, 1,  2.6, ③③, 2,13,Ｋゴッドスピｰドユｰ, 45,幸英明, 0.7, 63,  -6,*  5,10, 80.1,⑫⑫⑩, 2, 9, バトルムｰングロウ,---,太宰啓, 0.2, 44,*-20,  -6,13, 59.2, ①①, 2, 5,Ｃバンブｰリバプｰル, 80,鮫島良, 0.9, 77,   6,   9, 6, 12.1,③③③
 3, 2,Ｂゼンノロンゴ, 44,福永祐, 0.2, 51,  -4,*  3, 4, 11.8, ④④, 3, 8,Ｈリノワｰル, 52,藤懸貴, 1.5, 53,* -5,  -7, 7, 26.1,⑥⑦④, 3,14, ジツリキオｰシャン,---,鮫島良, 0.2, 46, -22,  -1,10, 31.2, ⑤④, 3, 2,Ｋタイセイバスタｰ, 74,武豊  , 0.9, 77,   5,  10, 2,  4.8,⑥⑥⑥
 4, 9,Ａドリｰムカイザｰ, 57,幸英明, 0.3, 52,* -1,  -1, 3,  3.8, ①①, 4, 3,Ｊオンワｰドナルシス, 46,森一馬, 1.6, 52,  -5,  -7, 5, 21.4,⑤⑤⑥, 4, 8, アイリッシュハｰプ,---,岩田康, 0.3, 49, -30,*  8, 2,  4.2, ⑭⑭, 4, 4,Ｅアドマイヤイバマ, 79,和田竜, 1.0, 75,   6,   8, 8, 12.6,④⑤⑤
 5, 7,Ｃアスタｰクレバｰ, 43,国分恭, 1.5, 41,  -4,  -8, 7, 29.8, ⑥⑤, 5, 7,Ｇオｰプンディｰル, 54,中井裕, 1.8, 53,* -5, -11, 6, 23.9,③③②, 5,10, ニホンピロディｰル,---,酒井学, 0.4, 44, -25,  -2, 6, 16.9, ⑨⑧, 5,13,Ｂスズカウラノス, 81,幸英明, 1.2, 76,   6,  10, 3,  5.8,⑧⑨⑨
 6, 8,Ｉアカリロンドン, 33,藤岡康, 1.9, 40, -10,  -3,11,165.0, ⑭⑬, 6,11,Ｆアリストクラット, 54,岡田祥, 1.9, 51,  -6,  -7,13,200.2,⑪⑪⑫, 6,11, カウニスクッカ,---,福永祐, 0.4, 42,*-21,  -5, 3,  5.8, ②②, 6,11,Ｆブライトジェム, 78,小牧太, 1.3, 75,   4,  12,10, 53.9,⑭⑫⑫
 7, 3,Ｏパｰプルパルピナ, 17,小坂忠, 2.1, 40, -14,  -1,12,258.7, ⑮⑮, 7, 6,Ｂキクノドラゴン, 65,岩崎翼, 2.0, 50,  -5,  -9, 2,  5.4,⑨⑨⑧, 7, 2, マイネカグヤヒメ,---,中井裕, 0.5, 44, -21,  -4,11, 33.1, ④⑤, 7, 6,Ｍハイランドジャガｰ, 74,熊沢重, 1.3, 78,   6,   6, 7, 12.1,⑤④④
 8, 5,Ｋパフュｰムボム, 28,北村友, 2.3, 35, -12,  -5,10, 76.9, ⑬⑭, 8, 1,Ｄメイショウキズナ, 58,菱田裕, 2.1, 49,  -5, -10, 9, 58.9,⑧⑧⑪, 8, 6, メイショウアズミノ,---,松山弘, 0.5, 42, -25,  -3,12, 51.5, ⑦⑦, 8,12,Ｄトップオブカハラ, 80,池添謙, 1.3, 76,   4,  12, 9, 40.4,⑬⑬⑬
 9,11,Ｊテイエムロカビリｰ, 33,岩崎翼, 2.4, 34, -10, -10,15,385.2, ⑩⑪, 9, 5,Ｉラナキラリオ, 46,和田竜, 2.6, 47,* -4, -16, 4, 16.8,④④⑤, 9,13, エアシュノンソｰ,---,松田大, 0.6, 41,*-20,  -7, 5, 16.1, ③③, 9,10,Ｉカリスマサンタイム, 75,高倉稜, 1.4, 72,   5,   9,11, 60.1,⑪⑪⑪
