13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｇタガノスカイ, 43,岩田康,, 53,   3,*  8, 3,  5.1, ⑨⑨, 1, 7, キョウワランサｰ,---,北村友,, 52, -10,* -2, 4,  7.8, ⑧⑦, 1,11,Ｄバハドゥｰル, 70,浜中俊,, 73,  -1,* 13, 2,  6.0, ⑬⑫, 1, 9,Ｄジョヴァンニ, 86,四位洋,, 86,* 13,  11, 2,  3.5,①①①
 2, 1,Ｅダノンサイクロン, 46,小牧太, 0.3, 49,   2,*  6, 6,  9.8, ⑧⑩, 2,13, トｰコｰプラネット,---,岩田康, 0.0, 53, -18,*  6, 6, 12.0, ⑩⑩, 2,13,Ａガッサンプレイ, 72,岩田康, 0.2, 72,   3,   7, 5,  9.0, ⑤⑤, 2, 4,Ａフレイムオブピｰス, 89,幸英明, 0.7, 83,  12,   9, 1,  2.2,⑤⑤④
 3, 8,Ｊタガノティタｰニア, 36,太宰啓, 0.3, 49,   5,   3, 4,  8.7, ⑩⑥, 3,10, シゲルイヨ,---,松田大, 0.2, 50,* -5,  -9, 7, 16.7, ③②, 3, 1,Ｅサンクフルネス, 69,幸英明, 0.4, 71,   1,*  9, 6, 13.5, ⑪⑨, 3, 3,Ｉグレイレジェンド, 82,熊沢重, 0.8, 87,   8,* 14,10, 58.4,⑩⑨⑧
 4, 5,Ｃミルキｰスマイル, 47,浜中俊, 0.6, 46,   7,  -5, 1,  3.0, ④④, 4,12, メイショウトッピｰ,---,武幸四, 0.2, 54,* -6,  -8, 3,  7.6, ⑥③, 4,10,Ｆハネムｰンゴシップ, 68,戸崎圭, 0.6, 67,*  5,   0,10, 50.4, ②②, 4, 2,Ｅメタギャラクシｰ, 85,松田大, 1.0, 79,  10,  10,11, 86.3,⑦⑦⑦
 5, 2,Ｂサオトメ, 51,内田博, 0.7, 47,* 10,  -9, 8, 17.0, ①①, 5, 2, ディｰセントワｰク,---,戸崎圭, 0.3, 49,  -8,  -7, 2,  3.5, ⑤⑤, 5,12,Ｇメイショウマルマル, 65,内田博, 0.7, 67,*  4,   1, 8, 15.8, ③③, 5,11,Ｃギャザｰロｰジズ, 87,岩田康, 1.0, 81,   7,* 15, 5,  8.9,⑫⑪⑩
 6,12,Ｄパラディドル, 47,北村友, 0.9, 42,   1,   1, 9, 41.9, ⑫⑪, 6, 8, ディｰプカジノ,---,太宰啓, 1.6, 40, -27,* -1,13,115.0, ⑮⑮, 6,14,Ｃマサノボラｰレビア, 70,小牧太, 0.9, 65,   2,   1, 3,  6.1, ⑥⑧, 6, 1,Ｈセイカフォルトゥナ, 82,伊藤工, 1.1, 77,  12,   5, 4,  8.1,③④③
 7, 4,Ａマイネバラシア, 56,和田竜, 0.9, 45,*  9,  -9, 2,  4.8, ②②, 7,11, カウガｰルブルｰス,---,松山弘, 1.8, 35, -22,  -7, 9, 40.9, ⑪⑬, 7, 7,Ｋダイナミックウオｰ, 63,太宰啓, 1.0, 66,   2,   1, 4,  6.7, ⑧⑦, 7,10,Ｋアドマイヤジャガｰ, 79,小牧太, 1.3, 77,* 13,   1, 8, 48.4,②②②
 8, 7,Ｆシゲルオワリ, 44,幸英明, 1.0, 44,   7,  -8,10, 47.9, ⑤⑦, 8, 5, ホッコｰムサシ,---,幸英明, 1.9, 35,  -8, -21, 5,  8.1, ⑦⑥, 8, 4,Ｍギルドマスタｰ, 62,川須栄, 1.1, 65,  -1,   4,11, 56.5, ⑫⑬, 8, 7,Ｇコウユｰヒｰロｰ, 84,国分恭, 1.8, 74,   6,   9, 7, 45.9,⑪⑫⑪
 9,11,Ｋヒデノシスタｰ, 31,高倉稜, 1.1, 42,*  9, -12,12,319.6, ③③, 9, 6, ノブシェンカｰ,---,藤田伸, 2.0, 35,* -5, -25, 1,  3.1, ②①, 9, 5,Ｂアドマイヤシェル, 70,和田竜, 1.3, 63,   1,  -1, 1,  2.9, ⑨⑩, 9, 5,Ｊジョウノボヘミアン, 82,藤田伸, 2.0, 74,   8,   5,12,123.7,⑧⑧⑨
10, 3,Ｉビットアリエス, 39,酒井学, 1.3, 38,   5,  -9, 7, 11.7, ⑥⑧,10, 4, ハｰドモンラッシェ,---,森一馬, 2.1, 33,  -7, -24,12,113.0, ①④,10, 8,Ｊウルフ, 64,国分恭, 1.4, 61,*  4,  -5,12,107.8, ④④,10, 8,Ｂドレミファドン, 88,川田将, 2.0, 73,  10,   0, 3,  7.9,⑥⑥⑥
11, 6,Ｌシゲルイズミ, 29,藤懸貴, 1.9, 30,   1, -12,11,117.7, ⑪⑫,11,14, シゲルハリマ,---,中井裕, 2.2, 34, -18, -14, 8, 27.9, ⑫⑪,11, 2,Ｐカシノチョッパｰ, 56,小坂忠, 1.5, 65,  -3,   4,15,174.6, ⑯⑮,11,12,Ｆラタｰシュ, 85,和田竜, 2.3, 72,   6,   4, 9, 52.4,⑨⑩⑫
12,10,Ｈラヴクレｰジｰ, 41,川田将, 2.3, 26,   5, -24, 5,  9.3, ⑦⑤,12,15, スリｰサウス,---,国分恭, 2.3, 31, -24, -10,14,129.8, ⑭⑫,12, 6,Ｉガッチリガッチリ, 64,菱田裕, 1.5, 61,  -3,   2,13,131.1, ⑭⑭,12, 6,Ｌダｰトムｰア, 76,内田博, 2.5, 68,  12,  -7, 6, 20.2,④③⑤
,,,,,,,,,,,,13, 3, トｰホウボンバｰ,---,菱田裕, 2.4, 30, -23, -11,15,161.4, ⑬⑭,13,16,Ｎマルシゲサムライ, 57,水口優, 1.6, 61,   0,  -1,14,137.4, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,14, 1, セイスナッピｰ,---,酒井学, 2.7, 28, -10, -27,10, 58.4, ④⑧,14,15,Ｈグロシュラライト, 64,藤田伸, 2.0, 57,   2,  -8, 9, 19.6, ⑦⑥,,,,,,,,,,,,
,,,,,,,,,,,,15, 9, ベイル,---,水口優, 2.7, 29, -16, -20,11, 92.1, ⑨⑨,15, 9,Ｌサンキストロｰド, 62,藤岡康, 2.1, 56,*  6, -14, 7, 14.6, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｏエスペラｰル, 57,高倉稜, 2.6, 52,  -3,  -7,16,274.4, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-7),,,,,,,,,,,
"単勝:510円 複勝:09=220円 01=350円 08=270円 枠連:1,470円",,,,,,,,,,,,単勝:780円 複勝:07=280円 13=330円 10=370円 枠連:610円,,,,,,,,,,,,単勝:600円 複勝:11=220円 13=290円 01=320円 枠連:550円,,,,,,,,,,,,単勝:350円 複勝:09=150円 04=110円 03=700円 枠連:350円,,,,,,,,,,,
"馬連:2,870円 ワイド:01-09=1,040円 08-09=920円 01-08=1,390円",,,,,,,,,,,,"馬連:4,630円 ワイド:07-13=1,380円 07-10=1,270円 10-13=1,720円",,,,,,,,,,,,"馬連:2,130円 ワイド:11-13=770円 01-11=1,020円 01-13=1,530円",,,,,,,,,,,,"馬連:350円 ワイド:04-09=200円 03-09=2,150円 03-04=1,110円",,,,,,,,,,,
