13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｊエンジェルビｰツ, 38,三浦皇,, 49, -15,*  8, 4,  9.1, ⑩⑬, 1,10, プリサイスエｰス,---,江田照,, 58, -16,* 10, 4,  8.2, ④④, 1, 1,Ｉファントムロｰド, 66,石橋脩,, 81,   1,   8, 6, 14.7, ④④, 1, 3,Ｊスピルバｰグ, 74,北村宏,, 84,  16,  12, 1,  2.8,②②②
 2,11,Ｂコウセイマユヒメ, 54,田辺裕, 0.0, 47, -12,   3, 2,  6.9, ⑤⑤, 2, 4, サンマディソン,---,松岡正, 0.0, 58,*-14,   9, 5, 13.0, ②②, 2, 2,Ｃブライトチェリｰ, 74,田中勝, 0.0, 81,   1,*  9, 2,  5.0, ⑤⑤, 2, 4,Ｃフェスティヴタロｰ, 80,田中勝, 0.3, 78,* 21,  -4, 4,  7.6,①①①
 3, 3,Ｍハタノエンジェル, 33,柴田善, 0.0, 48, -16,*  9, 1,  2.4, ⑭⑮, 3, 5, ヒマラヤタカコ,---,武士沢, 0.8, 53, -21,*  9, 9, 58.2, ⑧⑨, 3, 5,Ａヒュウマ, 78,吉田隼, 0.1, 78,*  5,   2, 1,  2.0, ①①, 3, 9,Ｋハｰコット, 73,柴田善, 0.4, 81,  16,   7, 9, 32.0,③③③
 4,13,Ａヴィジオネｰル, 56,宮崎北, 0.2, 46,* -9,  -1, 3,  7.0, ②②, 4, 1, アタリクジ,---,北村宏, 0.9, 50, -16,   2, 2,  2.8, ③③, 4,15,Ｇシルクブルックリン, 68,西田雄, 0.5, 75,  -2,   5, 4, 12.9, ⑩⑨, 4, 7,Ｈプロモントｰリオ, 76,三浦皇, 0.7, 79,  12,  12,11, 74.6,⑧⑦⑥
 5,14,Ｌオｰマイレディ, 35,北村宏, 0.3, 45,*-10,  -1, 9, 23.0, ④③, 5,12, デジタルアゲン,---,西田雄, 1.0, 50, -19,   5, 8, 52.8, ⑦⑦, 5,13,Ｍプレイアップ, 61,田辺裕, 0.5, 77,  -4,*  9, 8, 25.0, ⑮⑭, 5, 6,Ｅアイスフォｰリス, 78,大野拓, 0.7, 77,  15,   6, 5,  8.5,④⑤⑤
 6,15, ブルザンインディゴ,---,武士沢, 0.4, 48, -18,*  9,16,210.8, ⑯⑯, 6, 8, ファインクリスエス,---,三浦皇, 1.5, 46, -21,   3, 3,  7.4, ⑩⑩, 6, 6,Ｂネロディアマンテ, 75,蛯名正, 0.5, 76,  -3,   7, 3,  7.3, ⑪⑪, 6, 8,Ｉドラゴンレジェンド, 75,田辺裕, 0.8, 78,   9,* 17, 7, 18.2,⑩⑩⑩
 7,16,Ｈネイティヴコｰド, 43,横山和, 0.5, 42,* -9,  -5,10, 24.5, ①①, 7, 2, サンバデジャネイロ,---,嘉藤貴, 1.6, 45, -16,  -3,10, 71.4, ⑤⑤, 7, 9,Ｊレッドストラｰダ, 66,長岡禎, 0.6, 75,  -3,   6,11, 75.5, ⑫⑩, 7,11,Ａライズトゥフェイム, 84,吉田隼, 1.2, 71,  12,   4, 3,  6.1,⑤⑥⑦
 8,10,Ｆミシェルメモリアル, 47,嶋田純, 0.7, 41, -13,  -1,13, 71.0, ⑧⑧, 8,11, シゲルオオスミ,---,後藤浩, 1.6, 45, -17,  -2, 6, 13.1, ⑥⑥, 8,16,Ｌハッピｰシャワｰ, 65,横山和, 0.7, 71,   1,   0,13,133.0, ⑥⑥, 8,10,Ｆエｰブフウジン, 78,丸田恭, 1.2, 71,  10,   6,10, 51.6,⑦⑧⑧
 9, 4,Ｄサイモンジャスミン, 50,蛯名正, 0.8, 42, -14,   0, 5, 10.2, ⑮⑫, 9, 9, オｰルドケベック,---,蛯名正, 1.9, 42, -19,  -3, 1,  2.7, ⑨⑧, 9,11,Ｄレッドヴィｰヴォ, 71,三浦皇, 0.8, 74,  -4,   5, 5, 14.6, ⑬⑬, 9, 5,Ｂジョングルｰル, 82,蛯名正, 1.4, 71,   9,   6, 2,  3.8,⑨⑨⑨
