13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｆメイショウアサツユ, 44,池添謙,, 59,*  0,   0, 7, 11.5, ①①, 1, 9, エイシンアロンジｰ,---,内田博,, 66, -13,* 17, 2,  4.1,⑫⑩⑪, 1,12,Ａレディオブオペラ, 75,藤田伸,, 88,* 15,*  7, 1,  2.2, ①①, 1, 1,Ｃトｰホウアマポｰラ, 76,福永祐,, 79,   7,   6, 1,  1.7, ③②
 2, 1,Ｅガｰトルｰド, 45,福永祐, 0.2, 57,  -3,*  2, 4,  6.1, ⑤⑤, 2,13, ファシｰノ,---,幸英明, 0.0, 66, -12,* 14, 3,  8.0,⑩⑧⑥, 2, 2,Ｆフォｰチュンスタｰ, 68,岩田康, 0.7, 77,  11,   2, 2,  4.9, ③③, 2, 2,Ｆエランドｰル, 74,高倉稜, 0.2, 76,   3,   7,13,119.3, ⑧⑥
 3, 4,Ａガルデルスリｰル, 56,藤岡康, 0.3, 56,  -5,*  4, 1,  4.4, ⑧⑧, 3, 5, マイネボニｰタ,---,柴田大, 0.1, 64,* -8,   6,10, 81.3,②②②, 3, 3,Ｏメイショウライナｰ, 60,池添謙, 1.0, 74,  11,  -2, 6, 19.4, ④⑤, 3,10,Ａシゲルアセロラ, 80,国分優, 0.2, 77,* 12,   0, 5, 11.9, ①①
 4,10,Ｄマイネマレフィカ, 46,柴田大, 0.8, 51,  -5,  -2, 6,  7.9, ⑨⑨, 4, 7, ガｰリッシュハｰト,---,浜中俊, 0.3, 59, -10,   5, 5,  9.8,⑤④④, 4, 1,Ｎハイキｰトｰン, 63,川田将, 1.0, 72,   9,   1, 7, 21.0, ⑧⑦, 4, 4,Ｈカシノランナウェイ, 72,幸英明, 0.3, 76,   1,*  9, 6, 15.3, ⑨⑨
 5, 8,Ｃザマンダ, 48,戸崎圭, 0.9, 47,* -2, -11, 2,  5.4, ③③, 5, 3, サウンズオブアｰス,---,福永祐, 0.5, 57, -11,   2, 1,  1.9,④③③, 5,17,Ｂエｰシンサファイア, 74,藤岡康, 1.2, 70,* 13,  -6, 3,  6.2, ⑤④, 5, 3,Ｂラヴァｰズポイント, 77,酒井学, 0.4, 74,   6,   2, 2,  6.4, ⑤④
 6, 6,Ｈエアシュノンソｰ, 42,松田大, 0.9, 50, -10,*  3,12,105.2, ⑫⑬, 6, 1, グッドセンス,---,松山弘, 0.5, 61, -15,* 14, 6, 18.7,⑬⑬⑫, 6, 5,Ｊディザイラブル, 66,メンデ, 1.2, 69,   4,   4,12, 39.8, ⑪⑪, 6,12,Ｇヤマノレオ, 73,和田竜, 0.6, 71,* 10,  -5, 3,  9.2, ②③
 7, 9,Ｉキョウワジュネス, 41,岩田康, 1.0, 48,  -4,  -8, 3,  5.9, ⑦⑦, 7,11, サンライズレｰヴ,---,高倉稜, 0.6, 55,* -8,  -4,11,116.1,①①①, 7, 4,Ｈセイウンヒマワリ, 67,太宰啓, 1.3, 69,   7,   0,10, 33.0, ⑨⑨, 7,11,Ｄビットスタｰダム, 75,太宰啓, 0.7, 70,   6,  -2,10, 42.5, ⑦⑧
 8, 3,Ｇユアメモリｰ, 43,内田博, 1.0, 48,  -4,  -8, 8, 12.4, ⑥⑥, 8, 2, マッチボックス,---,水口優, 0.9, 55, -13,   5, 9, 65.9,⑪⑪⑩, 8, 6,Ｄヴェアデイロス, 69,福永祐, 1.3, 66,  -3,*  9, 8, 21.9, ⑭⑬, 8, 6,Ｅアグネスキズナ, 74,武豊  , 0.7, 69,  -2,   6, 7, 21.2, ⑪⑪
 9, 5,Ｋマルヨラピド, 32,中井裕, 1.1, 47,  -8,  -4,11, 65.0, ⑪⑪, 9, 6, フォルシャｰ,---,川田将, 1.1, 50,* -9,  -8, 4,  9.6,⑦⑥⑤, 9,10,Ｃベルライン, 69,藤懸貴, 1.4, 66,   7,  -3, 5, 15.2, ⑩⑩, 9, 8,Ｋカゼニタツライオン, 70,小坂忠, 0.8, 68,  -3,   6, 9, 39.3, ⑫⑫
