13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂダノンミシガン, 64,三浦皇,, 55,* -8,*  6, 1,  2.2, ④③, 1, 8, ベストリｰダｰ,---,西田雄,, 61,*-22,  13, 5, 12.3, ③③, 1, 2,Ｂホロウクラウン, 78,戸崎圭,, 87,* -4,  23, 1,  2.0,①①①, 1,12,Ｆドコフクカゼ, 86,戸崎圭,, 87,* 10,  21, 1,  4.9,⑥⑤⑤
 2,14,Ｃキンショｰウズシオ, 55,江田照, 0.2, 53,* -8,   4, 5, 10.2, ⑦⑤, 2, 9, フライングスキップ,---,三浦皇, 0.1, 64, -26,* 19, 6, 13.7, ⑩⑩, 2,13,Ｄロジメジャｰ, 77,内田博, 0.2, 88,  -5,  25, 2,  4.4,⑤⑤⑤, 2,14,Ｇファイヤｰ, 86,横山典, 0.0, 86,   9,* 22, 9, 29.9,⑬⑦⑧
 3, 3,Ａヒムカ, 64,大野拓, 0.4, 53, -11,*  7, 2,  3.8, ⑨⑨, 3,10, ユズノカオリ,---,松岡正, 0.2, 59, -24,  12,13, 69.7, ⑥⑥, 3, 9,Ｅジャングルクルｰズ, 76,北村宏, 0.4, 86,  -7,  25, 4, 10.7,⑦⑦⑦, 3, 4,Ｌソロル, 80,メンデ, 0.1, 86,   9,  21, 5,  6.9,③④③
 4, 7,Ｊカシノカｰム, 40,西田雄, 0.5, 52,  -9,   3, 8, 39.2, ⑤⑥, 4, 6, ワンダｰスマイル,---,武豊  , 0.2, 57,*-21,   7, 7, 16.0, ②②, 4,11,Ｃチャペルプリンセス, 77,嶋田純, 0.4, 89,  -9,* 31, 5, 11.7,⑪⑫⑫, 4,13,Ｂギャザｰロｰジズ, 88,吉田豊, 0.5, 85,   8,* 21, 2,  5.9,⑪⑫⑬
 5, 8,Ｉハナズチュｰリップ, 43,戸崎圭, 0.7, 48,* -7,  -2, 3,  7.8, ①①, 5,11, キョウエイマグマ,---,江田照, 0.3, 59, -25,  13,11, 28.9, ⑨⑨, 5, 8,Ａタイセイグルｰヴィ, 78,福永祐, 0.5, 82,* -4,  16, 3,  7.5,③③③, 5, 5,Ａユｰロビｰト, 88,川田将, 0.5, 84,   9,  18, 3,  6.2,⑤⑥⑦
 6,12,Ｍマイネルモヒｰト, 37,柴田大, 0.8, 47, -10,   1,14, 82.2, ⑥⑦, 6, 7, ムｰドスウィングス,---,内田博, 0.3, 60, -25,  13, 3,  6.4, ⑦⑧, 6, 6,Ｈベルゲンクライ, 71,吉田豊, 0.6, 84,  -7,  22,10, 72.9,⑥⑥⑥, 6, 7,Ｅタナトス, 87,柴田善, 0.7, 81,* 10,  13, 7, 10.0,②②②
 7, 1,Ｄイタリアンフェッテ, 51,丸田恭, 1.0, 47,  -9,   0,15, 82.5, ⑧⑧, 7,12, アンリキャトル,---,北村宏, 0.4, 61, -29,* 19, 2,  5.2, ⑬⑬, 7,10,Ｆマイネルグラｰド, 72,メンデ, 1.0, 79,  -8,  19, 7, 20.6,⑬⑪⑨, 7, 8,Ｄドラゴンフォルテ, 88,内田博, 1.3, 79,   9,  13, 8, 12.0,⑧⑨⑨
 8, 5,Ｅヤマト, 47,的場勇, 1.1, 50, -15,*  7,12, 70.1, ⑮⑮, 8, 5, トｰアリズム,---,伴啓太, 0.4, 52,*-18,   0,15,147.4, ①①, 8, 7,Ｉコスモハヤブサ, 70,丹内祐, 1.4, 76,  -9,  16, 9, 33.1,⑩⑩⑪, 8, 6,Ｎスノｰドン, 77,大野拓, 1.3, 81,   7,  17,11, 43.4,⑫⑭⑭
 9,11,Ｋボｰルドブルｰム, 39,杉原誠, 1.2, 45,* -8,  -5, 9, 45.9, ②④, 9, 3, ストｰリｰセラｰ,---,メンデ, 0.7, 51, -24,   4, 9, 21.9, ⑤⑤, 9, 3,Ｋストｰンヘンジ, 65,吉田隼, 1.5, 74, -11,  17,11,109.3,⑫⑬⑬, 9,10,Ｊキタサンシンガｰ, 83,吉田隼, 1.6, 77,   8,  11,10, 34.1,⑩⑪⑫
10,10,Ｇニシノプレリュｰド, 47,田辺裕, 1.3, 44, -11,   0, 7, 33.5, ⑪⑪,10,15, ウラレナ,---,蛯名正, 0.8, 53, -26,   9, 1,  2.8, ⑪⑪,10, 5,Ｍジｰガｰガｰネット, 54,西村太, 1.5, 74,  -9,  15,13,420.6,⑨⑨⑩,10, 9,Ｉスギノブレイド, 84,武士沢, 1.9, 76,   8,   8,14,114.9,⑨⑩⑪
11, 2,Ｈノアカンパニｰ, 46,柴田善, 1.4, 44, -13,   2, 6, 22.8, ⑯⑭,11, 4, ビックナサンクス,---,田辺裕, 1.2, 48, -29,   7, 8, 19.3, ⑭⑭,11,12,Ｊマイネルオリンポス, 65,柴田大, 1.8, 69,  -6,   4, 8, 26.3,⑧⑧⑧,11, 2,Ｃドレミファドン, 88,江田照, 2.0, 74,   8,   7, 4,  6.2,⑭⑬⑩
12, 6,Ｆマｰシャラｰ, 47,勝浦正, 1.9, 40, -12,  -4,11, 69.2, ⑫⑫,12, 2, ニシノテレポｰト,---,勝浦正, 1.2, 46, -25,   0,12, 41.0, ⑧⑦,12, 1,Ｇテイエムブシドｰ, 72,横山典, 1.9, 62,  -5,   0, 6, 13.6,④④④,12, 3,Ｈニシノヴァンクｰル, 85,北村宏, 2.0, 73,   9,   5,12, 60.6,⑦⑧⑥
13,15,Ｐロングアンドリｰン,  7,福永祐, 2.0, 40, -11,  -7, 4, 10.0, ⑩⑩,13, 1, ヴェルサイユパｰク,---,吉田隼, 1.6, 38, -23,  -9,10, 28.6, ④④,13, 4,Ｌロｰレルアルトス, 61,石橋脩, 2.0, 62,* -4,  -4,12,157.2,②②②,13,11,Ｋホノカアボｰイ, 81,田中博, 2.2, 73,* 10,   2,13,100.3,④③④
14,16,Ｎフリメｰル, 30,嘉藤貴, 2.3, 36,* -8, -15,10, 59.2, ③②,14,16, タイキグランツ,---,戸崎圭, 1.7, 41, -31,   1, 4,  9.0, ⑮⑮,,,,,,,,,,,,,14, 1,Ｍアントニオピサ, 78,武豊  , 3.8, 63,* 10, -14, 6,  8.7,①①①
15, 9,Ｌシゲルブンゴ, 38,松岡正, 2.4, 37, -13,  -6,13, 71.2, ⑬⑬,15,14, フウジンライジン,---,武士沢, 1.8, 42, -33,   4,16,181.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
