13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｉアイナマｰリエ, 45,メンデ,, 66,* -1,*  5, 8, 31.8, ①①, 1, 6, スイｰトガｰデン,---,後藤浩,, 65,* -9,   4, 7, 21.3, ①①, 1,10,Ａラブリｰスタｰ, 72,戸崎圭,, 69,  -4,  10, 2,  3.7, ⑥⑥, 1,14,Ｃホクセツダンス, 85,蛯名正,, 80,   3,  19, 5,  8.1, ④④
 2, 1,Ａディアポジション, 58,横山典, 0.6, 60,  -3,*  3, 2,  3.6, ⑤④, 2, 4, ユニバｰサルビｰチ,---,メンデ, 0.2, 64,*-12,   6, 8, 26.0, ③③, 2, 8,Ｋスフィンクス, 65,内田博, 0.0, 70,  -9,* 16, 5,  8.8, ⑭⑭, 2, 2,Ｄタマブラックホｰル, 84,石橋脩, 0.1, 80,  -3,* 27, 1,  3.1, ⑪⑫
 3, 2,Ｂブリッツ, 56,戸崎圭, 0.7, 60,  -5,*  4, 1,  2.4, ⑦⑦, 3,17, ティックルゴｰルド,---,吉田豊, 0.3, 63,* -9,   0, 6, 17.5, ②②, 3, 6,Ｂフェアリｰライン, 72,田辺裕, 0.0, 68,  -6,* 12, 4,  8.5, ⑨⑧, 3,16,Ｋケイアイヘルメス, 80,田辺裕, 0.1, 78,   1,  21, 6,  8.1, ⑤⑤
 4, 6,Ｄフジマサレジェンド, 51,田中勝, 1.8, 50,  -3,  -8, 3,  7.9, ④⑤, 4,10, ヌｰヴォレコルト,---,戸崎圭, 0.3, 64, -15,   9, 1,  2.5, ⑥⑧, 4, 2,Ｉダイワプロシｰド, 68,大野拓, 0.1, 68,* -1,   6,14,107.9, ①①, 4,13,Ｎディアセルヴィス, 69,藤岡康, 0.2, 77,*  7,  13,11, 61.8, ①①
 5, 5,Ｌモｰクン, 37,三浦皇, 1.9, 51,  -6,  -4,12, 92.1, ⑪⑨, 5,16, ウインアプロｰズ,---,大野拓, 0.3, 66, -16,* 11,14, 91.7, ⑪⑩, 5,13,Ｈフレックスハｰト, 68,北村宏, 0.1, 68,  -5,  10, 1,  3.6, ⑦⑨, 5,10,Ｇレｰザｰバレット, 81,三浦皇, 0.2, 79,   0,* 23, 2,  4.9, ⑦⑦
 6,15,Ｃバイタルワンダｰ, 56,柴田善, 2.4, 46,  -7,  -8, 6, 15.9, ⑩⑩, 5, 8, サンマルホウセキ,---,柴田善, 0.3, 69, -17,* 15, 5, 15.5, ⑬⑬, 6, 7,Ｆクレバｰパルマ, 68,柴田善, 0.1, 68,  -6,* 12,10, 29.8, ⑫⑩, 6, 4,Ｂダンシングマオ, 87,北村宏, 0.2, 78,   0,  21, 3,  6.5, ⑥⑥
 7, 7,Ｆペイシャマシェリ, 49,宮崎北, 2.6, 45, -11,  -5, 9, 45.1, ⑫⑬, 7, 7, スマッシングダウト,---,リスポ, 0.5, 60,*-12,   2, 2,  3.5, ④④, 7,15,Ｄマイネエレｰナ, 70,柴田大, 0.1, 69,  -6,* 12, 7, 16.9, ⑩⑪, 7, 9,Ｍコウセイコタロウ, 78,内田博, 0.4, 77,  -2,* 22, 7, 17.0, ⑩⑩
 8,10,Ｈカワキタグロワｰル, 46,蛯名正, 2.6, 46,  -8,  -7,14,127.0, ⑬⑪, 8, 3, ホワイトミｰティア,---,横山典, 0.8, 58, -18,   6, 3,  7.3, ⑫⑪, 8, 3,Ｇラヴィｰズバｰド, 68,津村明, 0.2, 68,* -3,   8, 3,  6.0, ③③, 8, 6,Ｆエステｰラブ, 82,吉田豊, 0.4, 77,  -1,  22, 8, 27.8, ⑨⑨
 9,13,Ｅオメガグランディス, 50,北村宏, 2.7, 43,* -2, -17, 7, 21.0, ③③, 9,14, エンジェルフォｰス,---,石橋脩, 0.9, 63, -21,* 14,12, 67.5, ⑰⑰, 9, 4,Ｊエアカリナン, 67,後藤浩, 0.3, 66,* -3,   6, 6, 14.0, ②②, 9, 1,Ａディｰエスコンドル, 89,横山典, 0.5, 74,*  6,  11, 4,  7.7, ②②
10,12,Ｍセイクリッドブルｰ, 35,松岡正, 2.8, 45, -13,  -2,13,114.8, ⑯⑯,10,13, デルマサリｰチャン,---,宮崎北, 0.9, 57, -15,   0,15,138.7, ⑦⑨,10, 5,Ｃフランスギャル, 70,吉田豊, 0.5, 66,  -8,  10, 8, 17.8, ⑬⑬,10,12,Ｊラインジェシカ, 80,江田照, 0.9, 73,  -3,  19, 9, 29.4, ⑬⑪
11, 8,Ｋジャマスルナ, 38,吉田豊, 2.8, 44, -12,  -5,16,298.6, ⑭⑭,11, 9, ファインコｰト,---,江田照, 1.0, 59, -20,   9,13, 86.3, ⑯⑯,11,12,Ｅメテオレイン, 69,松岡正, 0.5, 65,  -4,   6, 9, 28.6, ⑤⑤,11, 3,Ｉレッドヴァンクｰル, 80,大野拓, 1.2, 71,  -6,  20,12, 97.1, ⑭⑭
12, 9,Ｐシゲルシモウサ, 25,川須栄, 3.4, 39,  -6, -18,10, 75.8, ⑧⑧,12,15, キｰシャワｰ,---,津村明, 1.1, 57, -18,   3,10, 31.8, ⑮⑭,12, 1,Ｍアガサ, 61,石橋脩, 0.7, 63,  -6,   6,11, 59.7, ⑪⑦,12,11,Ｐカシノデュｰク, 64,二本柳, 1.3, 68,*  5,   5,13,140.6, ③③
13,16,Ｇエｰスワン, 48,江田照, 3.5, 38,  -4, -21, 4,  8.2, ⑥⑥,13, 2, カクテルハット,---,北村宏, 1.1, 53, -15,  -3, 4, 14.0, ⑨⑦,13,11,Ｌスタｰファンタジア, 62,江田照, 1.0, 62, -10,   8,15,171.4, ⑮⑮,13,15,Ｈグロｰリｰルピナス, 80,荻野琢, 1.3, 68,  -1,  13,16,426.7, ⑧⑧
14, 4,Ｏドリｰムアスリｰト, 27,大野拓, 3.6, 38, -10, -14,11, 79.0, ⑨⑫,14, 1, カイミラ,---,藤岡康, 1.1, 56, -20,   6,16,179.9, ⑭⑮,14,14,Ｎデンコウアロｰズ, 59,小島太, 1.1, 61,  -7,   4,13, 75.0, ⑧⑫,14, 5,Ｌイチエイクリッパｰ, 78,武士沢, 1.4, 70,  -4,  16,14,156.5, ⑫⑬
15,11,Ｊアクアベｰル, 44,内田博, 4.1, 34,* -2, -28, 5, 12.1, ②②,15,18, プレシャスムｰン,---,蛯名正, 1.3, 50, -13,  -8, 9, 30.3, ⑧⑥,15, 9,Ｏツクバエトワｰル, 56,蛯名正, 1.4, 57,* -3,  -3,12, 71.3, ④④,15, 7,Ｏストロングポイント, 69,柴田大, 1.6, 68,  -6,  17,15,196.8, ⑮⑮
16,14,Ｎキリシマムスメ, 30,武士沢, 5.4, 25, -13, -26,15,224.6, ⑮⑮,16,12, アスリｰト,---,川須栄, 1.7, 45,*-11, -15,18,216.8, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,11, ホワイトマニキュア,---,三浦皇, 1.8, 46, -18,  -9,11, 33.4, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 5, アイアイラブ,---,武士沢, 8.2,-23, -49, -44,17,183.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,
"単勝:3,180円 複勝:03=540円 01=140円 02=110円 枠連:1,490円",,,,,,,,,,,,"単勝:2,130円 複勝:06=550円 04=670円 17=610円 枠連:4,110円",,,,,,,,,,,,"単勝:370円 複勝:10=190円 08=350円 06=300円 枠連:1,700円",,,,,,,,,,,,単勝:810円 複勝:14=230円 02=140円 16=240円 枠連:830円,,,,,,,,,,,
"馬連:5,000円 ワイド:01-03=1,170円 02-03=920円 01-02=170円",,,,,,,,,,,,"馬連:16,270円 ワイド:04-06=4,170円 06-17=3,900円 04-17=5,400円",,,,,,,,,,,,"馬連:1,870円 ワイド:08-10=720円 06-10=680円 06-08=1,410円",,,,,,,,,,,,"馬連:1,370円 ワイド:02-14=570円 14-16=870円 02-16=550円",,,,,,,,,,,
"馬単:12,720円 3連複:2,220円 3連単:30,000円",,,,,,,,,,,,"馬単:31,110円 3連複:110,720円 3連単:813,420円",,,,,,,,,,,,"馬単:3,080円 3連複:5,810円 3連単:27,740円",,,,,,,,,,,,"馬単:3,080円 3連複:3,140円 3連単:20,320円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｻｳｼﾞｱﾗﾋﾞｱﾛｲﾔﾙｶｯﾌﾟ富士ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａレイヨンヴェｰル, 57,後藤浩,, 68,*  8,*  0, 1,  1.7, ①①, 1, 6, ロジテｰスト,---,北村宏,, 53, -37,* 18, 2,  3.4,⑩⑫⑪, 1, 8,Ｇスｰサングレｰト, 75,藤岡康,, 81,*  9,  10, 5, 12.6,①①①, 1, 9,Ａダノンシャｰク, 93,内田博,, 95,   7,  21, 1,  2.4, ⑥⑥
 2,11,Ｃメリｰウィドウ, 54,石橋脩, 1.3, 59,*  5,  -7, 5, 21.9, ④③, 2, 3, サヴァティアｰノ,---,後藤浩, 0.1, 48, -35,  12, 8, 24.6,⑬⑧⑦, 2, 2,Ｂフェデラルホｰル, 83,蛯名正, 0.0, 85,   5,* 20, 2,  3.1,④⑤⑤, 2,12,Ｇリアルインパクト, 86,戸崎圭, 0.1, 90,*  7,  16, 9, 29.6, ②②
 3, 1,Ｄアルスタｰサイクル, 51,田中勝, 1.9, 54,   0,  -6, 3,  9.6, ⑨⑩, 3,12, バンズｰム,---,田辺裕, 0.1, 49, -36,* 13, 6, 16.6,⑫⑩⑩, 3, 7,Ａアウォｰディｰ, 84,横山典, 0.4, 81,   5,  17, 1,  2.1,⑤⑥⑥, 3, 4,Ｏシャイニｰプリンス, 78,北村宏, 0.1, 91,   6,  19,14, 67.7, ④④
 4,12,Ｉブランドアオモリ, 39,三浦皇, 2.2, 53,   2, -10, 7, 44.8, ⑩⑨, 4, 8, アスキｰコｰド,---,田中勝, 0.1, 45,*-32,   6, 5,  9.7,⑦③③, 4, 6,Ｃピュアソルジャｰ, 79,吉田豊, 0.4, 84,   4,* 20, 3,  7.5,⑨⑧⑧, 4, 3,Ｅリルダヴァル, 90,リスポ, 0.2, 92,   5,  20, 7, 11.5, ⑦⑦
 5, 4,Ｆミラクルヴォｰグ, 48,武士沢, 2.2, 55,  -3,* -2, 4, 14.1, ⑭⑭, 5, 7, ベストドリｰム,---,三浦皇, 0.2, 49, -36,  12, 4,  9.0,⑥⑨⑨, 5, 3,Ｆコスモユウチャン, 75,三浦皇, 0.5, 79,*  8,   8, 8, 41.2,③③③, 5, 5,Ｉブレイズアトレイル, 85,三浦皇, 0.2, 91,   6,  18, 6, 11.4, ⑤⑤
 6, 2,Ｇカンスタントリｰ, 44,メンデ, 2.3, 52,   3, -14, 9, 51.5, ⑤⑤, 6, 4, マドリｰドカフェ,---,内田博, 0.4, 45, -36,   9, 1,  3.1,④⑦⑧, 6, 9,Ｈマイネルサンオペラ, 70,戸崎圭, 0.6, 79,   5,  15, 4, 10.7,⑦⑦⑦, 6, 7,Ｎレッドアリオン, 78,川須栄, 0.3, 93,   2,* 23, 5, 10.4, ⑬⑬
 7, 3,Ｂトルセドｰル, 56,内田博, 2.3, 52,   2, -12, 2,  3.2, ⑥⑦, 7, 1, コスモヘルム,---,柴田大, 0.6, 47, -37,  11,11, 63.0,⑧⑪⑬, 7, 1,Ｉコスモグレｰスフル, 67,柴田大, 1.3, 70,*  8,  -7, 7, 39.9,②②②, 7,11,Ｃガルボ, 92,石橋脩, 0.3, 88,*  9,  12, 4, 10.3, ①①
 8, 9,Ｋロブロイクリス, 38,宮崎北, 2.3, 51,   0,  -8,11,205.6, ⑬⑪, 8,15, ウエスタンイヴ,---,柴田善, 0.7, 36,*-32,  -4, 3,  6.0,①①①, 8, 5,Ｅダブルオｰセブン, 78,田辺裕, 1.3, 74,   4,   9, 9, 44.2,⑧⑨⑨, 8, 1,Ｆブリッツェン, 88,柴田善, 0.4, 91,   2,* 22,10, 31.6, ⑪⑪
 9, 6,Ｈキングオブキック, 41,山崎亮, 2.6, 50,   2, -14,12,258.8, ⑧⑧, 9,10, ダルムシュタット,---,嘉藤貴, 0.7, 39, -34,   2,13, 95.2,⑤⑤⑤, 9, 4,Ｄヒｰルゼアハｰツ, 78,北村宏, 1.5, 69,   5,   0, 6, 14.7,⑥④④, 9, 2,Ｍインパルスヒｰロｰ, 79,田中勝, 0.4, 90,   2,* 22, 3,  9.5, ⑫⑫
10,14,Ｅヨッヘイ, 49,大野拓, 3.2, 46,   3, -22, 6, 34.6, ⑦⑥,10, 9, サカイヤデモズ,---,戸崎圭, 0.7, 38,*-33,   0, 7, 17.4,②④④,,,,,,,,,,,,,10,15,Ｈダノンヨｰヨｰ, 86,メンデ, 0.4, 89,   3,  19,12, 52.8, ⑩⑨
11, 7,Ｌデュナトス, 37,柴田大, 3.9, 39,*  5, -30,10, 81.7, ②②,11, 2, オジュウチョウサン,---,松岡正, 0.8, 41, -36,   4,12, 66.5,⑮⑮⑫,,,,,,,,,,,,,11,10,Ｊカシノピカチュウ, 83,西田雄, 0.4, 87,*  7,  13,11, 39.6, ③③
