13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａインヴォｰク, 62,和田竜,, 60,*  8,* -1, 1,  2.1, ①①, 1, 7, ダンツキャンサｰ,---,北村友,, 63,* -4,* -2,10, 28.8, ①①, 1, 5,Ａラロｰザブル, 81,幸英明,, 80,   9,* 10, 3,  4.9,⑬⑨⑥, 1, 7,Ａアルキメデス, 86,浜中俊,, 81, -19,* 27, 1,  2.7, ⑧⑥
 2, 4,Ｆコスモグラウベ, 49,デムｰ, 0.2, 55,*  5,* -1, 3,  6.7, ③③, 2, 8, ホッコｰサラスタｰ,---,池添謙, 0.2, 61,  -7,*  0, 2,  3.6, ④④, 2, 6,Ｅルスナイスナイパｰ, 76,秋山真, 0.3, 77,  13,   2, 4,  8.5,④⑤③, 2, 8,Ｇバッドボｰイ, 74,幸英明, 0.2, 75,*-15,  15, 5, 14.4, ②②
 3, 2,Ｉリヴィアｰド, 38,岩田康, 0.4, 52,   2,*  0, 4,  8.3, ⑦⑥, 3,11, チャオプラヤ,---,藤田伸, 0.4, 60,  -7,* -3, 8, 16.5, ⑥⑤, 3, 1,Ｂカｰティスバロｰズ, 79,北村友, 0.7, 73,  11,   1, 1,  2.6,⑧⑧⑧, 3, 2,Ｄベストクルｰズ, 77,川田将, 0.4, 74, -17,  18, 6, 25.9, ⑤⑤
 4,10,Ｌコスモグラフィティ, 34,メンデ, 0.7, 48,*  5,  -8, 2,  6.3, ④⑤, 4, 4, プリティブルｰ,---,和田竜, 0.7, 56,  -8,  -4,18, 95.5, ⑧⑧, 4,13,Ｆサカジロスイセイ, 72,国分優, 0.8, 72,* 13,  -3,11,129.4,⑤③②, 4, 3,Ｆテｰオｰケンジャ, 75,メンデ, 0.4, 72, -16,  15, 7, 40.2, ④④
 5, 8,Ｄサウンドカｰル, 53,浜中俊, 1.0, 45,*  5, -12, 7, 17.0, ②②, 5,12, エイシンオｰキッド,---,太宰啓, 0.7, 55,* -4,  -9, 7, 16.5, ②②, 5, 3,Ｃサダムダイジョウブ, 78,川田将, 0.9, 73,  12,  -3, 2,  3.2,③④④, 5,10,Ｅロｰドエアフォｰス, 76,池添謙, 0.4, 70,*-13,   9, 4, 10.8, ①①
 6,11,Ｇリングランドムｰン, 45,北村友, 1.0, 44,   1,  -7, 5, 12.8, ⑧⑦, 6,14, タガノトラベラｰ,---,吉田豊, 0.8, 55, -11,* -3, 5, 14.7, ⑨⑩, 6, 2,Ｄカノヤプレジデント, 78,国分恭, 0.9, 72,  10,   3, 7, 26.4,⑫⑪⑪, 6, 6,Ｉエｰシンジャッカル, 70,北村友, 0.5, 73, -17,  17, 8, 45.4, ⑥⑦
 7, 7,Ｅエイシンドルチェ, 52,福永祐, 1.1, 45,   4, -10, 9, 30.8, ⑤④, 7,15, レｰヌネサンス,---,幸英明, 1.0, 54, -10,  -5,15, 51.5, ⑪⑨, 7,11,Ｌタマモプラネット, 61,水口優, 1.1, 73,* 14,  -8, 6, 25.0,②②①, 7, 4,Ｃロｰゼンケｰニッヒ, 81,岩田康, 0.7, 75, -21,* 22, 2,  3.1, ⑩⑩
 8, 5,Ｃアブニｰル, 53,武幸四, 1.5, 39,  -4,  -5, 8, 24.8, ⑫⑬, 8,16, エイコｰンウィル,---,福永祐, 1.0, 52,  -8,  -9, 1,  3.0, ⑤⑥, 8, 9,Ｈエリモフラッシュ, 69,松山弘, 1.5, 70,  10,  -2, 9, 52.6,⑨⑩⑨, 8, 9,Ｈタマモマｰブル, 73,水口優, 0.7, 73, -20,  19, 9,107.5, ⑨⑨
 9, 3,Ｍウイングリッタｰ, 19,松山弘, 1.6, 37,  -2, -11,12,171.8, ⑩⑩, 9, 1, ヴェイルオブクララ,---,秋山真, 1.2, 51, -12,  -5, 9, 22.3, ⑩⑪, 9, 7,Ｇサチゴロウ, 69,福永祐, 2.4, 63,   8,  -7, 8, 34.9,⑥⑬⑫, 9, 5,Ｂクランモンタナ, 82,デムｰ, 0.9, 65, -16,   8, 3,  3.4, ③③
10, 9,Ｋカツザクラ, 35,国分恭, 1.9, 33,  -3, -13,13,270.1, ⑪⑪,10,18, ワディ,---,浜中俊, 1.2, 49,  -8, -12, 3, 11.0, ⑦⑦,10, 8,Ｉテイエムエビスオｰ, 68,佐久間, 2.5, 62,  11, -15,13,297.9,⑦⑥⑤,10, 1,Ｊヤマカツゴｰルド, 69,松山弘, 1.3, 63, -19,   8,10,199.9, ⑦⑧
11, 1,Ｈインペリアルブルｰ, 43,幸英明, 2.0, 34,  -4, -11, 6, 13.0, ⑬⑫,11,17, ラガｰリンドｰ,---,松山弘, 1.5, 46,* -5, -18,14, 47.9, ③③,11,10,Ｊヒデサンスピリット, 65,岩田康, 3.9, 53,  11, -27, 5, 14.3,⑩⑦⑩,,,,,,,,,,,,
12,13,Ｊシュンブレイン, 37,内田博, 2.1, 32,   3, -25,11, 40.1, ⑥⑧,12, 3, テイエムデザイヤｰ,---,酒井学, 1.6, 47, -18,* -3, 6, 15.3, ⑮⑯,12, 4,Ｍテイエムオオラジャ, 60,太宰啓, 4.4, 51,* 13, -36,12,129.9,①①⑦,,,,,,,,,,,,
13, 6,Ｂヤマニンアルブル, 54,藤田伸, 2.1, 33,   1, -21,10, 32.4, ⑨⑨,13, 6, メイショウヴェスタ,---,武幸四, 1.6, 47, -18,* -3,16, 66.8, ⑯⑮,13,12,Ｋサンデｰコア, 65,藤田伸, 5.3, 45,   8, -32,10, 85.2,⑪⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 9, クニサキオペラ,---,森一馬, 1.6, 45, -16,  -7,17, 94.7, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,13, パンズラビリンス,---,蛯名正, 1.8, 43, -14, -10,11, 36.8, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 5, スズカビｰム,---,メンデ, 2.2, 39, -13, -17,12, 36.9, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 2, トウケイスペシャル,---,国分恭, 2.9, 32, -19, -17,13, 46.3, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,10, フェアリｰミラクル,---,岩田康, 4.3, 17, -23, -30, 4, 13.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:4),,,,,,,,,,,
単勝:210円 複勝:12=110円 04=200円 02=200円 枠連:670円,,,,,,,,,,,,"単勝:2,880円 複勝:07=570円 08=190円 11=500円 枠連:5,540円",,,,,,,,,,,,"単勝:490円 複勝:05=160円 06=200円 01=130円 枠連:1,580円",,,,,,,,,,,,"単勝:270円 複勝:07=150円 08=290円 02=360円 枠連:1,290円",,,,,,,,,,,
