13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａピンクベリｰニ, 52,福永祐,, 51,*-30,   8, 5, 12.3,①①①, 1, 1, ラングレｰ,---,戸崎圭,, 59, -25,  14, 3,  3.4,③⑤⑤, 1, 8,Ｊシャドウウィザｰド, 65,戸崎圭,, 74,   9,* -7, 8, 20.0,⑫⑫⑪, 1, 7,Ｂロイヤルクレスト, 90,横山典,, 80,* 11,  11, 1,  3.1, ①①
 2, 2,Ｄサニｰデイズ, 49,津村明, 0.1, 55, -34,* 15, 3,  5.6,⑦⑦⑧, 2, 2, ベルキャニオン,---,内田博, 0.1, 60, -26,* 15, 2,  3.4,⑨⑩⑩, 2, 6,Ｂタイセイグルｰヴィ, 81,福永祐, 0.0, 75,  11,*-10, 3,  5.2,⑩⑩⑧, 2, 8,Ｃアンアヴェンジド, 85,内田博, 0.5, 80,   6,* 17, 2,  3.1, ⑬⑪
 3, 8,Ｃマｰシャルシップ, 51,北村友, 0.6, 45, -31,   3, 8, 13.7,④⑤⑥, 3, 4, ゼウスバロｰズ,---,福永祐, 0.1, 61, -26,* 15, 1,  2.2,⑦⑧⑨, 3,10,Ｃテナシティｰ, 77,リスポ, 0.1, 74,  12, -12, 5,  9.5,⑧⑧⑥, 3,14,Ｆミヤジマッキｰ, 82,デムｰ, 0.5, 77,   9,  11, 3,  4.8, ⑤⑤
 4, 7,Ｂエスティレジェンド, 52,吉田隼, 0.6, 42,*-29,   0, 6, 12.9,②②②, 4,10, ハイノリッジ,---,宮崎北, 0.3, 58, -27,  14,11,183.7,⑪⑪⑪, 4,12,Ａロジメジャｰ, 84,内田博, 0.1, 73,  12, -16, 1,  2.4,⑨⑨④, 4, 2,Ａアメリカンウィナｰ, 92,福永祐, 0.6, 79,   8,  13, 4,  5.0, ⑩⑧
 5, 4,Ｈコスモソラフネ, 36,メンデ, 0.7, 43, -31,   2, 9, 22.8,③③⑤, 5, 3, ライヨｰル,---,後藤浩, 0.5, 52, -26,   8, 4, 13.5,④⑦⑦, 5, 4,Ｅモビｰル, 77,デムｰ, 0.2, 72,  12, -17, 2,  4.8,⑤④③, 5,11,Ｅキッズアプロｰズ, 82,田中勝, 0.9, 76,   8,  11,11, 67.8, ⑦⑦
 6, 3,Ｉコスモジグ, 33,柴田大, 0.7, 45, -32,   3, 7, 13.2,⑧⑧⑦, 6, 8, ニシノオンリｰユｰ,---,松岡正, 0.8, 45,*-23,  -4, 7, 48.4,②①①, 6, 1,Ｄマグメル, 77,吉田豊, 0.2, 73,  12, -15, 6, 18.5,④⑥⑤, 6,10,Ｌマルブツビアン, 78,田辺裕, 1.0, 75,   7,  11,10, 54.6, ⑧⑨
 7,10,Ｋイタリアンネオ, 11,デムｰ, 0.7, 40,*-30,  -1, 1,  3.3,⑤④③, 7, 9, ミュゼクリエイタｰ,---,田辺裕, 0.9, 48, -26,   3, 6, 37.6,⑩⑨⑧, 7, 5,Ｆダイワアクシス, 74,後藤浩, 0.4, 71,  11, -14, 4,  8.0,⑦⑦⑩, 7,13,Ｋキタサンシンガｰ, 79,戸崎圭, 1.2, 73,* 10,   3, 7, 39.6, ③②
 8, 1,Ｆモンサンカノｰプス, 46,後藤浩, 0.8, 44, -34,   6, 4,  6.2,⑩⑩⑩, 8, 5, ルｰルブック,---,北村宏, 1.1, 40, -25,  -6, 9, 59.6,⑧⑥④, 8, 3,Ｉマイネルバランシン, 67,柴田大, 0.8, 67,* 13, -29, 9, 49.2,②②②, 8, 1,Ｉビンテｰジチャｰト, 79,蛯名正, 1.3, 75,   0,* 18, 8, 42.5, ⑭⑭
 9,11,Ｅニシノカンザシ, 47,内田博, 1.1, 37,*-29,  -7, 2,  4.0,⑥⑥④, 9,11, コクリュウノマイ,---,吉田豊, 1.7, 33, -25, -14,10,106.6,⑥③③, 9,11,Ｋテワヒポウナム, 57,中谷雄, 1.2, 63,   9, -24,12,207.7,③③⑫, 9, 9,Ｇコスモイｰチタイム, 81,柴田大, 1.5, 73,   6,   9, 5, 19.9, ⑪⑫
10, 6,Ｊランデックヴェスパ, 20,戸崎圭, 1.6, 33, -34,  -5,10,162.8,⑪⑨⑨,10, 6, フェバリットブルｰ,---,メンデ, 1.9, 29,*-23, -20, 8, 55.9,⑤②②,10, 7,Ｇストｰンヘンジ, 73,吉田隼, 1.9, 56,  10, -38,10, 68.0,⑪⑪⑨,10, 5,Ｎアストレｰション, 73,大野拓, 1.5, 72,   9,   3,14,250.6, ④④
11, 9,Ｇキャッシュバック, 44,武士沢, 4.3, -4, -33, -44,11,225.4,⑨⑪⑪,11, 7, ノワｰルアンジュ,---,田中勝, 2.2, 26, -25, -20, 5, 21.4,①④⑥,11, 9,Ｌエフティシリウス, 55,山崎亮, 2.1, 56,  12, -42,11,140.0,⑥⑤⑦,11, 4,Ｄダノンハラショｰ, 83,メンデ, 1.5, 73,* 11,   1, 6, 31.1, ②③
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｈトクラットリバｰ, 71,北村宏, 2.8, 51,* 14, -59, 7, 19.1,①①①,12, 6,Ｈゴｰルドアカデミｰ, 79,北村宏, 1.6, 72,   5,   9,12,160.6, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｊセイカフォルテ, 79,石橋脩, 1.7, 71,   6,   6, 9, 51.5, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｍセトノメジャｰ, 77,武士沢, 2.3, 68,   8,  -3,13,223.2, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
