13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂダイリュウキセキ, 59,小林徹,, 59,* -1,*  4, 3,  6.1, ③③, 1,11, ヤマニンアｰマｰ,,白浜雄,,,,, 2,  3.3,①③②, 1, 8, アグネスキング,---,四位洋,, 55,*-17,   4, 9, 29.9, ②②, 1,11,Ａマイネルクロップ, 85,デムｰ,, 77,* 11,   8, 1,  3.5,⑧③②
 2, 5,Ｆワディ, 48,浜中俊, 0.1, 59,* -2,*  3, 2,  4.7, ④④, 2, 5, マイネルフィエスタ,,熊沢重,195.8,,,, 3,  3.6,③②①, 2, 5, マホン,---,高倉稜, 0.1, 54,*-16,   1,13,224.9, ①①, 2, 3,Ｇヒラボクプリンス, 80,浜中俊, 0.0, 82,   7,  15, 9, 18.2,⑨⑧⑦
 3, 3,Ａシゲルミマサカ, 64,国分優, 0.9, 52,*  1,  -6, 1,  3.3, ①①, 3,10, マｰリンシチｰ,,植野貴,196.5,,,, 7, 34.5,⑥⑤④, 3, 3, リリカルホイッスル,---,藤岡康, 0.3, 56, -22,* 10, 7, 28.1, ⑨⑦, 3,13,Ｆトウショウヘイロｰ, 82,川田将, 0.1, 81,   8,  12, 3,  6.1,④④③
 4, 4,Ｈダンシングバトｰ, 44,和田竜, 1.1, 51,  -3,  -4, 8, 15.4, ⑤⑤, 4, 9, テイエムドンマイ,,北沢伸,196.5,,,, 4,  6.5,⑦⑦⑤, 4,11, ビキニスタイル,---,川田将, 0.3, 55, -21,   7, 1,  1.9, ⑥⑥, 4,10,Ｋクラｰジュドｰル, 77,ルメｰ, 0.1, 79,   6,* 18, 5, 10.2,⑦⑩⑪
 5, 7,Ｄディアメドゥｰサ, 52,幸英明, 1.1, 51,  -3,  -3, 5,  8.1, ⑦⑦, 5, 3, ビコｰピリラニ,,田村太,196.6,,,, 5, 15.7,②⑥⑥, 5,14, クレアドｰル,---,武豊  , 0.4, 55, -23,*  8, 5, 10.3, ⑧⑨, 5,12,Ｊポイントブランク, 77,岩田康, 0.2, 78,* 11,   7, 2,  4.7,②②①
 6, 2,Ｍマルヨラピド, 38,中井裕, 1.2, 51,  -4,  -3, 9, 46.4, ⑧⑧, 6, 4, カイトケイラｰ,,平沢健,198.6,,,,11,166.3,⑤④③, 6, 1, ミッキｰラブソング,---,ルメｰ, 0.6, 54, -26,* 10, 6, 22.2, ⑬⑩, 6, 9,Ｅアドマイヤケルソ, 82,小牧太, 0.4, 80,   7,  14, 7, 14.2,⑪⑨⑩
 7,16,Ｇサカジロヴィグラス, 46,高倉稜, 1.6, 45,* -1, -11,11, 80.1, ②②, 7, 7, ビレッジトレンディ,,大江原,200.9,,,,12,179.3,⑩⑧⑦, 7,12, サヴィルロウ,---,秋山真, 0.8, 49, -23,   2, 3,  7.0, ⑦⑧, 7, 6,Ｎカッパドキア, 76,松田大, 0.4, 79,   4,* 18,10, 28.6,⑭⑬⑫
 8, 9,Ｅシゲルクシロ, 50,武幸四, 1.7, 48,  -3,  -9, 4,  7.8, ⑥⑥, 8, 8, ピｰスフルアｰス,,中村将,201.0,,,,10,136.4,⑧⑨⑧, 8, 7, アドマイヤラブ,---,福永祐, 0.9, 47, -21,  -2, 2,  6.8, ⑤⑤, 8, 7,Ｄラロｰザブル, 82,幸英明, 0.5, 80,   4,* 18, 6, 12.3,⑮⑮⑭
 9,15,Ｃパフュｰムボム, 53,ルメｰ, 1.7, 45,  -6,  -5, 6,  9.4, ⑫⑪, 9, 6, ナムラバクサイ,,黒岩悠,203.5,,,, 8, 99.8,⑫⑪⑩, 9, 4, ナッハフォルガｰ,---,幸英明, 1.0, 49, -24,   2,10, 35.8, ⑪⑪, 9, 8,Ｐゴｰルデンヒｰロｰ, 72,福永祐, 0.7, 77,   6,  13,13, 42.9,⑫⑪⑨
10, 6,Ｏアリュｰジョン, 35,小牧太, 2.1, 43,  -5,  -9, 7, 12.5, ⑨⑨,10, 2, ゴｰゲッタｰ,,林満明,204.6,,,, 6, 32.7,⑪⑩⑨,10, 2, ミキノブルｰグラス,---,熊沢重, 1.1, 41, -20,  -8, 8, 28.4, ③③,10,16,Ｃエｰシンバリントン, 82,ビュイ, 0.9, 75,   8,   6,14, 87.1,⑥⑥⑥
11,13,Ｋストロベリｰロｰズ, 38,太宰啓, 2.3, 43, -11,  -4,15,218.0, ⑮⑭,11,12, キレイナダケデス,,森一馬,207.6,,,, 9,135.8,⑨⑫⑪,11, 9, ロゴマｰク,---,デムｰ, 1.2, 40, -20,  -9, 4,  7.1, ④④,11, 1,Ｂブルｰタンザナイト, 83,川須栄, 1.0, 77,   3,  15, 4, 10.0,⑯⑯⑯
12,14,Ｊシュンメガミ, 40,川島信, 2.6, 40, -16,   0,16,227.8, ⑯⑯,,,,,,,,,,,,,12,13, ファイネスト,---,浜中俊, 1.8, 38, -30,  -1,11, 90.0, ⑭⑭,12,14,Ｍハギノサキガチ, 77,池添謙, 1.2, 76,   4,  12,15,244.1,⑬⑭⑮
13,10,Ｐテイエムゴｰジャス, 35,熊沢重, 3.0, 38, -11, -11,12, 87.3, ⑭⑮,,,,,,,,,,,,,13,10, ティｰパンサｰ,---,菱田裕, 2.1, 32, -25, -12,14,280.1, ⑫⑬,13, 4,Ｉエイヴィアンボス, 79,武豊  , 1.3, 73,   7,   4, 8, 17.5,⑤⑦⑧
