14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂカネトシビバｰチェ, 67,武豊  ,, 64,  -2,*  5, 3,  4.8, ④③, 1,16, ワンダｰハイｰニャ,---,国分恭,, 52,*-13,   2, 6, 15.4, ①①, 1, 4,Ｉビｰビｰトレイタｰ, 69,ルメｰ,, 80,   7,* 17, 2,  4.7,④⑥⑦, 1, 8,Ｆトゥザワｰルド, 63,川田将,, 80,  -2,  16, 1,  1.4,⑥⑤⑤
 2, 6,Ａダラニ, 71,ルメｰ, 0.3, 59,*  0,   0, 1,  2.6, ①①, 2,14, ギャラクシｰエクス,---,福永祐, 0.3, 51,*-14,   2, 2,  3.8, ②②, 2, 8,Ｆシュミット, 75,川田将, 0.6, 79,   9,   8, 6, 14.2,⑤④②, 2, 6,Ａミヤビジャスパｰ, 72,池添謙, 0.2, 79,  -3,  16, 3, 10.0,⑤⑦⑦
 3, 8,Ｃキネオマドンナ, 61,浜中俊, 0.5, 58,* -1,  -1, 4,  7.1, ③④, 3, 3, センティグレｰド,---,上村洋, 0.5, 49,*-15,   0, 8, 25.9, ③③, 3, 5,Ａヒドゥンブレイド, 80,福永祐, 0.7, 77,   8,  10, 4,  9.3,⑥⑦⑤, 3, 9,Ｃアドミラルシップ, 72,浜中俊, 0.2, 77,  -3,  15, 4, 10.7,⑦⑥⑥
 4, 7,Ｅヨッテウタッテ, 59,森一馬, 0.5, 58,*  0,  -2, 2,  4.2, ②②, 4,13, ワイレアタヤス,---,北村友, 0.7, 47, -17,   1, 5, 15.1, ⑥⑥, 4, 1,Ｅデオヴォレンテ, 76,ギュイ, 0.8, 76,   8,   8, 3,  5.6,②③④, 4, 4,Ｄモンドシャルナ, 70,福永祐, 0.4, 80,  -5,* 20, 2,  5.3,⑧⑧⑧
 5, 2,Ｆレモンティｰ, 56,国分優, 0.7, 57, -10,*  6, 5, 20.7, ⑫⑫, 5, 2, ブレヴァン,---,岩田康, 0.9, 47, -22,*  7, 3,  5.6, ⑫⑭, 5, 7,Ｃエタｰナルヒｰロｰ, 77,幸英明, 0.8, 80,   6,  12, 9, 34.4,⑨⑨⑨, 5, 3,Ｇウイントゥモロｰ, 62,ルメｰ, 0.5, 69,   1,   2, 5, 14.1,②②②
 6,11,Ｇカネツスペシャル, 55,福永祐, 0.8, 55,  -3,  -2,10, 35.8, ⑤⑤, 6, 5, メイショウオダマキ,---,武豊  , 0.9, 48, -21,*  5, 1,  2.5, ⑪⑪, 6, 6,Ｄゴｰイングベル, 77,森一馬, 0.8, 75,*  9,   5, 7, 19.2,③②①, 6, 5,Ｅセセリ, 66,武豊  , 0.8, 67,  -2,   3, 6, 21.8,④④③
 7,14,Ｄマルクナッテ, 60,上村洋, 1.4, 52,  -5,  -4,14,142.6, ⑧⑧, 7, 7, バトルフォンテ,---,池添謙, 0.9, 46, -16,  -1, 9, 26.7, ⑤⑤, 7, 9,Ｊショウナンアンカｰ, 68,北村友, 1.2, 75,   5,  12,10,199.6,⑪⑪⑪, 7, 1,Ｉサンライズレｰヴ, 55,丹内祐, 1.0, 65,   0,  -2, 7,145.5,③③④
 8,16,Ｈキクノアリア, 52,和田竜, 1.5, 50,  -3,  -8, 7, 26.9, ⑥⑥, 8, 1, ニホンピロレディｰ,---,幸英明, 1.0, 48, -20,   3, 4, 12.2, ⑨⑩, 8, 2,Ｂカレングラスジョｰ, 79,浜中俊, 2.0, 68,   7,  -1, 1,  2.1,⑩⑧⑧, 8, 2,Ｈニシノデンジャラス, 58,幸英明, 1.4, 56,*  4, -17, 8,190.2,①①①
 9, 4,Ｊエアシュノンソｰ, 49,秋山真, 1.6, 50,  -9,  -1, 9, 34.9, ⑬⑪, 9, 9, クランキングアップ,---,横山典, 1.2, 43, -19,   0,10, 31.2, ⑧⑧, 9,10,Ｇヴァルティカル, 74,岩田康, 2.1, 68,   6,   0, 8, 24.2,⑧⑩⑩,,,,,,,,,,,,
