14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａメモリｰレｰン, 75,浜中俊,, 66,*  4,  -1, 1,  1.4, ①①, 1, 6, メイショウウタゲ,---,小林徹,, 58,   2,* -9,15,112.5,⑮⑩⑧, 1,11,Ｂエｰシングリズリｰ, 76,和田竜,, 75,* -3,  11, 3,  6.4, ①①, 1, 3,Ｅリヤンドファミユ, 83,池添謙,, 87,  17,*  1, 2,  3.5,⑪⑪⑨
 2,15,Ｆテイエムリヴィエラ, 60,小牧太, 0.1, 66,  -5,*  7, 8, 27.1, ⑩⑩, 2, 1, ナリタモｰド,---,秋山真, 0.0, 57,*  5, -13,11, 52.1,⑥④④, 2,12,Ｆステｰキ, 72,武豊  , 0.0, 75,* -4,* 11, 2,  4.4, ②②, 2, 1,Ｉフロアクラフト, 80,松山弘, 0.2, 83,* 19,  -8, 4,  7.2,⑤⑥④
 3,14,Ｃルスナイプリンセス, 64,秋山真, 0.4, 61,*  2,  -3, 3, 13.7, ②②, 3, 4, ラドンナデルラｰゴ,---,浜中俊, 0.3, 57,*  6, -18, 7, 18.7,②②②, 3, 9,Ａコランダム, 77,岩田康, 0.2, 72,  -9,* 15, 1,  2.0, ⑪⑧, 3,13,Ｆロｰドロックスタｰ, 82,バルジ, 0.2, 82,* 19,  -9,12, 66.2,④③③
 4,16,Ｂディオレサンス, 66,藤岡佑, 0.7, 59,  -3,  -1, 2,  6.3, ⑦⑧, 4,12, グレｰトアイランド,---,松山弘, 0.5, 56,  -1,* -7, 4,  8.8,⑯⑬⑬, 4, 2,Ｄサンライズマｰチ, 74,松若風, 0.3, 71,  -5,  11, 5, 11.5, ③③, 4, 9,Ｇリメインサイレント, 82,和田竜, 0.4, 82,  18,  -9, 1,  3.3,⑥⑤⑥
 5, 4,Ｅシゲルオワリ, 61,バルジ, 1.2, 56,   0,  -6, 4, 17.8, ⑥⑥, 5, 9, リリｰヒｰロｰ,---,藤懸貴, 0.5, 54,   3, -14, 6, 11.1,⑧⑧⑨, 5,10,Ｈムニン, 68,岩崎翼, 1.0, 65,  -6,   5,12,193.6, ⑤⑤, 5, 5,Ｈヒュウマ, 80,浜中俊, 0.5, 80,* 19, -12, 6, 17.0,①④⑤
 6,13,Ｎタマモムｰンライト, 44,古川吉, 1.2, 55,  -2,  -6,13,249.8, ⑧⑦, 6, 2, カツラッシュ,---,酒井学, 0.6, 53,*  5, -20, 8, 25.7,①①①, 6,14,Ｃマウンテンファスト, 75,国分恭, 1.1, 63,  -5,   4, 4,  8.5, ④④, 6, 2,Ａジャイアントリｰプ, 88,岩田康, 0.6, 80,  18, -12, 3,  5.6,⑨⑦⑦
 7, 3,Ｇマルクナッテ, 57,松若風, 1.4, 54, -10,   1,11,198.8, ⑪⑪, 7, 7, アロハエコモマイ,---,川須栄, 0.7, 55,*  5, -20, 3,  6.4,③③③, 7, 5,Ｅナリタマクリス, 73,池添謙, 1.1, 64,  -7,   7, 7, 24.6, ⑦⑦, 7,11,Ｃカノン, 83,高倉稜, 0.7, 77,  17, -11, 9, 25.3,⑩⑨⑪
 8, 5,Ｏストロベリｰロｰズ, 44,岩田康, 1.8, 50,  -4,  -8,10,120.5, ⑨⑨, 8,14, ビｰイノベイティブ,---,ペドロ, 0.7, 53,   4, -18, 2,  4.0,⑦⑤⑤, 8, 7,Ｋクｰデタｰ, 66,水口優, 1.3, 64, -12,   8,11,139.9, ⑬⑬, 8, 7,Ｄトウカイオｰロラ, 83,酒井学, 0.7, 78,  15,* -6,10, 33.9,⑬⑬⑬
 9, 9,Ｍアルレジェンヌ, 45,ペドロ, 1.8, 49,   0, -13, 5, 18.0, ④④, 9, 8, スタｰレット,---,国分恭, 1.1, 51,  -1,*-11,13, 89.1,⑬⑭⑭, 9, 1,Ｇゼンノコンゴウ, 70,浜中俊, 1.3, 62,  -8,   4, 6, 24.5, ⑨⑩, 9,12,Ｂアドマイヤケルソ, 84,小牧太, 0.7, 78,  17, -11, 7, 19.2,⑧⑧⑩
