14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,寺泊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｎスピリッツセカンド, 24,戸崎圭,, 54,   3,*  5, 9, 32.2,⑧⑧⑧, 1,10, フジマサジャンボ,---,江田照,, 56,* -5,  -7, 7, 15.1, ①①, 1, 2,Ｋイルミナティ, 70,吉田豊,, 77,* 20,  -5, 9, 21.2,③②②, 1,11,Ｎメイショウヒデタダ, 63,古川吉,, 71,  13,*  2,14,294.3, ⑧⑨
 2, 5,Ａジｰアイウォｰカｰ, 62,北村宏, 0.1, 56,   1,*  8, 3,  7.0,⑪⑫⑩, 2,11, ファインライナｰ,---,的場勇, 0.2, 53, -11,  -4, 2,  5.1, ③③, 2, 5,Ｈレイズアスピリット, 71,エスポ, 0.0, 77,  19,*  1, 8, 19.3,⑪⑧⑧, 2, 3,Ｄアルマディヴァン, 75,勝浦正, 0.0, 71,  15,  -3, 3,  6.9, ⑦⑥
 3, 7,Ｄワトソンクリック, 49,武士沢, 0.3, 52,   4,*  1, 1,  2.0,⑥⑦⑥, 3, 6, ハルダヨリ,---,大野拓, 0.5, 52, -21,*  2, 9, 17.3, ⑭⑬, 3,15,Ｊエルヴィスバロｰズ, 71,北村宏, 0.1, 75,* 20,  -6, 1,  2.7,②①①, 3, 6,Ｂファｰゴ, 77,伊藤工, 0.1, 71,  15,  -1, 4, 12.5, ⑨⑦
 4,15,Ｏクラウンリバティｰ, 22,田辺裕, 0.6, 49,*  6,  -7, 6, 15.9,③③③, 4, 9, アイスイモン,---,二本柳, 0.6, 51, -17,  -3,15,120.2, ⑩⑨, 4, 3,Ｅシンボリジャズ, 72,吉田隼, 0.3, 73,* 20,  -6, 2,  6.4,④⑥③, 4, 4,Ｈタガノエンブレム, 70,田辺裕, 0.2, 69,  11,*  1, 2,  5.7, ⑫⑫
 5,12,Ｈカズノテナンゴ, 40,吉田豊, 0.9, 48,   6,  -6, 2,  6.2,⑤⑤④, 5, 4, レイナブランカ,---,田辺裕, 0.8, 48, -25,*  3,10, 17.7, ⑰⑯, 5, 9,Ｇトゥインクル, 71,田辺裕, 0.5, 72,  19,  -6, 4,  9.4,⑩⑨⑥, 5, 8,Ｌエネアド, 65,三浦皇, 0.2, 71,   9,*  6,11, 70.2, ⑮⑮
 6, 1,Ｃキングノヨアケ, 52,エスポ, 1.2, 47,   3,  -4, 4,  8.7,⑩⑨⑨, 6,14, ハッピｰムｰン,---,石川裕, 0.8, 45, -13,  -9, 6, 13.4, ⑦⑥, 6, 8,Ｃウマンマミｰア, 73,丹内祐, 0.5, 74,  18,* -2,13, 55.1,⑫⑫⑪, 6, 2,Ｋワｰドイズボンド, 66,戸崎圭, 0.2, 67,* 19, -14, 5, 17.0, ②②
 7,13,Ｇルミノｰソ, 40,黛弘人, 1.8, 44,*  7, -17, 8, 18.1,②②②, 7, 5, ケモノタイプ,---,北村宏, 0.8, 45, -16,  -7, 8, 15.5, ⑨⑪, 7,16,Ｌカムイミンタラ, 70,大野拓, 0.6, 72,  16,*  1, 3,  8.6,⑰⑯⑭, 7, 1,Ｍカウニスクッカ, 64,江田照, 0.5, 65,  15,  -9, 6, 21.1, ⑥⑧
 8, 3,Ｌルグランパントル, 31,長岡禎, 1.9, 42,*  7, -19,11, 64.0,①①①, 8,17, エクストラペトル,---,蛯名正, 0.9, 45, -12, -12, 1,  3.7, ⑤⑤, 8, 7,Ａトルｰクマクト, 75,武士沢, 0.8, 73,  15,*  1, 7, 13.9,⑮⑰⑰, 8, 9,Ａリグヴェｰダ, 78,川田将, 0.5, 65,  15, -10, 1,  1.6, ⑤⑤
 9,11,Ｅイヌイジェニｰ, 45,石川裕, 2.0, 41,   5, -16, 5, 14.1,④④⑤, 9,13, ツクバカンタｰレ,---,武士沢, 1.1, 42,* -8, -18,12, 34.1, ②②, 9,10,Ｏウインステｰジ, 68,黛弘人, 1.0, 70,* 21, -16,16,144.7,⑥④④, 9,12,Ｊトｰセンシルエット, 67,柴田善, 0.5, 66,  13,  -5,13,209.0, ⑩⑩
