14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾚｼﾞｪﾝﾄﾞﾄﾚｰﾅｰｽﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂメジャｰフォルム, 57,江田照,, 61,*  7,* -4, 1,  1.6, ①①, 1,13, アミｰキティア,---,丸田恭,, 55,  -2, -12, 4, 11.3, ③④, 1, 6,Ｂスペｰスクルｰズ, 74,北村宏,, 72,* 10,* -4, 1,  2.5, ③③, 1, 2,Ｅフェデラルホｰル, 81,蛯名正,, 83,* 14,  -7, 2,  4.1,①①①
 2, 7,Ａユウユウ, 60,三浦皇, 1.1, 52,   5, -11, 2,  3.5, ④④, 2, 8, ウインレナｰタ,---,黛弘人, 0.3, 51,  -7,  -9, 7, 13.7, ⑦⑧, 2, 4,Ｃタマモマズルカ, 74,蛯名正, 0.4, 68,   8,  -5, 2,  4.7, ⑦⑥, 2, 9,Ａラングレｰ, 85,北村宏, 0.0, 83,  12,* -1, 1,  1.8,⑥⑦⑥
 3, 5,Ｇアンジュデトワｰル, 43,柴山雄, 1.5, 47,   3, -12, 4, 14.1, ⑦⑦, 3,12, リｰディングライツ,---,三浦皇, 0.3, 51,  -7,* -8, 2,  5.0, ⑩⑨, 3,12,Ｉブラックシェンロン, 64,三浦皇, 0.4, 69,   6,*  0, 8, 15.4, ⑪⑪, 3, 3,Ｉタブレットピｰシｰ, 72,田中勝, 0.0, 82,  12,* -2, 6, 20.0,③③③
 4, 9,Ｌポンテアンジェロ, 32,柴田大, 1.6, 49,*  6, -17, 8, 28.7, ②②, 4, 1, アップセッタｰ,---,北村宏, 0.5, 48, -11,* -5, 3,  6.1, ⑬⑬, 4, 1,Ｆショウナンマルシェ, 66,柴田善, 0.6, 65,   9,  -7, 5, 11.0, ⑥④, 4, 1,Ｈフィルハｰマジック, 77,丸田恭, 0.2, 79,  11,* -2, 8, 23.7,⑤⑥⑦
 5,15,Ｈベニイモン, 38,二本柳, 1.6, 47,   1, -10, 9, 54.2, ⑫⑫, 5, 9, ユメヲカナエテ,---,柴田大, 0.7, 47,  -5, -18,10, 27.3, ⑤⑥, 5,11,Ａクロスボウ, 78,吉田豊, 0.7, 65,   7,  -6, 3,  5.7, ⑨⑨, 5, 5,Ｆアナンジュパス, 79,大野拓, 0.3, 80,  11,* -2, 7, 20.4,⑨⑨⑨
 6,14,Ｃナンゴクマｰメイド, 55,伴啓太, 1.7, 45,   2, -13,10, 65.8, ⑧⑨, 6,11, トｰホウボルト,---,吉田豊, 0.7, 47,  -4, -21,12, 66.1, ④③, 6,10,Ｄコンプリｰトゲｰム, 72,田辺裕, 0.7, 65,* 10,  -9, 7, 12.9, ⑤⑤, 6, 4,Ｄエイダイポイント, 81,岩部純, 0.4, 79,  11,  -3, 5, 13.8,⑧⑧⑧
 7,12,Ｍテップシｰ, 27,丸山元, 1.8, 44,  -5,* -3, 6, 27.0, ⑮⑮, 7, 7, アイノカケハシ,---,横山和, 0.7, 46, -12,* -6, 6, 13.2, ⑫⑫, 7, 2,Ｊスズカアｰサｰ, 63,丸田恭, 1.3, 60,* 11, -16,11,174.2, ①①, 7, 6,Ｇエスペリア, 78,石橋脩, 0.5, 79,  10,* -2,10, 96.4,⑩⑩⑩
 8,16,Ｆセンコウノマイヒメ, 43,井上敏, 2.0, 44,*  6, -21, 7, 27.7, ③③, 8, 3, ハネムｰンソング,---,大野拓, 0.8, 48,*  1, -27, 1,  2.7, ②①, 8, 3,Ｇトウショウアミラル, 66,長岡禎, 1.5, 63,   6,  -9,10,172.0, ⑫⑫, 8,10,Ｃデルカイザｰ, 82,柴田善, 0.7, 76,  12, -14, 3,  8.9,④④④
 9,10,Ｏアテイン, 22,嘉藤貴, 2.5, 37,  -7,* -7,14,256.0, ⑯⑯, 9, 6, スカイルピナス,---,武士沢, 0.9, 45,  -6, -19,14,128.9, ⑧⑦, 9, 5,Ｅヴェアリアスサマｰ, 71,田中勝, 1.8, 58,* 10, -20, 4,  7.9, ②②, 9, 8,Ｊオウケンブラック, 71,松岡正, 0.7, 77,* 14, -15, 4, 12.2,②②②
10,13,Ｄドリｰムメモリｰ, 54,藤岡佑, 2.7, 37,   0, -19, 3, 10.8, ⑪⑪,10, 5, ロｰドアルタイル,---,田中勝, 0.9, 46,*  1, -28, 8, 14.4, ①②,10, 8,Ｋエフティマルス, 59,木幡初, 2.0, 57,   8, -19, 9,121.4, ④⑦,10, 7,Ｂジェラルド, 83,田辺裕, 1.5, 69,  12, -24, 9, 25.1,⑦⑤⑤
11,11,Ｅオｰゴンマリア, 47,大野拓, 2.7, 40,   4, -24, 5, 23.7, ⑥⑥,11,14, クロフネビｰムス,---,江田照, 1.5, 37,  -4, -31, 9, 18.9, ⑥⑤,11, 9,Ｈユキノユウダン, 64,丸山元, 2.3, 57,   9, -20, 6, 11.9, ⑧⑧,,,,,,,,,,,,
12, 1,Ｉクリエイトアゲン, 37,松岡正, 2.7, 37,  -3, -14,12,142.5, ⑬⑬,12, 2, アンワンワｰルド,---,宮崎北, 1.8, 34, -10, -26,11, 54.7, ⑨⑪,12, 7,Ｌアヴェクトワ, 48,黛弘人, 2.4, 57,   7, -19,12,226.1, ⑩⑩,,,,,,,,,,,,
13, 2,Ｋタｰンブルブルｰ, 35,丸田恭, 3.0, 35,   1, -22,11,126.4, ⑩⑩,13,10, ウインメアリｰ,---,嘉藤貴, 2.2, 30,  -7, -34,13,121.6, ⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,
14, 6,Ｊタマモカチュｰシャ, 35,石川裕, 3.4, 34,   5, -31,13,172.3, ⑤⑤,14, 4, ハワイアンアイ,---,田辺裕, 2.3, 32, -19, -20, 5, 11.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 3,Ｎクリノホンイツ, 23,宮崎北, 3.5, 32,  -4, -19,15,288.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
