14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｌコｰリンバロック, 40,石橋脩,, 53,  -6,* -1,11, 61.3, ⑭⑭, 1, 5, マラケシュ,---,横山典,, 48,*  5, -33,10, 40.4, ①①, 1,10,Ｅメリｰウィドウ, 69,吉田豊,, 71,   6,*  6, 1,  3.5, ⑤⑤, 1, 1,Ｂメドウヒルズ, 76,吉田豊,, 81,   8,   1, 1,  2.8, ④⑤
 2,13,Ｅケモノタイプ, 45,北村宏, 0.0, 55,*  1, -11, 2,  5.4, ③③, 2,13, トキワ,---,石橋脩, 0.0, 52,  -7, -11, 7, 24.4, ⑥⑥, 2, 7,Ｇデジタルフラッシュ, 67,北村宏, 0.1, 73,   8,   3, 4,  6.1, ④④, 2, 8,Ａカムフィｰ, 78,戸崎圭, 0.2, 77,   3,*  7, 4,  7.9, ⑨⑩
 3,14,Ｃシンボリセザンヌ, 47,木幡初, 0.1, 54,*  1, -11, 8, 27.6, ②②, 3,10, ディスコルディア,---,柴田善, 0.0, 53, -13,*  0,11, 43.0, ⑭⑬, 3, 3,Ａエタｰナルヒｰロｰ, 76,田辺裕, 0.3, 70,   4,*  8, 2,  4.4, ⑨⑨, 3, 6,Ｉラリングクライ, 67,福永祐, 0.6, 72,   4,   0, 2,  2.8, ⑧⑧
 4,12,Ｆワｰルドハｰモニｰ, 45,田辺裕, 0.4, 50,  -3,  -8,10, 60.7, ⑫⑪, 4, 1, カズノネネヒメ,---,田辺裕, 0.1, 50,  -7, -12,16,102.0, ⑤⑤, 4, 5,Ｂチョウエンペラｰ, 73,小牧太, 0.4, 72,   5,   5, 7, 16.6, ⑦⑦, 4, 9,Ｃヴァリアシオン, 76,ブドｰ, 0.6, 71,   7,  -6, 5, 11.3, ⑥⑥
 5,16,Ｄイヌイジェニｰ, 45,村田一, 0.8, 47,  -5,  -9, 5, 13.5, ⑬⑬, 5,14, センリツ,---,福永祐, 0.2, 49,  -8, -12, 3,  5.6, ⑨⑨, 5, 1,Ｄゴｰルドリｰガル, 69,戸崎圭, 0.4, 69,   8,   0, 3,  6.0, ③③, 5,10,Ｅボｰイフレンド, 72,横山典, 0.6, 71,   5,  -3, 7, 24.3, ⑦⑦
 6,15,Ｇスマイルハッピｰ, 44,柴田善, 0.9, 46,  -1, -14, 6, 13.6, ⑧⑧, 6,17, マインドシフト,---,柴田大, 0.3, 49,  -5, -18,13, 45.7, ④④, 6,12,Ｌルヴァンカｰ, 48,ブドｰ, 0.5, 68,* 14, -10, 5,  9.3, ②②, 6, 2,Ｆプロスペラスマム, 70,石川裕, 0.7, 69,   9, -12,10, 96.7, ③③
 7, 6,Ｂマジックボｰイ, 56,ベリｰ, 0.9, 46,   0, -17, 3,  6.4, ⑥⑥, 7, 4, タカラオウヒ,---,江田照, 0.3, 51, -16,*  2,12, 44.3, ⑮⑮, 7, 6,Ｃセイントチャンス, 72,ベリｰ, 0.5, 66,   5,   4, 6, 11.6, ⑧⑧, 7, 4,Ｇエネアド, 69,三浦皇, 0.7, 72,   1,   2, 3,  6.7, ⑩⑨
 8, 9,Ｍミヤビリヴェｰル, 33,江田照, 1.1, 46,  -1, -15,13,161.6, ⑩⑨, 8,12, アヤミｰチャン,---,戸崎圭, 0.3, 49, -13,* -3, 4,  9.4, ⑬⑭, 8,11,Ｆホクレアポパイ, 69,柴田善, 0.9, 66,   4,   5, 9, 20.4, ⑫⑪, 8, 5,Ｄコスモトゥルｰラヴ, 73,松岡正, 1.0, 66,   9, -18, 8, 25.8, ②②
 9, 4,Ｉペイシャピュア, 43,嘉藤貴, 1.2, 43,*  2, -22,15,307.6, ①①, 9, 9, フロレットアレｰ,---,三浦皇, 0.4, 49,  -8, -13, 1,  2.5, ⑧⑧, 9, 2,Ｋヴェルフェン, 64,江田照, 2.0, 56,* 17, -28,12, 62.1, ①①, 9, 3,Ｈコスモミレネｰル, 68,柴田大, 1.2, 65,* 12, -24, 6, 13.8, ①①
