14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａカレンロｰザネｰラ, 60,岩田康,, 61,*  7,  -4, 1,  1.3, ②②, 1, 2, ダイワプロパｰ,---,川須栄,, 61, -13,   5, 2,  3.7, ⑦⑦, 1, 4,Ｇゼウスバロｰズ, 73,岩田康,, 79,   3,* 23, 2,  3.8,⑩⑩⑪, 1, 4,Ｃアスカノロマン, 86,太宰啓,, 93,* 13,* 17, 4,  6.2,②②②
 2, 5,Ｂシゲルカゼノボン, 55,幸英明, 0.0, 61,*  8,  -6, 2,  6.0, ①①, 2, 4, ホｰプフルデイズ,---,ペロヴ, 0.3, 58, -14,   2, 7, 29.3, ⑧⑧, 2, 6,Ｆサイモンラムセス, 75,北村友, 0.0, 79,   4,  22, 5, 12.6,⑨⑪⑨, 2, 6,Ａドコフクカゼ, 91,竹之下, 0.4, 89,* 12,* 15, 1,  2.5,⑤④④
 3, 6,Ｃポルボロｰネ, 52,藤岡佑, 0.1, 58,   3,* -1, 3,  8.9, ④④, 3, 7, カゼノカオリ,---,藤岡佑, 0.4, 54, -11,  -3, 3,  7.2, ⑤④, 3, 1,Ｂウインリバティ, 78,池添謙, 0.0, 76,   6,  16, 4,  8.3,④④④, 3,10,Ｄミッキｰスマホ, 84,岩田康, 1.0, 85,  12,  12, 5,  8.9,⑫⑩⑦
 4,12,Ｉテイエムマンゲツ, 39,太宰啓, 0.4, 54,*  5,  -8, 8, 87.4, ③③, 4,11, バニラマカロン,---,池添謙, 0.6, 56, -20,   6, 4,  7.4, ⑬⑬, 4,14,Ｅエｰシンハクリュｰ, 75,藤岡佑, 0.2, 74,   5,  16, 9, 25.3,⑧⑥⑥, 4, 2,Ｂグレイスフルリｰプ, 90,幸英明, 1.0, 84,* 13,   7, 2,  4.6,①①①
 5,10,Ｇスクワｰル, 47,浜中俊, 0.5, 53,   3,  -7, 4, 10.1, ⑤⑤, 5, 6, ナンゴクミチカ,---,和田竜, 0.6, 58, -22,* 10, 5, 17.4, ⑯⑯, 5, 2,Ｌフロリダパンサｰ, 69,太宰啓, 0.3, 70,*  9,   4,11, 29.2,①②②, 5,14,Ｈヒラボクプリンス, 82,秋山真, 1.0, 84,  12,  11, 7, 33.3,⑨⑦⑥
 6, 8,Ｅタガノポワン, 51,松山弘, 0.7, 50,  -3,  -3, 5, 14.9, ⑦⑦, 6,10, オメガハｰトソング,---,岩田康, 0.6, 59, -26,* 14, 1,  2.4, ⑰⑰, 6, 9,Ｈトウキョウタフガイ, 73,川田将, 0.3, 73,   5,  13, 7, 17.3,⑤⑤⑤, 6,15,Ｆエｰシンザヘッド, 83,北村友, 1.1, 84,  11,  13, 3,  5.9,⑬⑫⑨
 7, 4,Ｋアｰススカイ, 36,川須栄, 0.8, 46, -10,*  2,12,480.5, ⑩⑩, 7,16, モｰントバｰン,---,古川吉, 0.8, 49,* -8, -12, 9, 37.1, ②②, 7,12,Ｃビップレボルシオン, 77,ペロヴ, 0.3, 76,   2,  22, 3,  7.5,⑬⑫⑫, 7,16,Ｌベルサリエｰレ, 80,浜中俊, 1.4, 83,* 12,   6, 6, 14.4,④③③
 8, 3,Ｈサマｰサラファン, 41,和田竜, 1.2, 42,  -6,  -7, 9,121.2, ⑧⑧, 8,17, ヴィブラｰト,---,岡田祥, 0.8, 49,* -8, -12,18,299.8, ③③, 8, 7,Ｄウィズアミッション, 76,浜中俊, 0.3, 75,   5,  16, 1,  3.1,⑦⑦⑦, 8,11,Ｊセイカフォルテ, 82,国分恭, 1.5, 81,  10,  11,15,165.7,⑭⑬⑬
 9,11,Ｆシゲルシチフクジン, 49,藤田伸, 1.5, 40,   0, -17, 6, 74.5, ⑥⑥, 9,14, タマモキャラット,---,国分恭, 0.8, 54, -18,   2,14,139.6, ⑪⑪, 9, 8,Ｋテイコフトウショウ, 70,国分優, 0.3, 72,*  7,   7, 8, 19.2,③③③, 9, 3,Ｐオｰヴァｰジョイド, 78,酒井学, 1.6, 81,   8,  12,12,118.6,⑮⑮⑮
