14年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾞｨｰﾌﾟｲﾝﾊﾟｸﾄｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂフィドゥｰシア, 62,武豊  ,, 65,*  2,*  4, 1,  1.5, ②②, 1,10, ティアップブロンド,---,幸英明,, 61,   1,* -5, 2,  3.7, ②②, 1, 5,Ｆマスクゾロ, 72,ペロヴ,, 82,*  8,* 15, 5,  9.8,②②②, 1, 1,Ｃトウシンモンステラ, 81,武豊  ,, 77,  14,*  3, 1,  2.4,⑦⑦⑤
 2,14,Ａアカリアイドル, 68,古川吉, 0.9, 57,*  4,  -6, 3,  5.8, ①①, 2, 6, ツｰエムマイスタｰ,---,太宰啓, 0.3, 61,   1,  -6, 1,  2.2, ④④, 2, 3,Ｄエノラブエナ, 77,小牧太, 0.4, 81,*  8,* 11, 1,  2.4,①①①, 2, 5,Ｂリメインサイレント, 82,福永祐, 0.1, 75,  14,  -2, 2,  3.7,②③③
 3,11,Ｄミツバ, 54,幸英明, 1.0, 57,  -8,*  5, 6, 40.4, ⑧⑦, 3, 4, セイジャッカル,---,菱田裕, 0.6, 56,   1,  -9, 8, 31.5, ③③, 3, 9,Ａラウンドロビン, 78,岩田康, 1.3, 76,   6,  10, 2,  3.5,⑧⑦⑤, 3, 2,Ｄアドマイヤケルソ, 81,小牧太, 0.2, 76,  13,*  4, 7, 16.8,⑩⑨⑨
 4, 1,Ｃヒラボククラウン, 55,岩田康, 1.4, 52,   0,  -7, 2,  4.4, ③③, 4, 7, サトノハｰデス,---,和田竜, 0.6, 57,*  3, -12, 6, 15.1, ①①, 4, 1,Ｉシｰリｰヴェｰル, 69,福永祐, 1.3, 75,   6,   8, 3,  6.9,③③④, 4, 6,Ｈスズカデヴィアス, 76,藤岡佑, 0.2, 73,* 15,  -6, 4,  9.4,③②②
 5,13,Ｈデンコウコハク, 46,小林徹, 1.5, 52,   0,  -8,15,388.4, ④④, 5, 3, ショウナンカウィｰ,---,福永祐, 0.6, 56,  -2,* -6, 4, 10.6, ⑦⑤, 5,12,Ｃタマモネイヴィｰ, 77,幸英明, 1.7, 73,   3,   9, 4,  9.0,⑩⑨⑧, 5, 9,Ｊタイタン, 75,横山典, 0.3, 74,  14,  -2, 9, 69.0,⑤④⑥
 6, 2,Ｆニホンピロヘｰラｰ, 52,酒井学, 1.5, 51,  -3,  -6, 4, 14.5, ⑤⑤, 6,11, デルニエアトゥｰ,---,岩田康, 1.3, 50,  -2, -12, 3,  5.5, ⑥⑥, 6, 4,Ｇタガノベルｰガ, 72,藤岡康, 1.8, 72,   3,   9, 8, 27.3,⑪⑪⑨, 6, 3,Ｅスノｰドン, 80,浜中俊, 0.4, 73,  14,  -5, 5, 11.0,⑥⑥④
 7, 3,Ｊメイショウクオン, 43,武幸四, 1.6, 51, -12,   2, 7, 56.4, ⑩⑨, 7, 2, モズフリムカナイデ,---,小牧太, 1.4, 50,  -4, -10, 5, 12.7, ⑧⑧, 7, 2,Ｂコピｰライタｰ, 78,菱田裕, 1.9, 69,   4,   5, 9, 37.7,⑤⑤⑥, 7, 4,Ｉマイネルアイザック, 75,柴田大, 0.7, 71,  13,  -6, 8, 23.0,④⑤⑧
 8, 9,Ｍウインドファｰスト, 37,小牧太, 2.0, 47, -18,*  4, 9,131.9, ⑫⑬, 8,12, サンディｰクス,---,吉田隼, 2.1, 43, -10,  -8, 7, 31.0, ⑪⑪, 8,10,Ｊリバｰソウル, 67,蛯名正, 2.0, 69,   6,   1, 6, 12.5,⑥④③, 8, 7,Ａジャイアントリｰプ, 85,岩田康, 0.8, 68,* 15, -17, 3,  5.4,①①①
 9,10,Ｌマイネルジャスト, 39,柴田大, 2.2, 46, -10,  -4, 8, 58.2, ⑨⑩, 9, 1, シゲルナマハゲ,---,蛯名正, 2.4, 41,  -9, -12,10, 63.2, ⑩⑨, 9,11,Ｅメイショウウタゲ, 75,小林徹, 2.0, 70,   3,   8, 7, 25.6,⑫⑫⑪, 9,10,Ｇテイエムイナズマ, 77,古川吉, 0.9, 68,  14, -11, 6, 15.9,⑨⑧⑦
