14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｳｵｯｶｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄシルヴァｰコｰド, 57,北村宏,, 69, -14,*  9, 4,  6.6, ⑤⑤, 1,13, コンテナ,---,ベリｰ,, 63, -19,*  8, 3,  5.9, ⑪⑫, 1,16,Ｂトｰセンマイティ, 78,ルメｰ,, 74,*  7,   4, 2,  3.9, ②②, 1, 4,Ｅフィｰルザスマｰト, 83,田中勝,, 83,  12,   9, 2,  4.6, ⑨⑧
 2,12,Ａイキオイ, 60,横山典, 0.0, 67,*-11,*  6, 3,  5.1, ②②, 2, 4, トゥルｰムｰン,---,木幡初, 0.1, 58,* -9,  -6, 5,  6.4, ②②, 2, 8,Ｃトウカイビジョン, 74,秋山真, 0.4, 73,  -3,* 13, 3,  8.6, ⑩⑩, 2, 2,Ｂワンダｰコロアｰル, 84,川田将, 0.0, 84,  16,   4,10, 28.5, ⑤⑤
 3, 6,Ｃホワイトウインド, 58,柴田大, 0.0, 67,*-11,   5, 5, 11.9, ①①, 3, 7, ロｰトリンゲン,---,三浦皇, 0.2, 57, -11,  -5, 1,  3.5, ③③, 3,14,Ｎキネオメジャｰ, 63,蛯名正, 0.5, 71,   4,   2, 7, 32.2, ③③, 3,15,Ｈアルボナンザ, 82,四位洋, 0.1, 86,   9,* 12, 5,  9.0, ⑬⑬
 4, 3,Ｊアウトリｰチ, 43,高倉稜, 0.6, 61, -13,   1,14,263.4, ③④, 4,11, ゴウキ,---,大野拓, 0.5, 54, -12,  -6, 4,  6.0, ⑥⑤, 4, 4,Ｈダイチヴュルデ, 69,武士沢, 0.6, 73,  -4,* 13, 5, 18.6, ⑫⑫, 4,13,Ｋダノンハラショｰ, 80,ベリｰ, 0.2, 79,  10,  10,13, 92.3, ⑩⑩
 5, 4,Ｉプラチナムスタング, 45,横山和, 0.8, 58, -15,   1, 8, 29.5, ⑧⑦, 5, 3, イワヌガハナ,---,岩田康, 0.5, 51,* -7, -13, 2,  3.9, ①①, 5, 3,Ａツインプラネット, 79,戸崎圭, 0.6, 69,*  8,  -3, 1,  1.7, ①①, 5, 9,Ｃキｰプインタッチ, 84,武豊  , 0.3, 82,  10,   9, 1,  4.0, ⑪⑪
 6,11,Ｋナミカゼ, 41,石川裕, 0.8, 59, -14,   1,11,130.6, ⑥⑧, 6, 8, シゲルアバレマツリ,---,柴山雄, 0.6, 53, -15,  -5,12, 76.4, ⑦⑦, 6, 9,Ｊアビスコ, 66,田中勝, 0.9, 69,  -1,   6,10, 63.3, ⑧⑧, 6,11,Ｊカｰティスバロｰズ, 81,岩田康, 0.6, 78,  17,  -5, 7, 13.9, ④④
 7, 1,Ｂジェットコルサ, 59,戸崎圭, 0.8, 59, -19,   5, 1,  2.7, ⑫⑪, 7,12, ノｰブルクリスタル,---,吉田豊, 0.6, 55, -15,  -3, 6, 17.3, ⑨⑧, 7, 1,Ｉノｰスエット, 69,柴田善, 1.2, 66,  -6,   9, 6, 28.1, ⑭⑭, 7,10,Ｆタマブラックホｰル, 83,石橋脩, 0.6, 78,   7,* 10, 9, 25.2, ⑮⑮
 8,14,Ｅアラマサル, 53,吉田豊, 0.9, 61, -21,*  7, 6, 15.6, ⑭⑬, 8, 5, ジュンファイトクン,---,横山和, 0.6, 56, -22,*  6, 7, 24.7, ⑭⑭, 8, 6,Ｇオフショア, 70,江田照, 1.4, 66,  -6,   8,11,110.9, ⑮⑮, 8, 1,Ｌアンズチャン, 80,三浦皇, 0.7, 78,   7,  10, 3,  6.4, ⑭⑭
 9,10,Ｆウインレナｰタ, 52,ルメｰ, 1.0, 57, -18,   2, 2,  3.8, ⑪⑫, 9,15, メテオユニバンス,---,松岡正, 0.7, 54, -15,  -4, 9, 35.6, ⑧⑨, 9, 7,Ｐディアジｰスタｰ, 60,岩田康, 1.4, 65,   1,   0, 9, 48.7, ⑥⑥, 9,14,Ｇキクノソル, 82,浜中俊, 1.0, 77,  14,  -4, 4,  6.8, ⑦⑦
