14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂシンゼンガンプ, 60,秋山真,, 56,  -4,* 11, 1,  1.6,⑩⑨⑧, 1, 4, クリノダイスｰシｰ,---,岩田康,, 60,  -6,   2, 4,  6.4, ⑨⑦, 1, 4,Ｍパドルウィｰル, 72,松山弘,, 89,  -5,* 22, 7, 16.6,⑮⑭⑯, 1, 8,Ｅスズカロジック, 80,秋山真,, 77,   5,* 14, 9, 28.4, ⑮⑮
 2, 2,Ｆアドマイヤリバティ, 51,小牧太, 0.2, 57,  -3,*  8, 7, 28.1,⑧⑧⑨, 2, 2, オンワｰドバｰス,---,藤田伸, 0.2, 61,  -9,*  5,14,163.0, ⑬⑬, 2,10,Ｆマテンロウボス, 75,四位洋, 0.1, 86,  -4,* 19, 6, 16.3,⑰⑯⑭, 2,10,Ｋコウユｰサムライ, 77,福永祐, 0.0, 79,   8,  11, 3,  6.6, ⑬⑫
 3,10,Ｃバンペイユ, 56,ルメｰ, 0.4, 52,  -3,   4, 2,  5.5,⑥⑤③, 3, 3, ヒラボクテイオｰ,---,北村友, 0.4, 56,  -7,   0, 3,  5.4, ⑩⑩, 3, 5,Ｏゲットアテｰプ, 67,ルメｰ, 0.2, 81,  -3,  13,10, 21.7,⑪⑫⑪, 3,13,Ｎマヤノオントロジｰ, 70,国分優, 0.0, 77,   4,* 16,13, 78.2, ⑯⑯
 4, 4,Ｊスマｰトアロｰ, 43,武豊  , 0.4, 54,* -1,   1, 5, 12.7,②②②, 4,13, バｰサｰカｰ,---,藤岡佑, 0.5, 55,  -2,  -6, 6, 20.2, ⑥⑤, 4, 1,Ｌエｰデルグランツ, 72,岩田康, 0.2, 77,*  0,   5, 3,  7.0,①①①, 4, 2,Ｄダノンハラショｰ, 80,川須栄, 0.2, 78,   6,* 13, 8, 11.0, ⑭⑭
 5, 3,Ｉカシノサクセス, 46,小坂忠, 0.6, 51,* -1,  -1, 9,248.8,①①①, 5,11, シｰクロム,---,酒井学, 0.5, 57,  -7,   1, 7, 23.3, ⑪⑪, 5,11,Ｇリヴィエｰル, 74,川田将, 0.2, 80,* -1,  10, 8, 18.1,⑨⑧⑦, 5,12,Ｃキクノフレヴァン, 80,国分恭, 0.2, 77,  12,   4,12, 61.1, ⑩⑦
 6, 7,Ｄセレブレイトソング, 56,岩田康, 0.6, 51,  -3,   2, 3,  5.7,⑤④⑥, 6, 1, モラルタ,---,松山弘, 0.6, 56, -11,*  4,13, 78.6, ⑮⑮, 6, 7,Ｅファシｰノ, 76,北村友, 0.3, 81,  -2,  12, 5, 14.2,⑧⑩⑩, 6,11,Ｊアマノレインジャｰ, 78,幸英明, 0.3, 78,  14,   0,14,109.6, ⑤⑥
 7, 9,Ｋデザフィｰオ, 40,川島信, 0.7, 53,  -3,   3, 8, 58.8,⑨⑦⑦, 7, 6, ジョウショｰムｰン,---,国分恭, 0.8, 53,  -8,  -1,12, 68.6, ⑫⑫, 7, 9,Ｃウインリバティ, 77,池添謙, 0.4, 76,*  0,   5, 9, 20.8,⑤④③, 7, 9,Ｍアフリカンハンタｰ, 72,川島信, 0.3, 77,   7,   9,15,147.5, ⑫⑬
 8,11,Ｈトミｰスマイル, 50,義英真, 1.3, 46,  -6,   3,10,256.1,⑦⑩⑩, 8,12, サンフェニックス,---,小牧太, 0.8, 55, -11,   2, 9, 29.4, ⑭⑭, 8, 6,Ｄイサベル, 77,福永祐, 0.5, 76,* -1,   5, 1,  2.3,③③④, 8, 3,Ａハｰロンベイ, 82,北村友, 0.4, 77,  15,   0, 1,  4.2, ⑥④
 9, 8,Ｇコンコｰド, 50,福永祐, 1.5, 45,  -3,  -6, 4, 11.3,④⑥⑤, 9,15, ツキノアカリ,---,武幸四, 0.9, 54,  -4,  -7,11, 54.7, ⑦⑧, 9, 2,Ａヴァｰティカルサン, 82,浜中俊, 0.5, 74,*  0,   2, 4,  9.7,②②②, 9, 4,Ｂタガノミュｰチャン, 81,藤岡佑, 0.6, 75,* 17,  -7, 7,  9.6, ②②
