14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃタマモイレブン, 56,岩田康,, 65,  -1,*  5, 2,  3.1, ④④, 1, 3, コルボノワｰル,---,四位洋,, 59, -24,* 13, 6, 10.8, ⑯⑮, 1,16,Ｂエイシンパラダイス, 76,藤田伸,, 78,  10,   3, 4,  8.6, ④⑤, 1, 9,Ｄワキノブレイブ, 84,浜中俊,, 93,  15,  10, 3,  7.0, ④③
 2, 2,Ｄヒラボククラウン, 56,福永祐, 0.2, 64,*  2,   0, 4,  7.2, ①①, 2,14, ワｰキングプライド,---,浜中俊, 0.1, 51, -17,  -2, 2,  5.3, ⑦⑦, 2, 5,Ｆビコｰミハイル, 73,佐久間, 0.2, 73,   2,*  8,11, 41.9, ⑩⑩, 2, 4,Ｆアルマリンピア, 82,川須栄, 0.3, 89,   6,  15,11, 34.1, ⑦⑦
 3,11,Ａツｰエムマイスタｰ, 62,太宰啓, 0.2, 65,  -4,*  6, 1,  2.7, ⑤⑤, 3,13, タッチングスピｰチ,---,福永祐, 0.2, 54, -22,*  7, 1,  3.3, ⑭⑫, 3,12,Ａコランダム, 77,岩田康, 0.4, 70,   2,*  7, 1,  2.5, ⑪⑪, 3, 2,Ｅサカジロロイヤル, 83,国分優, 0.4, 88,* 20,  -1, 8, 21.1, ①①
 4, 9,Ｇノｰスウィナｰ, 49,武豊  , 0.5, 62,  -1,   0, 3,  6.3, ③③, 4, 9, シｰオブラブ,---,岩田康, 0.2, 57, -25,* 12, 3,  6.4, ⑰⑯, 4, 3,Ｄセトノミッシｰ, 75,松山弘, 0.5, 72,   6,   2,10, 24.7, ⑧⑨, 4,16,Ａエイシンブルズアイ, 88,福永祐, 0.4, 88,   5,  15, 1,  2.3, ⑨⑧
 5, 8,Ｂサトノハｰデス, 61,和田竜, 0.6, 61,*  1,  -2, 5,  7.3, ②②, 5, 6, サンクボヌｰル,---,松山弘, 0.3, 49,*-14,  -8, 7, 18.0, ②②, 5, 8,Ｅタイムアラウド, 74,義英真, 0.6, 67,   0,*  8,12, 46.6, ⑬⑬, 5, 1,Ｃルナフォンタｰナ, 84,岩田康, 0.5, 87,   3,  15, 2,  5.1, ⑪⑨
 6, 7,Ｆデンコウコハク, 53,小林徹, 1.4, 54,  -4,  -5, 9, 49.3, ⑥⑥, 6,17, トゥルビネ,---,川田将, 0.3, 47,*-14,  -9, 4,  7.2, ③③, 6, 7,Ｇエイシンロｰリン, 72,幸英明, 0.6, 76,* 16,  -8, 3,  7.2, ②②, 6,12,Ｍレオンビスティｰ, 77,中谷雄, 0.5, 87,  -3,* 22,13, 51.7, ⑯⑮
 7, 4,Ｈメイショウハイネス, 48,国分恭, 1.4, 52, -10,   0, 7, 29.4, ⑩⑪, 7, 2, ハッピｰコラソン,---,武豊  , 0.3, 50, -18,  -1, 5,  7.7, ⑨⑧, 7, 4,Ｏエヴリシｰズン, 59,川須栄, 0.9, 67,   0,   5,14,201.4, ⑫⑫, 7,11,Ｈニンジャ, 81,藤岡佑, 0.6, 85,  -2,* 19,12, 41.0, ⑭⑯
 8, 5,Ｅダイゴサクラ, 53,国分優, 1.7, 50,  -7,  -5, 6, 21.4, ⑧⑧, 8, 7, ハッピｰユニバンス,---,秋山真, 0.5, 50, -22,   4,10, 30.6, ⑬⑬, 8, 2,Ｃワンダｰヴィｰヴァ, 76,武豊  , 0.9, 72,* 16, -11, 2,  4.1, ①①, 8, 8,Ｋスギノエンデバｰ, 79,和田竜, 0.7, 85,   2,  14, 7, 17.4, ⑫⑪
 9, 3,Ｊボストンヴィｰナス, 43,幸英明, 2.1, 47,  -9,  -7, 8, 43.6, ⑪⑩, 9, 1, アグネスリュシアン,---,藤田伸, 0.6, 45, -17,  -9, 9, 23.0, ⑤⑤, 9, 6,Ｈゼロワンシンジロｰ, 72,酒井学, 1.0, 67,   6,  -2,13, 80.2, ⑨⑧, 9,13,Ｌアイラブリリ, 79,幸英明, 0.7, 85,  13,   3, 9, 24.7, ⑤⑤
